# gramatica
Q | ＿＿ الطالبُ المجتهدُ في الامتحان. | نجح | نجحت | نجحوا | نجحتم | الفعل يوافق الفاعل المفرد المذكر: نجح.
Q | اختر الكتابة الصحيحة: | ذلك | ذالك | ذلاك | ذلكا | ذلك بلا ألف بعد الذال.
Q | اختر الكتابة الصحيحة: | هذا | هاذا | هذاا | هذى | هذا بلا ألف ثانية.
Q | اختر الكتابة الصحيحة: | لكن | لاكن | لكنن | لكان | لكن بلا ألف.
Q | اختر الكتابة الصحيحة: | نتائج | نتاءج | نتايج | نتائيج | نتائج بهمزة على الياء.
Q | اختر الكتابة الصحيحة: | إنشاء | انشاء | أنشاء | إنشاأ | همزة القطع المكسورة في إنشاء.
Q | اختر الكتابة الصحيحة: | استثناء | إستثناء | أستثناء | استسناء | همزة الوصل في استثناء.
Q | اختر الكتابة الصحيحة: | أنتَ | انتَ | إنتَ | آنتَ | همزة القطع المفتوحة.
Q | اختر الكتابة الصحيحة: | اجتماع | إجتماع | أجتماع | اجتماء | همزة الوصل في اجتماع.
Q | اختر الكتابة الصحيحة: | مستقبل | مستقبال | مستقبلل | مستقبلة | مستقبل.
Q | اختر الكتابة الصحيحة: | إذا | اذا | أذا | ءذا | إذا بهمزة قطع مكسورة.
Q | اختر الكتابة الصحيحة: | الذين | الذنين | اللذين (للمثنى) | الذيين | الذين للجمع.
Q | اختر الكتابة الصحيحة: | سماء | سمى | سماأ | سمئ | سماء بهمزة على السطر.
Q | اختر الكتابة الصحيحة: | ماء | مأ | مأء | ميء | ماء.
Q | اختر الكتابة الصحيحة: | دعاء | دعأ | دعاأ | دعئ | دعاء.
Q | ضعْ علامةَ الترقيمِ المناسبةَ: قال المعلّمُ ＿＿ «اجتهدوا». | : | ، | . | ؛ | النقطتان قبل القول المنقول.
Q | ضعْ علامةَ الترقيمِ المناسبةَ: هل ذهبتَ إلى المدرسةِ ＿＿ | ؟ | . | ! | ؛ | علامة الاستفهام: ؟
Q | ضعْ علامةَ الترقيمِ المناسبةَ: ما أجملَ السماءَ ＿＿ | ! | ؟ | ، | ؛ | التعجب: !
Q | ضعْ علامةَ الترقيمِ المناسبةَ: اشتريتُ تفاحًا ＿＿ وموزًا ＿＿ وبرتقالًا. | ، | . | ؟ | : | الفاصلة بين المتعاطفات.
Q | ما إعرابُ كلمةِ «الطالبُ» في: جاء الطالبُ؟ | فاعل مرفوع | مفعول به منصوب | مبتدأ مجرور | خبر منصوب | الفاعل مرفوع بالضمة.
Q | ما إعرابُ كلمةِ «الكتابَ» في: قرأ الطالبُ الكتابَ؟ | مفعول به منصوب | فاعل مرفوع | مبتدأ مرفوع | مضاف إليه مجرور | المفعول به منصوب بالفتحة.
Q | ما إعرابُ كلمةِ «مجتهدٌ» في: الطالبُ مجتهدٌ؟ | خبر مرفوع | مفعول به | فاعل | حال منصوب | خبر المبتدأ مرفوع.
Q | ما إعرابُ كلمةِ «الحديقةِ» في: ذهبتُ إلى الحديقةِ؟ | اسم مجرور | مفعول به | فاعل | خبر مرفوع | مجرور بحرف الجر إلى.
Q | ما نوعُ «مسرعًا» في: جاء الطالبُ مسرعًا؟ | حال | تمييز | مفعول مطلق | خبر | الحال هيئة الفاعل.
Q | ما نوعُ «عرقًا» في: تصبّبَ الطالبُ عرقًا؟ | تمييز | حال | مفعول لأجله | بدل | التمييز يزيل الإبهام.
Q | الفعلُ «تعاون» على وزنِ | تفاعل | استفعل | انفعل | افتعل | تعاون: تفاعل.
Q | الفعلُ «استخدم» على وزنِ | استفعل | تفاعل | انفعل | فعّل | استخدم: استفعل.
Q | الفعلُ «انتصر» على وزنِ | افتعل | انفعل | تفاعل | استفعل | انتصر: افتعل.
Q | الفعلُ «انكسر» على وزنِ | انفعل | افتعل | تفاعل | فاعل | انكسر: انفعل.
Q | الفعلُ «علّم» على وزنِ | فعّل | فاعل | أفعل | تفعّل | علّم: فعّل.
Q | الفعلُ «أكرم» على وزنِ | أفعل | فعّل | فاعل | تفعّل | أكرم: أفعل.
Q | الفعلُ «حاول» على وزنِ | فاعل | فعّل | أفعل | افتعل | حاول: فاعل.
Q | الفعلُ «تعلّم» على وزنِ | تفعّل | تفاعل | استفعل | انفعل | تعلّم: تفعّل.
Q | أيُّ الجملِ صحيحةٌ؟ | ذهبَ الطالبان إلى المدرسةِ. | ذهبا الطالبان إلى المدرسةِ. | ذهبوا الطالبان إلى المدرسةِ. | ذهبتا الطالبان إلى المدرسةِ. | الفعل قبل الفاعل يبقى مفردًا.
Q | أيُّ الجملِ صحيحةٌ؟ | هؤلاءِ الطلابُ مجتهدون. | هذا الطلابُ مجتهدون. | هذه الطلابُ مجتهدون. | هذان الطلابُ مجتهدون. | اسم الإشارة للجمع: هؤلاء.
Q | أيُّ الجملِ صحيحةٌ؟ | هذه الطالباتُ مجتهداتٌ. | هذا الطالباتُ مجتهداتٌ. | هؤلاءِ الطالباتُ مجتهدٌ. | هذان الطالباتُ مجتهداتٌ. | جمع غير العاقل/المؤنث: هذه أو هؤلاء.
Q | أيُّ الأعدادِ صحيحٌ؟ | خمسُ طالباتٍ | خمسةُ طالباتٍ | خمسُ طالبٍ | خمسةُ طالبةٍ | العدد 3-10 يخالف المعدود: خمسُ طالباتٍ.
Q | أيُّ الأعدادِ صحيحٌ؟ | خمسةُ طلابٍ | خمسُ طلابٍ | خمسةُ طالبٍ | خمسُ طالبٍ | العدد يخالف المعدود المذكر: خمسةُ.
Q | أيُّ الأعدادِ صحيحٌ؟ | أحدَ عشرَ كتابًا | إحدى عشرةَ كتابًا | أحدَ عشرَ كتبٍ | إحدى عشرَ كتابٍ | 11 مع المذكر: أحدَ عشرَ + تمييز مفرد منصوب.
Q | ما معنى «الإنجاز»؟ | إتمام العمل بنجاح | تأجيل العمل | ترك العمل | نسيان العمل | إنجاز = تحقيق.
Q | ما معنى «تراجع»؟ | ارتدّ للخلف أو انخفض | تقدّم | ازدهر | ارتفع | تراجع = انخفض.
Q | ما معنى «تفاقمت» الأزمةُ؟ | ازدادت سوءًا | انتهت | خفّت | تغيّرت للأفضل | تفاقم = ازداد سوءًا.
Q | ما معنى «استنزف»؟ | أفرغ وأنهك | ملأ | أصلح | زيّن | استنزف الموارد = أنهكها.
Q | ما معنى «الحدّ من»؟ | التقليل من | الزيادة في | التوسّع في | التشجيع على | الحدّ من = تقليل.
Q | ما معنى «عزّز»؟ | قوّى | أضعف | نسي | ألغى | عزّز = قوّى.
Q | ما معنى «تبنّى» فكرةً؟ | اعتمدها | رفضها | نسيها | باعها | تبنّى = اعتمد.
Q | ما معنى «أفرز» نتائجَ؟ | أنتج | ألغى | أخفى | قلّل | أفرز = نتج عنه.
Q | ما معنى «ذريعة»؟ | حجّة أو وسيلة للتبرير | هدية | مشكلة | ضيف | الذريعة = الحجة.
Q | ما معنى «مُلحّ»؟ | عاجل يستوجب الاهتمام | بطيء | غير مهم | بعيد | مُلحّ = عاجل.
Q | ما معنى «ضئيل»؟ | قليل جدًّا | كثير | كبير | ثقيل | ضئيل = قليل.
Q | ما معنى «شحّ» المياهِ؟ | قلّتها | كثرتها | تلوّثها | تجمّدها | شحّ = قلّة.
Q | ما معنى «مستدام»؟ | يدوم ويستمر | ينتهي | مؤقت | ضعيف | التنمية المستدامة = مستمرة.
Q | ما معنى «الجدوى» من المشروع؟ | فائدته | كلفته | مكانه | اسمه | جدوى = فائدة.
Q | ما معنى «أقرّ» القانونَ؟ | وافق عليه رسميًّا | ألغاه | كتبه | نسيه | أقرّ = وافق.
Q | ما معنى «تدارك» الخطأَ؟ | عالجه قبل تفاقمه | أخفاه | كرّره | نسيه | تدارك = أصلح.
Q | ما معنى «فحوى» الرسالة؟ | مضمونها | عنوانها | طولها | ورقها | فحوى = مضمون.
Q | ما معنى «تلاشى»؟ | اختفى تدريجيًّا | ظهر | زاد | ثبت | تلاشى = زال شيئًا فشيئًا.
Q | ما معنى المَثَلِ «الوقايةُ خيرٌ من العلاجِ»؟ | منع المشكلة أفضل من معالجتها | العلاج أفضل | لا فائدة من الوقاية | الوقاية مكلفة | الوقاية خير من العلاج.
Q | ما معنى المَثَلِ «في التأنّي السلامةُ وفي العجلةِ الندامةُ»؟ | الحذر يجنّب الخطأ | السرعة أفضل | التأخّر مضرّ | لا داعي للحذر | التأني سلامة.
Q | ما معنى المَثَلِ «من جدَّ وجدَ»؟ | من اجتهد نال مبتغاه | من نام وجد | من سافر وجد | من تكلّم وجد | من جدّ وجد.
Q | ما معنى المَثَلِ «لا يُلدَغُ المؤمنُ من جحرٍ مرّتين»؟ | العاقل لا يكرّر الخطأ | الحية خطيرة | المؤمن لا يخاف | الجحر آمن | لا يُلدغ من جحر مرتين.
Q | ما معنى المَثَلِ «ما كلُّ ما يتمنّى المرءُ يدركُه»؟ | لا يحقق الإنسان كل أمانيه | كل الأماني تتحقق | لا أمنيات | الأماني سهلة | لا يدرك المرء كل ما يتمنى.
Q | ما معنى «ضربَ عصفورين بحجرٍ واحدٍ»؟ | حقّق هدفين بجهد واحد | جرح طائرًا | رمى حجرًا | فشل | ضرب عصفورين بحجر.
Q | ما معنى «فتحَ صدرَه»؟ | استقبل بصدر رحب | جرح نفسه | ضحك | بكى | فتح صدره = قبِل.
Q | ما معنى «بيتُ القصيدِ»؟ | الجزء الأهمّ | البيت الأخير | عنوان القصيدة | كاتبها | بيت القصيد = الأهم.
# reading
@R تتجه شركات كثيرة إلى تطبيق أسبوع العمل من أربعة أيام. ويرى المؤيدون أن الموظفين الذين يحصلون على راحة كافية يعملون بتركيز أكبر. أما المعارضون فيرون أن هذا يصعب تطبيقه في القطاعات التي تلتزم بمواعيد ثابتة كالتجارة والرعاية الصحية. وقد أظهرت تجارب أولية استقرار الإنتاجية، لكن الأثر على المدى الطويل ما زال غير مؤكد.
Q | ما الفكرة الرئيسة للنص؟ | الأسبوع القصير واعد لكنه لا يناسب كل القطاعات | فشل النظام تمامًا | طبّقته كل الشركات | انهارت الإنتاجية | نظرة متوازنة.
Q | أين يصعب تطبيق النظام؟ | في القطاعات ذات المواعيد الثابتة | في المكاتب | في المدارس | في المنازل | التجارة والرعاية الصحية.
Q | ماذا أظهرت التجارب الأولية؟ | استقرار الإنتاجية | ارتفاع التكاليف | استقالة الموظفين | لا شيء | استقرار الإنتاجية.
Q | ما معنى «المؤيدون»؟ | الذين يدعمون الفكرة | الذين يرفضونها | المديرون | الزبائن | المؤيد = الداعم.
Q | ما موقف النص من الأثر الطويل المدى؟ | غير مؤكد | ثابت | سلبي | غير مهم | لا يزال غير مؤكد.
@@
@R قرّر المتحف فتح أبوابه مجانًا في أول أحد من كل شهر. فتضاعف عدد الزوّار، لكنّ ذلك جلب طوابير طويلة وتآكلًا أكبر في القاعات. ويصف المدير التجربة بأنها نجاح جزئي، فقد اتسعت شريحة الجمهور دون أن تصل إلى من لا يجرؤون على الدخول لضيق الوقت أو لعدم الألفة.
Q | ما نتيجة المجانية؟ | تضاعف عدد الزوّار | أُغلق المتحف | قلّ الزوّار | ارتفعت التذاكر | تضاعف الزوار.
Q | ما المشكلات المذكورة؟ | طوابير وتآكل القاعات | سرقات | ضجيج فقط | أعمال بناء | طوابير وتآكل.
Q | كيف يصف المدير التجربة؟ | نجاح جزئي | فشل كامل | نجاح كبير | لا قيمة لها | نجاح جزئي.
Q | من لم تصل إليهم التجربة؟ | من لا يجرؤون على الدخول | السياح | الأطفال | الطلاب | غير المألوفين.
Q | ما معنى «الألفة»؟ | الأنس بالشيء وعدم الغرابة | الكراهية | الخوف | الغضب | ألفة = أنس.
@@
@R أصدر الروائي هذا العام كتابًا غريبًا يجمع بين اليوميات والتحقيق الصحفي. يستعيد فيه ذاكرة عائلته دون أن يدّعي تقديم حقيقة نهائية. وقد أسِف بعض النقّاد لغياب الخاتمة، بينما رأى آخرون في هذا الامتناع عن الحسم صدقًا نادرًا.
Q | ما شكل الكتاب؟ | يجمع بين اليوميات والتحقيق | رواية بوليسية | ديوان شعر | سيرة تقليدية | شكل هجين.
Q | كيف يتعامل الكاتب مع ذاكرة العائلة؟ | يستعيدها دون حسم | يدينها | يتجاهلها | يمجدها | لا يقدم حقيقة نهائية.
Q | ما الذي أسِف له بعض النقاد؟ | غياب الخاتمة | الطول | السعر | الأسلوب | غياب الخاتمة.
Q | ماذا رأى الآخرون في الامتناع عن الحسم؟ | صدقًا نادرًا | كسلًا | عيبًا | ضعفًا | صدق نادر.
Q | ما معنى «الحسم»؟ | اتخاذ قرار نهائي | الكتابة | النسيان | الاعتذار | حسم = قطع.
@@
@R حين نحاول قياس كل شيء بالأرقام، نُهمل بسهولة ما لا يمكن عدّه. فمؤشرات الأداء مفيدة في توجيه المؤسسات، لكنها قد تتحكّم أحيانًا في السلوك نفسه: فيهتمّ الناس بالرقم أكثر من جودة الخدمة. ولذلك ينصح بعض علماء الاجتماع بدعم المؤشرات بمعلومات نوعية.
Q | ما الخطر الذي يشير إليه النص؟ | إهمال ما لا يمكن عدّه | عدم القياس | ارتفاع التكلفة | سوء التوظيف | إهمال غير الملموس.
Q | ماذا تفعل المؤشرات أحيانًا؟ | تتحكم في السلوك | تختفي | تتحسن | ترخص | تتحكم في السلوك.
Q | بماذا ينصح علماء الاجتماع؟ | بدعمها بمعلومات نوعية | بإلغاء الأرقام | بالتوظيف | بالفصل | معلومات نوعية.
Q | ما معنى «مؤشرات»؟ | أدوات تدلّ على المستوى | ألعاب | كتب | أماكن | مؤشر = دليل.
Q | ما موقف الكاتب؟ | نقدي متوازن | متحمس | لا مبالٍ | ساخر | نقد متوازن.
@@
@R تشجّع المدن التشجيرَ على الأسطح. فهو يخفّف حرارة الصيف ويحتجز مياه الأمطار ويوفّر مأوى للحشرات. غير أن التكلفة والحمل الإضافي على المباني القديمة يحدّان من انتشاره. وتحقق البلديات التي تدعمه بالمنح نتائج أفضل من تلك التي تكتفي بفرضه.
Q | ما فائدة التشجير على الأسطح؟ | يخفف حرارة الصيف | يزيد الضجيج | يقلل المساحة | رخيص | يخفف الحرارة.
Q | ما الذي يحدّ من انتشاره؟ | التكلفة وحمل المباني القديمة | قلة الحشرات | المطر | القوانين | التكلفة والحمل.
Q | أي البلديات تحقق نتائج أفضل؟ | التي تدعم بالمنح | التي تفرضه فقط | التي تمنعه | التي تتجاهله | الدعم بالمنح.
Q | ما معنى «مأوى»؟ | مكان يأوي إليه الكائن | سوق | مدرسة | مطعم | مأوى = ملجأ.
Q | ما طبيعة النص؟ | إخباري | جدلي | فكاهي | قصصي | إخباري.
@@
@R تقول المترجمة التي عرّفت القرّاء بكتّاب أجانب طوال عشرين عامًا إن الترجمة ليست استبدال كلمة بأخرى، بل استعادة صوت النص وإيقاعه وحتى صمته. وتعترف بأن هذه الأمانة تقتضي أحيانًا خيانة الحرف لإنقاذ الروح، وهو تنازل لا يغفره الحَرفيّون دائمًا.
Q | ما الترجمة في رأيها؟ | استعادة صوت النص | استبدال الكلمات | التلخيص | التصحيح | استعادة الصوت.
Q | ما الذي تقتضيه الأمانة أحيانًا؟ | خيانة الحرف لإنقاذ الروح | الترجمة الحرفية | إضافة الحواشي | حذف النص | خيانة الحرف.
Q | من لا يغفر هذا التنازل دائمًا؟ | الحَرفيّون | المؤلفون | القرّاء | الناشرون | الحرفيون.
Q | منذ متى تترجم؟ | عشرين عامًا | عامين | عشر سنوات | خمس سنوات | عشرون عامًا.
Q | ما معنى «لا يغفره»؟ | لا يسامحون عليه | يفرحون به | يجهلونه | ينسونه | غفر = سامح.
@@
@R حوّل المزارع مزرعته إلى الزراعة العضوية قبل عشر سنوات. كانت البداية صعبة: تراجع المحصول وارتفعت التكاليف. أما اليوم فيرى أنه ربح الرهان، لأن جودة منتجاته تتيح له بيعها بسعر أعلى مباشرة إلى الزبائن. لكنه يعترف بأنه كان سيتخلّى عن الفكرة لولا دعم إحدى التعاونيات.
Q | متى حوّل مزرعته؟ | قبل عشر سنوات | العام الماضي | قبل عامين | قبل عشرين عامًا | قبل عشر سنوات.
Q | كيف كانت البداية؟ | صعبة | سهلة | مربحة | سريعة | صعبة.
Q | لماذا يرى أنه ربح الرهان؟ | يبيع بسعر أعلى مباشرة | زادت أرضه | ينتج أكثر | يعمل أقل | البيع المباشر.
Q | ماذا كان سيفعل لولا التعاونية؟ | كان سيتخلى عن الفكرة | كان سينجح وحده | كان سيبيع الأرض | كان سيهاجر | التخلي.
Q | ما معنى «تتيح»؟ | تُمكّن | تمنع | تُخفي | تُغلق | أتاح = مكّن.
@@
@R أُعدّ مشروع قانون لحماية من يبلّغون عن المخالفات داخل مؤسساتهم. يضمن المشروع سرّية هوية المبلّغ ويحظر أي إجراء انتقامي. وترحّب الجمعيات بهذه الخطوة لكنها تأسف لاشتراط اللجوء أولًا إلى الرئيس المباشر، وهو ما قد يثني الخائفين من انكشاف هويتهم.
Q | ما هدف المشروع؟ | حماية المبلّغين | معاقبتهم | دفع أجورهم | تدريبهم | حماية.
Q | ماذا يضمن المشروع؟ | سرية الهوية | راتبًا | عملًا دائمًا | جائزة | سرية الهوية.
Q | ما الذي تأسف له الجمعيات؟ | اشتراط اللجوء إلى الرئيس أولًا | غياب القانون | المدة | الكلفة | الرئيس المباشر.
