# gramatica
Q | राम ＿＿ किताब पढ़ी। | ने | को | से | में | सकर्मक क्रिया के भूतकाल में कर्ता के साथ ने: राम ने किताब पढ़ी।
Q | यह किसका घर है? | मेरा | मेरी | मेरे | मैं | «घर» पुल्लिंग: मेरा।
Q | ये किसके जूते हैं? | मेरे | मेरा | मेरी | मैं | «जूते» बहुवचन: मेरे।
Q | उसके ＿＿ बहुत पैसे हैं। | पास | में | से | पर | अधिकार का बोध: के पास।
Q | बच्चे बाग़ ＿＿ खेल रहे हैं। | में | से | को | पर | स्थान: में.
Q | पंखा छत ＿＿ लगा है। | पर | में | से | को | सतह पर: पर.
Q | वह दिल्ली ＿＿ आया है। | से | में | को | पर | उद्गम: से.
Q | मैं ट्रेन ＿＿ आया। | से | में | को | पर | साधन: से.
Q | वह कलम ＿＿ लिखता है। | से | में | को | पर | साधन: से.
Q | उसने माँ ＿＿ पैसे लिए। | से | को | में | पर | «से» द्वारा स्रोत: माँ से पैसे लिए।
Q | मैंने दोस्त ＿＿ फ़ोन किया। | को | से | में | पर | फ़ोन करना + को: दोस्त को.
Q | राम ने सीता ＿＿ किताब दी। | को | से | में | पर | देना + को (प्राप्तकर्ता).
Q | वह सुबह ＿＿ शाम तक काम करता है। | से | को | में | पर | से ... तक.
Q | आप कब ＿＿ हिंदी सीख रहे हैं? | से | को | में | पर | कब से = कितने समय से.
Q | उसने खाना खा ＿＿ । (पूर्ण) | लिया | दिया | गया | पड़ा | संयुक्त क्रिया: खा लिया।
Q | उसने पत्र लिख ＿＿ । (दूसरों के लिए) | दिया | लिया | गया | पड़ा | संयुक्त क्रिया: लिख दिया।
Q | वह अचानक हँस ＿＿ । | पड़ा | गया | दिया | लिया | संयुक्त क्रिया: हँस पड़ा।
Q | वह घर से निकल ＿＿ । | गया | लिया | दिया | बैठा | संयुक्त क्रिया: निकल गया।
Q | उसने किताब पढ़ ＿＿ । | डाली | पड़ी | गई | उठी | पढ़ डाली = जल्दी/पूरी तरह पढ़ ली।
Q | मुझे ठंड ＿＿ रही है। | लग | जा | दे | ले | «ठंड लग रही है»।
Q | उसे नींद ＿＿ रही है। | आ | जा | दे | ले | «नींद आना».
Q | मुझे भूख ＿＿ है। | लगी | आई | गई | दी | «भूख लगना».
Q | मुझे प्यास ＿＿ है। | लगी | आई | गई | दी | «प्यास लगना».
Q | अगर वह आता, तो मैं ＿＿ । | खुश होता | खुश होऊँगा | खुश हुआ | खुश होना | सामान्य असंभव शर्त: होता।
Q | अगर वह आएगा, तो मैं ＿＿ । | खुश होऊँगा | खुश होता | खुश हुआ | खुश होते | संभाव्य शर्त + भविष्यत्.
Q | यदि तुम मेहनत करोगे, ＿＿ सफल होगे। | तो | पर | क्योंकि | जबकि | यदि ... तो.
Q | जैसे ही वह आया, ＿＿ बारिश शुरू हो गई। | वैसे ही | तो भी | इसलिए | लेकिन | जैसे ही ... वैसे ही.
Q | वह इतना थका था ＿＿ खाना भी नहीं खा सका। | कि | कि तो | या | ना | इतना ... कि.
Q | उसने मेहनत की ＿＿ सफल हो सके। | ताकि | क्योंकि | जबकि | यद्यपि | उद्देश्य: ताकि.
Q | यद्यपि वह बीमार था, ＿＿ वह काम पर गया। | तथापि | इसलिए | क्योंकि | ताकि | यद्यपि ... तथापि.
Q | वह नहीं आया ＿＿ वह बीमार था। | क्योंकि | ताकि | यद्यपि | तथापि | कारण: क्योंकि.
Q | वह बीमार था ＿＿ नहीं आया। | इसलिए | क्योंकि | ताकि | यद्यपि | परिणाम: इसलिए.
Q | वह न ＿＿ पढ़ता है, न लिखता है। | तो | ही | भी | सी | न ... न.
Q | या तो तुम जाओ ＿＿ मैं जाऊँगा। | या | और | तो | न | या तो ... या.
Q | जो मेहनत करता है, ＿＿ सफल होता है। | वही | कोई | जो | कहीं | जो ... वही.
Q | जितना पढ़ोगे, ＿＿ सीखोगे। | उतना | कितना | जितना | जैसा | जितना ... उतना.
Q | जैसा बोओगे, ＿＿ काटोगे। | वैसा | ऐसा | कैसा | जैसा | जैसा ... वैसा.
Q | उसने कहा ＿＿ वह कल आएगा। | कि | तो | ही | भी | कहना + कि.
Q | मुझे नहीं पता ＿＿ वह कहाँ है। | कि | तो | ही | भी | नहीं पता कि.
Q | पिताजी ＿＿ ऑफ़िस से आ गए। | अभी-अभी | कभी-कभी | कहीं-कहीं | जहाँ-तहाँ | अभी-अभी = हाल ही में.
Q | वह ＿＿ आता है। | कभी-कभी | अभी-अभी | कहीं-कहीं | जहाँ-तहाँ | कभी-कभी = अनियमित.
Q | बच्चा ＿＿ चल रहा है। | धीरे-धीरे | कभी-कभी | कहीं-कहीं | बार-बार | धीरे-धीरे: क्रियाविशेषण.
Q | आप ＿＿ बातें करते हैं। | अच्छी | अच्छा | अच्छे | अच्छी-अच्छे | «बातें» स्त्री. बहु.: अच्छी बातें.
Q | वह ＿＿ आदमी है। | अच्छा | अच्छी | अच्छे | अच्छा-अच्छी | पुल्लिंग एकवचन: अच्छा आदमी.
Q | वह ＿＿ औरत है। | अच्छी | अच्छा | अच्छे | अच्छा-अच्छे | स्त्रीलिंग: अच्छी औरत.
Q | ये ＿＿ लड़के हैं। | अच्छे | अच्छा | अच्छी | अच्छों | बहुवचन पु.: अच्छे.
Q | दो ＿＿ आए। | आदमी | आदमियों | आदमियों को | आदमी को | संख्या के साथ मूल रूप: दो आदमी.
Q | सब ＿＿ यहाँ आओ। | लोग | लोगों | लोगों को | लोग को | सब लोग.
Q | ＿＿ आदमी ने मुझे बुलाया। | किसी | कई | कितने | किस को | «किसी आदमी ने».
Q | उन ＿＿ ने मेरी मदद की। | लोगों | लोग | लोगों को | लोग ने | तिर्यक बहुवचन: उन लोगों ने.
Q | मैं ＿＿ मिला। | उससे | उसे को | उसका | उसमें | मिलना + से: उससे मिला.
Q | मैंने ＿＿ देखा। | उसे | उससे | उसका | उसमें | देखना + को (उसे).
Q | ＿＿ की बात है, मैंने ताला नहीं लगाया था। | कल | कल को | कल से | कल में | «कल की बात है».
Q | पिछले ＿＿ मैं मुंबई गया था। | साल | साल में | साल को | साल से | «पिछले साल».
Q | अगले ＿＿ मेरी परीक्षा है। | हफ़्ते | हफ़्ते में | हफ़्ते को | हफ़्ते से | «अगले हफ़्ते».
Q | वह ＿＿ बजे उठता है। | छह | छः को | छह में | छह से | «छह बजे».
Q | मैं ＿＿ तक इंतज़ार करूँगा। | पाँच बजे | पाँच बजे में | पाँच बजे को | पाँच बजे से | «पाँच बजे तक».
Q | वह ＿＿ ठीक हो गया। | धीरे-धीरे | कभी-कभी | कहीं-कहीं | बार-बार | धीरे-धीरे ठीक हो गया।
Q | ＿＿ की ज़रूरत है। | पानी | पानी को | पानी में | पानी पर | «पानी की ज़रूरत है» — संबंध कारक: पानी की।
Q | विलोम शब्द: उन्नति ＿＿ | अवनति | प्रगति | विकास | उत्थान | उन्नति ↔ अवनति।
Q | विलोम शब्द: आदर ＿＿ | अनादर | सम्मान | इज़्ज़त | प्रतिष्ठा | आदर ↔ अनादर।
Q | विलोम शब्द: स्वतंत्र ＿＿ | परतंत्र | आज़ाद | मुक्त | स्वाधीन | स्वतंत्र ↔ परतंत्र।
Q | विलोम शब्द: प्रशंसा ＿＿ | निंदा | तारीफ़ | स्तुति | सराहना | प्रशंसा ↔ निंदा।
Q | विलोम शब्द: आशा ＿＿ | निराशा | उम्मीद | आस | भरोसा | आशा ↔ निराशा।
Q | विलोम शब्द: लाभ ＿＿ | हानि | फ़ायदा | मुनाफ़ा | प्राप्ति | लाभ ↔ हानि।
Q | विलोम शब्द: सहमत ＿＿ | असहमत | राज़ी | सहमति | सम्मत | सहमत ↔ असहमत।
Q | विलोम शब्द: स्थायी ＿＿ | अस्थायी | दीर्घ | पक्का | स्थिर | स्थायी ↔ अस्थायी।
Q | विलोम शब्द: प्रत्यक्ष ＿＿ | अप्रत्यक्ष | स्पष्ट | साक्षात् | दृश्य | प्रत्यक्ष ↔ अप्रत्यक्ष।
Q | पर्यायवाची: सूर्य ＿＿ | दिनकर | चंद्र | निशा | तारा | सूर्य = दिनकर।
Q | पर्यायवाची: पृथ्वी ＿＿ | धरा | आकाश | जल | अग्नि | पृथ्वी = धरा।
Q | पर्यायवाची: नदी ＿＿ | सरिता | सागर | झील | तालाब | नदी = सरिता।
Q | पर्यायवाची: आकाश ＿＿ | गगन | धरती | जल | वायु | आकाश = गगन।
Q | पर्यायवाची: मित्र ＿＿ | सखा | शत्रु | बैरी | अपरिचित | मित्र = सखा।
Q | पर्यायवाची: सुंदर ＿＿ | मनोहर | कुरूप | भयानक | कठोर | सुंदर = मनोहर।
Q | पर्यायवाची: शीघ्र ＿＿ | जल्दी | धीरे | देर | बाद | शीघ्र = जल्दी।
Q | पर्यायवाची: प्रयास ＿＿ | कोशिश | आलस्य | हार | त्याग | प्रयास = कोशिश।
Q | अर्थ बताइए: «आँखों का तारा» | बहुत प्यारा | अंधा | तारे देखने वाला | दूर का | मुहावरा: आँखों का तारा = लाड़ला।
Q | अर्थ बताइए: «नाक कटना» | बदनामी होना | नाक टूटना | चोट लगना | सूँघना | नाक कटना = अपमान होना।
Q | अर्थ बताइए: «हाथ मलना» | पछताना | हाथ धोना | ठंड लगना | मालिश करना | हाथ मलना = पछताना।
Q | अर्थ बताइए: «आग बबूला होना» | बहुत क्रोधित होना | आग जलाना | बबूल काटना | ठंडा होना | आग बबूला होना = अत्यंत गुस्सा।
Q | अर्थ बताइए: «दाँतों तले उँगली दबाना» | आश्चर्य करना | डरना | खाना खाना | बीमार होना | अचरज में पड़ना।
Q | अर्थ बताइए: «ऊँट के मुँह में जीरा» | ज़रूरत से बहुत कम | बहुत ज़्यादा | बराबर | स्वादिष्ट | ऊँट के मुँह में जीरा = अपर्याप्त।
Q | अर्थ बताइए: «अंधे की लाठी» | एकमात्र सहारा | लाठी टूटना | अंधापन | चोट | अंधे की लाठी = सहारा।
Q | अर्थ बताइए: «दूध का दूध पानी का पानी» | सही न्याय | दूध बेचना | पानी मिलाना | बँटवारा | दूध का दूध, पानी का पानी = निष्पक्ष न्याय।
Q | लोकोक्ति का अर्थ: «जैसा देश वैसा भेष» | स्थान के अनुसार आचरण | देश छोड़ना | भेष बदलना | नकल करना | जैसा देश वैसा भेष।
Q | लोकोक्ति का अर्थ: «नौ दो ग्यारह होना» | भाग जाना | जोड़ना | गिनना | जीतना | नौ दो ग्यारह = भाग जाना।
Q | लोकोक्ति का अर्थ: «अब पछताए होत क्या जब चिड़िया चुग गई खेत» | समय निकल जाने पर पछताना व्यर्थ है | चिड़िया मत मारो | खेत बेचो | पछताओ | समय पर काम करना चाहिए।
Q | शुद्ध वर्तनी चुनिए: | विद्यार्थी | विध्यार्थी | विद्यार्थि | विद्यार्धी | शुद्ध: विद्यार्थी।
Q | शुद्ध वर्तनी चुनिए: | परीक्षा | परिक्षा | परीच्छा | परिच्छा | शुद्ध: परीक्षा।
Q | शुद्ध वर्तनी चुनिए: | प्रतीक्षा | प्रतिक्षा | प्रतीच्छा | प्रतिच्छा | शुद्ध: प्रतीक्षा।
Q | शुद्ध वर्तनी चुनिए: | आशीर्वाद | आर्शीवाद | आशिर्वाद | आर्शिवाद | शुद्ध: आशीर्वाद।
Q | शुद्ध वर्तनी चुनिए: | उज्ज्वल | उज्जवल | उजवल | उज्वल | शुद्ध: उज्ज्वल।
Q | शुद्ध वर्तनी चुनिए: | श्रीमती | श्रिमती | श्रीमति | श्रमती | शुद्ध: श्रीमती।
Q | शुद्ध वर्तनी चुनिए: | कवयित्री | कवियत्री | कवयत्री | कविईत्री | शुद्ध: कवयित्री।
Q | शुद्ध वर्तनी चुनिए: | अतिथि | अतीथि | अतिथी | अतीथी | शुद्ध: अतिथि।
Q | शुद्ध वर्तनी चुनिए: | पुनर्जन्म | पुर्नजन्म | पुनरजन्म | पुनार्जन्म | शुद्ध: पुनर्जन्म।
Q | शुद्ध वर्तनी चुनिए: | निरपराध | निरअपराध | नीरपराध | निपराध | शुद्ध: निरपराध।
Q | संधि विच्छेद: विद्यालय = | विद्या + आलय | विद्य + आलय | विद्या + लय | विद् + यालय | दीर्घ संधि: विद्या + आलय।
Q | संधि विच्छेद: सूर्योदय = | सूर्य + उदय | सूर्य + ओदय | सूर + योदय | सूर्यो + दय | गुण संधि: सूर्य + उदय।
Q | संधि विच्छेद: महेश = | महा + ईश | महे + ईश | मह + ईश | महा + इश | गुण संधि: महा + ईश।
Q | संधि विच्छेद: नमस्ते = | नमः + ते | नम + स्ते | नमे + स्ते | नमा + ते | विसर्ग संधि: नमः + ते।
Q | संधि विच्छेद: जगदीश = | जगत् + ईश | जग + दीश | जगद + ईश | जग + ईश | व्यंजन संधि: जगत् + ईश।
Q | समास का नाम: राजकुमार = | तत्पुरुष | द्वंद्व | द्विगु | बहुव्रीहि | राजा का कुमार: तत्पुरुष।
Q | समास का नाम: माता-पिता = | द्वंद्व | तत्पुरुष | बहुव्रीहि | अव्ययीभाव | माता और पिता: द्वंद्व।
Q | समास का नाम: नीलकंठ = | बहुव्रीहि | तत्पुरुष | द्वंद्व | कर्मधारय | नीला है कंठ जिसका: शिव → बहुव्रीहि।
Q | समास का नाम: यथाशक्ति = | अव्ययीभाव | तत्पुरुष | द्वंद्व | कर्मधारय | शक्ति के अनुसार: अव्ययीभाव।
Q | समास का नाम: नवरात्र = | द्विगु | तत्पुरुष | द्वंद्व | बहुव्रीहि | नौ रात्रियों का समूह: द्विगु।
Q | समास का नाम: महापुरुष = | कर्मधारय | द्वंद्व | अव्ययीभाव | बहुव्रीहि | महान् है जो पुरुष: कर्मधारय।
Q | एक शब्द में: जो कभी न मरे | अमर | निर्भय | निडर | अजर | अमर = जो मरे नहीं।
Q | एक शब्द में: जिसका कोई शत्रु न हो | अजातशत्रु | निर्धन | अनाथ | अशिक्षित | अजातशत्रु।
Q | एक शब्द में: जो सब कुछ जानता हो | सर्वज्ञ | सर्वत्र | सर्वदा | सर्वसम | सर्वज्ञ = सब जानने वाला।
Q | एक शब्द में: जिसे क्षमा न किया जा सके | अक्षम्य | अपराध | अपराजेय | अजेय | अक्षम्य = जो क्षमा योग्य न हो।
Q | एक शब्द में: जो आँखों के सामने हो | प्रत्यक्ष | परोक्ष | अदृश्य | गुप्त | प्रत्यक्ष।
Q | उपसर्ग पहचानिए: अनादर | अन | अ | आ | दर | अन + आदर: उपसर्ग «अन»।
Q | उपसर्ग पहचानिए: निर्धन | निर् | नि | धन | निर | निर् + धन।
Q | उपसर्ग पहचानिए: प्रयोग | प्र | प्रय | पर | योग | प्र + योग।
Q | प्रत्यय पहचानिए: मानवता | ता | मान | वता | ना | मानव + ता।
Q | प्रत्यय पहचानिए: पढ़ाई | आई | पढ़ | ई | ढ़ाई | पढ़ + आई।
Q | प्रत्यय पहचानिए: चालाकी | की | ई | चाला | ाकी | चालाक + ई (चालाकी)।
Q | अनेकार्थी शब्द «कल» के अर्थ | बीता या आने वाला दिन, मशीन | केवल सुबह | केवल रात | केवल पानी | «कल» = आने वाला/बीता दिन; यंत्र।
Q | अनेकार्थी शब्द «अर्थ» के अर्थ | मतलब, धन | केवल मतलब | केवल धन | केवल शक्ति | «अर्थ» = मतलब; धन।
Q | लिंग: «दही» है | पुल्लिंग | स्त्रीलिंग | उभयलिंग | नपुंसक | दही: पुल्लिंग।
Q | लिंग: «नदी» है | स्त्रीलिंग | पुल्लिंग | उभयलिंग | नपुंसक | नदी: स्त्रीलिंग।
Q | लिंग: «पानी» है | पुल्लिंग | स्त्रीलिंग | उभयलिंग | नपुंसक | पानी: पुल्लिंग।
Q | लिंग: «आत्मा» है | स्त्रीलिंग | पुल्लिंग | उभयलिंग | नपुंसक | आत्मा: स्त्रीलिंग।
Q | वचन: «लड़का» का बहुवचन | लड़के | लड़कें | लड़कों | लड़कीं | लड़का → लड़के।
Q | वचन: «रात» का बहुवचन | रातें | रात | रातों | रातेँ | रात → रातें।
Q | शुद्ध वाक्य चुनिए: | मैं कल दिल्ली जाऊँगा। | मैं कल दिल्ली जाऊँगी (पुरुष के लिए)। | मैं कल दिल्ली जाएगा। | मैं कल दिल्ली जाते हैं। | शुद्ध: मैं जाऊँगा।
Q | शुद्ध वाक्य चुनिए: | उसने पत्र लिखा। | उसने पत्र लिखी। | वह पत्र लिखा। | उसने पत्र लिखते। | ने + कर्म के अनुसार क्रिया।
Q | शुद्ध वाक्य चुनिए: | सीता ने खाना पकाया। | सीता ने खाना पकाई। | सीता खाना पकाया। | सीता ने खाना पकाती। | ने + कर्म «खाना» (पु.).
Q | शुद्ध वर्तनी चुनिए: | संतोष | संतोश | सतोष | संतोस | शुद्ध: संतोष।
Q | शुद्ध वर्तनी चुनिए: | निष्ठा | निष्टा | निशठा | निश्ठा | शुद्ध: निष्ठा।
Q | शुद्ध वर्तनी चुनिए: | ऋण | रिण | रन | ऋन | शुद्ध: ऋण।
Q | वचन: «कहानी» का बहुवचन | कहानियाँ | कहानी | कहानिया | कहानियों | कहानी → कहानियाँ।
Q | वचन: «बहू» का बहुवचन | बहुएँ | बहू | बहूएँ | बहुऐं | बहू → बहुएँ।
# reading
@R बहुत-सी कंपनियाँ सप्ताह में चार दिन काम की व्यवस्था अपना रही हैं। समर्थकों का मानना है कि पर्याप्त आराम पाने वाले कर्मचारी अधिक एकाग्रता से काम करते हैं। विरोधियों का कहना है कि दुकानों और अस्पतालों जैसी जगहों पर, जहाँ निश्चित समय पर सेवा देनी होती है, इसे लागू करना कठिन है। शुरुआती प्रयोगों में उत्पादकता बनी रही, पर दीर्घकालिक प्रभाव अभी अनिश्चित है।
Q | इस गद्यांश का मुख्य विचार क्या है? | चार दिन का सप्ताह आशाजनक है पर हर जगह लागू नहीं हो सकता। | यह विफल हो गया। | सभी कंपनियों ने इसे अपना लिया। | उत्पादकता बहुत गिर गई। | संतुलित मूल्यांकन।
Q | किन जगहों पर इसे लागू करना कठिन बताया गया है? | जहाँ निश्चित समय पर सेवा देनी होती है | कार्यालयों में | स्कूलों में | घरों में | दुकानें और अस्पताल।
Q | शुरुआती प्रयोगों में क्या दिखा? | उत्पादकता बनी रही। | खर्च बढ़ गया। | कर्मचारी छोड़ गए। | कुछ पता नहीं चला। | उत्पादकता स्थिर।
Q | «समर्थक» का अर्थ है | पक्ष लेने वाला | विरोधी | मालिक | ग्राहक | समर्थक = हिमायती।
Q | दीर्घकालिक प्रभाव के बारे में क्या कहा गया है? | वह अभी अनिश्चित है। | वह सिद्ध हो चुका है। | वह बुरा है। | वह महत्वहीन है। | अभी अनिश्चित।
@@
@R संग्रहालय ने हर महीने के पहले रविवार को निःशुल्क प्रवेश देने का निर्णय लिया। इससे दर्शकों की संख्या दोगुनी हो गई, पर लंबी कतारें और कक्षों की टूट-फूट भी बढ़ी। निदेशक इसे आंशिक सफलता मानते हैं: दर्शकों का दायरा बढ़ा, पर वे लोग नहीं आ सके जो समय की कमी या अपरिचय के कारण भीतर आने का साहस नहीं करते।
Q | निःशुल्क प्रवेश का क्या परिणाम हुआ? | दर्शक दोगुने हो गए। | संग्रहालय बंद हो गया। | दर्शक घट गए। | टिकट महँगे हो गए। | दोगुने दर्शक।
Q | कौन-सी समस्याएँ सामने आईं? | लंबी कतारें और कक्षों की टूट-फूट | चोरियाँ | केवल शोर | निर्माण कार्य | कतारें और टूट-फूट।
Q | निदेशक इस प्रयोग को कैसे आँकते हैं? | आंशिक सफलता | पूर्ण विफलता | बड़ी सफलता | व्यर्थ | आंशिक सफलता।
Q | कौन-से लोग नहीं आ सके? | जो अपरिचय के कारण संकोच करते हैं | विदेशी | बच्चे | विद्यार्थी | संकोची लोग।
Q | «अपरिचय» का अर्थ है | परिचित न होना | दोस्ती | प्रेम | क्रोध | अपरिचय = अनजानपन।
@@
@R इस वर्ष उपन्यासकार ने एक अनोखी पुस्तक प्रकाशित की है, जो डायरी और खोजी रिपोर्ट के बीच की चीज़ है। वे अपने परिवार की स्मृतियों को टटोलते हैं, पर कभी अंतिम सत्य का दावा नहीं करते। कुछ आलोचकों को इसमें निष्कर्ष के अभाव की शिकायत है, जबकि कुछ इसे निर्णय थोपने से बचने की दुर्लभ ईमानदारी मानते हैं।
Q | पुस्तक का स्वरूप क्या है? | डायरी और खोजी रिपोर्ट के बीच का | जासूसी उपन्यास | कविता-संग्रह | पारंपरिक जीवनी | मिश्रित स्वरूप।
Q | लेखक परिवार की स्मृतियों के साथ क्या करते हैं? | उन्हें टटोलते हैं, पर निष्कर्ष नहीं थोपते | उनकी निंदा करते हैं | उन्हें अनदेखा करते हैं | उनकी स्तुति करते हैं | अंतिम सत्य का दावा नहीं।
Q | कुछ आलोचकों की शिकायत क्या है? | निष्कर्ष का अभाव | लंबाई | कीमत | शैली | निष्कर्ष नहीं।
Q | दूसरे आलोचक इसमें क्या देखते हैं? | दुर्लभ ईमानदारी | आलस्य | दोष | अनाड़ीपन | ईमानदारी।
Q | «थोपना» का अर्थ है | ज़बरदस्ती लादना | हटाना | दबाना | उठाना | थोपना = लादना।
@@
@R जब हम हर चीज़ को अंकों में मापना चाहते हैं, तब जो गिना नहीं जा सकता, उसे आसानी से भूल जाते हैं। प्रदर्शन-सूचक संस्था चलाने में उपयोगी हैं, पर कभी-कभी वे व्यवहार को ही निर्देशित करने लगते हैं: लोग सेवा की गुणवत्ता से अधिक आँकड़े की चिंता करने लगते हैं। इसलिए कुछ समाजशास्त्री गुणात्मक जानकारी को साथ रखने की सलाह देते हैं।
Q | गद्यांश किस खतरे की ओर संकेत करता है? | जो गिना नहीं जा सकता उसे भूल जाना | कुछ न मापना | बहुत खर्च करना | गलत भर्ती | अंकों की सीमा।
Q | प्रदर्शन-सूचक कभी-कभी क्या करते हैं? | व्यवहार को निर्देशित करते हैं | गायब हो जाते हैं | सुधर जाते हैं | सस्ते हो जाते हैं | व्यवहार निर्देशित।
Q | समाजशास्त्री क्या सलाह देते हैं? | गुणात्मक जानकारी साथ रखने की | अंक हटाने की | भर्ती की | छंटनी की | साथ रखना।
Q | «गुणात्मक» का अर्थ है | गुण से संबंधित | संख्या से संबंधित | धन से संबंधित | समय से संबंधित | गुणात्मक = qualitative।
Q | लेखक का दृष्टिकोण कैसा है? | आलोचनात्मक पर संतुलित | उत्साही | उदासीन | हास्यपूर्ण | आलोचना + संतुलन।
@@
@R शहरों में छतों पर हरियाली को प्रोत्साहन दिया जा रहा है। इससे गर्मी में तापमान घटता है, वर्षा-जल रुकता है और कीड़ों को आश्रय मिलता है। फिर भी लागत और पुरानी इमारतों पर पड़ने वाला अतिरिक्त भार इसके प्रसार में बाधा है। जो नगरपालिकाएँ अनुदान देकर इसे बढ़ावा देती हैं, वे केवल अनिवार्य करने वालों से बेहतर परिणाम पाती हैं।
Q | छत पर हरियाली का एक लाभ क्या है? | गर्मी में तापमान घटता है। | शोर बढ़ता है। | जगह घटती है। | लागत कम है। | तापमान कमी।
Q | प्रसार में क्या बाधा है? | लागत और पुरानी इमारतों पर भार | कीड़ों की कमी | बारिश | कानून | लागत, भार।
Q | कौन-सी नगरपालिकाएँ बेहतर परिणाम पाती हैं? | जो अनुदान देती हैं | जो केवल अनिवार्य करती हैं | जो मना करती हैं | जो उपेक्षा करती हैं | अनुदान।
Q | «आश्रय» का अर्थ है | शरण | बाज़ार | स्कूल | होटल | आश्रय = शरण।
Q | गद्यांश का स्वरूप कैसा है? | सूचनात्मक | विवादात्मक | हास्यपूर्ण | कथात्मक | सूचनात्मक।
@@
@R बीस वर्षों से विदेशी लेखकों को पाठकों से परिचित कराने वाली अनुवादिका कहती हैं कि अनुवाद एक शब्द को दूसरे शब्द से बदलना नहीं है। यह पाठ की आवाज़, लय और उसकी चुप्पी को फिर से जगाना है। वे मानती हैं कि इस निष्ठा के लिए कभी-कभी अक्षर से विश्वासघात करके आत्मा को बचाना पड़ता है, जिसे शब्दशः-वादी हमेशा क्षमा नहीं करते।
Q | उनके अनुसार अनुवाद क्या है? | पाठ की आवाज़ को फिर से जगाना | शब्द बदलना | सारांश | सुधार | आवाज़ को जगाना।
Q | इस निष्ठा के लिए कभी-कभी क्या करना पड़ता है? | अक्षर से विश्वासघात कर आत्मा बचाना | शब्दशः अनुवाद | टिप्पणियाँ जोड़ना | पाठ मिटाना | अक्षर से विश्वासघात।
Q | यह समझौता किसे हमेशा स्वीकार नहीं होता? | शब्दशः-वादियों को | लेखकों को | पाठकों को | प्रकाशकों को | शब्दशः-वादी।
Q | वे कितने वर्षों से अनुवाद कर रही हैं? | बीस | दो | दस | पाँच | बीस वर्ष।
Q | «क्षमा नहीं करते» का यहाँ आशय है | निंदा जारी रखते हैं | खुश होते हैं | जानते नहीं | भूल जाते हैं | क्षमा न करना = आलोचना।
@@
@R किसान ने दस साल पहले अपने खेत को जैविक खेती में बदला। शुरुआत कठिन थी: उपज घटी और खर्च बढ़ा। आज उसे लगता है कि उसने दाँव जीत लिया, क्योंकि अच्छी गुणवत्ता के कारण वह सीधे ग्राहकों को ऊँचे दाम पर बेच पाता है। पर वह मानता है कि सहकारी संस्था की मदद के बिना शायद वह हार मान लेता।
Q | किसान ने कब जैविक खेती अपनाई? | दस साल पहले | पिछले साल | दो साल पहले | बीस साल पहले | दस वर्ष।
Q | शुरुआत कैसी थी? | कठिन | आसान | लाभदायक | तेज़ | कठिन।
Q | उसे क्यों लगता है कि दाँव जीत लिया? | सीधे ग्राहकों को ऊँचे दाम पर बेचता है | ज़मीन बढ़ी | उपज बढ़ी | काम घटा | सीधी बिक्री।
Q | सहकारी संस्था के बिना क्या होता? | शायद वह हार मान लेता | वह अकेले सफल होता | वह ज़मीन बेचता | वह पलायन करता | हार मान लेता।
Q | «दाँव» का अर्थ यहाँ है | जोखिम भरा प्रयास | खेल का मैदान | पुरस्कार | ऋण | दाँव = जोखिम।
@@
