# gramatica
Q | Я давно мечтал ＿＿ такой возможности. | о | про | за | над | Мечтать о + предложный падеж.
Q | У него двадцать одна ＿＿ . | книга | книги | книг | книгу | 21 + именительный единственного.
Q | Он живёт в ＿＿ доме. | новом | новый | нового | новому | Предложный падеж: в новом доме.
Q | Мы говорим о ＿＿ книге. | новой | новая | новую | новой (родительный) | О новой книге.
Q | Я читаю ＿＿ книгу. | новую | новая | новой | новые | Винительный ж.р.: новую.
Q | С ＿＿ другом я ходил в кино. | моим | мой | моего | моему | Творительный: с моим другом.
Q | Он подарил цветы ＿＿ . | маме | мама | маму | мамы | Дательный: маме.
Q | Я позвонил ＿＿ . | другу | друг | друга | другом | Звонить + дательный.
Q | Я помогаю ＿＿ . | брату | брат | брата | братом | Помогать + дательный.
Q | Я скучаю ＿＿ тебе. | по | о | за | к | Скучать по + дательный: по тебе.
Q | Он боится ＿＿ . | собаки | собаку | собаке | собакой | Бояться + родительный.
Q | Он ждёт ＿＿ . | друга | друг | другу | другом | Ждать + родительный/винительный одушевлённого: друга.
Q | Я люблю ＿＿ . | музыку | музыка | музыке | музыкой | Любить + винительный.
Q | Он владеет ＿＿ языками. | тремя | три | трёх | трём | Владеть + творительный.
Q | Мы стали ＿＿ . | друзьями | друзья | друзей | друзьям | Стать + творительный.
Q | Он работает ＿＿ . | врачом | врач | врача | врачу | Работать кем: творительный.
Q | Он был ＿＿ . | студентом | студент | студента | студенту | Был + творительный (в прошедшем).
Q | Мне ＿＿ лет. | двадцать | двадцати | двадцатью | двадцатый | Мне + число: двадцать лет.
Q | Ему ＿＿ год. | один | одного | одному | одним | Ему один год.
Q | Я вижу ＿＿ . | студентов | студенты | студентам | студентами | Винительный одушевлённых мн.ч. = родительный.
Q | Это дом ＿＿ преподавателя. | моего | мой | моему | моим | Родительный: дом моего преподавателя.
Q | Он пошёл в магазин ＿＿ хлебом. | за | для | от | на | Пойти за хлебом = купить хлеб.
Q | Спасибо ＿＿ помощь. | за | на | для | о | Благодарить/спасибо за + винительный.
Q | Я благодарен ＿＿ помощь. | вам за | вас за | вами за | вас | Благодарен кому за что.
Q | Он извинился ＿＿ опоздание. | за | о | на | по | Извиняться за + винительный.
Q | Я согласен ＿＿ вами. | с | на | к | у | Согласен с + творительный.
Q | Он влюбился ＿＿ неё. | в | на | к | у | Влюбиться в + винительный.
Q | Он ответил ＿＿ вопрос. | на | о | за | про | Ответить на + винительный.
Q | Он ответил ＿＿ . | мне | меня | мной | обо мне | Ответить кому: дательный.
Q | Он звонит ＿＿ каждый день. | мне | меня | мной | обо мне | Звонить кому: дательный.
Q | Мы думаем ＿＿ будущем. | о | про | на | за | Думать о + предложный.
Q | Он смотрит ＿＿ картину. | на | в | о | за | Смотреть на + винительный.
Q | Он слушает ＿＿ . | музыку | музыка | музыкой | музыки | Слушать + винительный.
Q | Она пользуется ＿＿ . | компьютером | компьютер | компьютера | компьютеру | Пользоваться + творительный.
Q | Он увлекается ＿＿ . | музыкой | музыка | музыку | музыки | Увлекаться + творительный.
Q | Она принадлежит ＿＿ . | ему | его | им | о нём | Принадлежать кому: дательный.
Q | Он верит ＿＿ . | в бога | бога (винительный) | в богу | о боге | Верить в + винительный.
Q | Он верит ＿＿ . | мне | меня | мной | обо мне | Верить кому: дательный.
Q | Мы участвуем ＿＿ конкурсе. | в | на | к | у | Участвовать в + предложный.
Q | Мы обращаемся ＿＿ вам с просьбой. | к | о | за | по | Обращаться к + дательный.
Q | Он зависит ＿＿ родителей. | от | о | у | к | Зависеть от + родительный.
Q | Мы стремимся ＿＿ успеху. | к | на | за | о | Стремиться к + дательный.
Q | Он обладает ＿＿ талантом. | большим | большой | большего | большому | Обладать + творительный.
Q | Он относится ＿＿ работе серьёзно. | к | о | за | на | Относиться к + дательный.
Q | Ученик, ＿＿ задачу, получил пятёрку. | решивший | решающий | решённый | решая | Действительное причастие прошедшего времени: решивший.
Q | Задача, ＿＿ учеником, оказалась лёгкой. | решённая | решавшая | решив | решая | Страдательное причастие: решённая.
Q | ＿＿ письмо, он пошёл на почту. | Написав | Написанное | Написавший | Пишущий | Деепричастие соверш. вида: написав.
Q | ＿＿ по улице, он думал о работе. | Идя | Шедший | Пройдя | Ходивший | Деепричастие несов. вида: идя.
Q | Мальчик, ＿＿ на диване, читает книгу. | сидящий | севший | сидя | сесть | Причастие настоящего времени: сидящий.
Q | Дом, ＿＿ в прошлом году, уже готов. | построенный | строящийся | построил | строя | Страдательное причастие: построенный.
Q | Он говорил, ＿＿ на нас. | глядя | глядящий | глядев | глядеть | Деепричастие: глядя.
Q | Он вошёл, ＿＿ дверь. | открыв | открывающий | открытая | открытый | Деепричастие: открыв.
Q | Он лежал, ＿＿ книгу. | читая | читающий | читанный | читав | Деепричастие: читая.
Q | Он побежал ＿＿ автобусом. | за | по | к | от | Бежать за + творительный.
Q | Он ходит ＿＿ школу каждый день. | в | на | к | у | Ходить в школу.
Q | Он идёт ＿＿ школы. | из | с | от | у | Идти из школы.
Q | Самолёт ＿＿ над городом. | летит | идёт | плывёт | едет | Глаголы движения: самолёт летит.
Q | Корабль ＿＿ по морю. | плывёт | летит | едет | идёт | Корабль плывёт.
Q | Мы ＿＿ в Москву на поезде. | едем | идём | летим | плывём | Ехать на поезде.
Q | Он ＿＿ в институте пять лет. | учился | учит | выучил | изучил | Учиться в институте.
Q | Он ＿＿ русский язык. | изучает | учится | учит (себя) | учатся | Изучать + винительный.
Q | Слово «огромный» по значению близко к слову | очень большой | очень маленький | очень тёплый | очень быстрый | Огромный = очень большой.
Q | Слово «мелкий» противоположно слову | крупный | маленький | тонкий | лёгкий | Мелкий ↔ крупный.
Q | Слово «увеличить» противоположно слову | уменьшить | вырастить | улучшить | ускорить | Увеличить ↔ уменьшить.
Q | Слово «согласиться» противоположно слову | отказаться | принять | решить | понять | Согласиться ↔ отказаться (не согласиться).
Q | Слово «начало» противоположно слову | конец | середина | начинание | дело | Начало ↔ конец.
Q | Слово «богатый» противоположно слову | бедный | жадный | сильный | добрый | Богатый ↔ бедный.
Q | Синоним слова «приобрести» | купить | продать | забыть | отдать | Приобрести ≈ купить.
Q | Синоним слова «трудный» | сложный | лёгкий | простой | скучный | Трудный ≈ сложный.
Q | Синоним слова «рассказывать» | повествовать | молчать | слушать | забывать | Рассказывать ≈ повествовать (книжн.).
Q | Синоним слова «начинать» | приступать | заканчивать | забывать | прерывать | Начинать ≈ приступать.
Q | Синоним слова «помощь» | поддержка | помеха | вред | спор | Помощь ≈ поддержка.
Q | Синоним слова «сообщить» | известить | скрыть | забыть | спрятать | Сообщить ≈ известить.
Q | Синоним слова «изменение» | перемена | сохранение | стабильность | остановка | Изменение ≈ перемена.
Q | Значение слова «неотъемлемый»: | обязательно присущий | случайный | ненужный | временный | Неотъемлемый = неотделимый.
Q | Значение слова «предпосылка»: | условие, основание | результат | конец | спор | Предпосылка = условие.
Q | Значение слова «способствовать»: | помогать развитию | мешать | бояться | забывать | Способствовать = содействовать.
Q | Как правильно писать? Он ＿＿ пришёл домой. | не | ни | нет | небо | Отрицание при глаголе пишется раздельно: не пришёл.
Q | Как правильно писать? ＿＿ один человек не пришёл. | Ни | Не | Нет | Небо | Усилительное отрицание: ни один.
Q | Как правильно писать? Он приехал ＿＿ . | из-за границы | изза границы | из за границы | из-заграницы | Предлог из-за пишется через дефис.
Q | Как правильно писать слово? | объявление | обявление | объевление | обьявление | Разделительный твёрдый знак: объявление.
Q | Как правильно писать слово? | подъезд | подезд | подьезд | подъёзд | Разделительный ъ: подъезд.
Q | Как правильно писать слово? | рассказ | расказ | росказ | рассказъ | Приставка раз-/рас-: рассказ.
Q | Как правильно писать слово? | безвкусный | бесвкусный | безвкусьный | бэзвкусный | Приставка без-: безвкусный.
Q | Как правильно писать слово? | бесплатный | безплатный | бесплатний | бессплатный | Приставка бес- перед глухой: бесплатный.
Q | Как правильно писать слово? | исследование | иследование | исследованье | иссследование | Приставка ис- + следование: исследование.
Q | Как правильно писать слово? | коллектив | колектив | коллектиф | калектив | Двойная л: коллектив.
Q | Как правильно писать слово? | программа | програма | праграмма | прогрмма | Двойная м: программа.
Q | Где нужна запятая? Он сказал ＿＿ что придёт. | , | . | ; | : | Запятая перед придаточным с «что».
Q | Где нужна запятая? Когда он пришёл ＿＿ все уже ушли. | , | . | ; | : | Запятая между придаточным и главным.
Q | Где нужна запятая? Я люблю читать ＿＿ и писать. | нет запятой | , | ; | : | Однородные члены с одиночным «и» не разделяются запятой.
Q | Где нужна запятая? Мой друг ＿＿ врач ＿＿ работает в больнице. | , и , | нет запятых | только первая | только вторая | Приложение «врач» обособляется запятыми.
Q | Где нужна запятая? Студент ＿＿ сидящий у окна ＿＿ читает. | , и , | нет | только первая | только вторая | Причастный оборот после определяемого слова обособляется.
Q | Где нужна запятая? Придя домой ＿＿ он лёг спать. | , | . | ; | : | Деепричастный оборот обособляется.
Q | Какой знак? Он спросил ＿＿ Ты придёшь? | : | , | . | ; | После слов автора перед прямой речью — двоеточие.
Q | Выберите верное: Он обратился ＿＿ вопросом. | с | о | к | над | Обратиться с вопросом.
Q | Выберите верное: Это зависит ＿＿ погоды. | от | о | к | на | Зависеть от + родительный.
Q | Выберите верное: Он отличается ＿＿ других. | от | о | к | над | Отличаться от + родительный.
Q | Выберите верное: Он удивился ＿＿ известию. | известию | известием | известие | известия | Удивиться + дательный: известию.
Q | Выберите верное: Он предупредил ＿＿ . | нас об опасности | нас опасность | нам опасность | нас опасностью | Предупредить кого о чём.
Q | Выберите верное: Он поручил ＿＿ . | ему задачу | его задачу | ему задачи | его задачи | Поручить кому что.
Q | Выберите верное: Он заслуживает ＿＿ . | уважения | уважение | уважению | уважением | Заслуживать + родительный.
Q | Выберите верное: Он обеспечивает ＿＿ . | семью | семье | семьёй | о семье | Обеспечивать кого чем.
Q | Выберите верное: Он лишился ＿＿ . | работы | работу | работе | работой | Лишиться + родительный.
Q | Выберите верное: Он добился ＿＿ . | успеха | успех | успехом | успеху | Добиться + родительный.
# reading
@R Всё больше компаний переходит на четырёхдневную рабочую неделю. Сторонники считают, что хорошо отдохнувшие сотрудники работают внимательнее. Противники возражают: в магазинах, больницах и других местах с жёстким графиком такую систему ввести трудно. Первые эксперименты показали, что производительность не снижается, но долгосрочный эффект пока неясен.
Q | Какова главная мысль текста? | Четырёхдневка перспективна, но не везде применима. | Она провалилась. | Её внедрили все компании. | Производительность резко упала. | Взвешенная оценка.
Q | Где такую систему трудно ввести? | там, где жёсткий график работы | в офисах | в школах | дома | Магазины и больницы.
Q | Что показали первые эксперименты? | Производительность не снижается. | Расходы выросли. | Сотрудники уволились. | Ничего не известно. | Производительность сохраняется.
Q | Слово «сторонники» означает | те, кто поддерживает | противники | начальники | клиенты | Сторонник = приверженец.
Q | Долгосрочный эффект | пока неясен | доказан | отрицателен | неважен | Пока неясен.
@@
@R Музей решил открывать двери бесплатно в первое воскресенье каждого месяца. Число посетителей удвоилось, но появились и длинные очереди, и повышенный износ залов. Директор считает эксперимент половинчатым успехом: аудитория расширилась, но не пришли те, кому не хватает времени или кто просто не решается переступить порог.
Q | К чему привела бесплатность? | Посетителей стало вдвое больше. | Музей закрылся. | Посетителей стало меньше. | Билеты подорожали. | Удвоение.
Q | Какие проблемы возникли? | очереди и износ залов | кражи | только шум | ремонт | Очереди, износ.
Q | Как директор оценивает эксперимент? | как частичный успех | как полный провал | как большой успех | как бессмысленный | Половинчатый успех.
Q | Кого не удалось привлечь? | тех, кто не решается войти | иностранцев | детей | студентов | Не решающихся.
Q | «Переступить порог» — это | войти | выйти | построить | сломать | Переступить порог = войти.
@@
@R В этом году писатель выпустил необычную книгу — нечто среднее между дневником и журналистским расследованием. Он вспоминает историю своей семьи, но не претендует на окончательную истину. Одни критики жалеют об отсутствии финала, другие видят в отказе делать выводы редкую честность.
Q | Какова форма книги? | что-то среднее между дневником и расследованием | детектив | сборник стихов | обычная биография | Смешанная форма.
Q | Как автор обращается с семейной памятью? | Вспоминает, не делая окончательных выводов. | Осуждает. | Игнорирует. | Прославляет. | Без окончательной истины.
Q | О чём жалеют некоторые критики? | об отсутствии финала | о длине | о цене | о стиле | Нет финала.
Q | Что другие критики видят в отказе делать выводы? | редкую честность | лень | недостаток | неловкость | Честность.
Q | «Претендовать на» — здесь | заявлять о своём праве на | отказываться от | забывать о | бояться | Претендовать = заявлять.
@@
@R Когда пытаешься измерить всё цифрами, легко упустить то, что не поддаётся счёту. Показатели эффективности полезны для управления организацией, но иногда сами начинают диктовать поведение: люди заботятся о цифре, а не о качестве услуги. Поэтому некоторые социологи советуют дополнять таблицы качественными данными.
Q | О какой опасности говорится в тексте? | упустить то, что нельзя посчитать | ничего не измерять | слишком много тратить | плохо нанимать | Ограниченность цифр.
Q | Что иногда делают показатели? | диктуют поведение | исчезают | улучшаются | дешевеют | Диктуют поведение.
Q | Что советуют социологи? | дополнять качественными данными | отменить цифры | нанимать | увольнять | Дополнять качественными данными.
Q | «Диктовать» здесь значит | определять | писать под диктовку | забывать | копировать | Диктовать = навязывать.
Q | Позиция автора | критическая, но взвешенная | восторженная | равнодушная | шутливая | Критика с оговорками.
@@
@R В городах поощряют озеленение крыш. Оно снижает летнюю жару, накапливает дождевую воду и даёт приют насекомым. Однако стоимость и дополнительная нагрузка на старые здания сдерживают его распространение. Муниципалитеты, поддерживающие его субсидиями, добиваются лучших результатов, чем те, кто только обязывает.
Q | Какая польза от озеленения крыш? | Снижает летнюю жару. | Увеличивает шум. | Уменьшает пространство. | Стоит недорого. | Снижение жары.
Q | Что сдерживает распространение? | стоимость и нагрузка на старые здания | нехватка насекомых | дожди | законы | Стоимость и нагрузка.
Q | Какие муниципалитеты добиваются лучших результатов? | те, что дают субсидии | те, что только обязывают | те, что запрещают | те, что игнорируют | Субсидии.
Q | «Приют» здесь — это | место, где можно укрыться | рынок | школа | ресторан | Приют = убежище.
Q | Характер текста | информационный | полемический | шуточный | повествовательный | Информация.
@@
@R Переводчица, двадцать лет знакомящая читателей с зарубежными авторами, говорит, что перевод — это не замена слов другими словами, а воссоздание голоса текста, его ритма и даже его молчания. Она признаёт, что такая верность иногда требует предать букву ради духа — компромисс, который буквалисты не всегда прощают.
Q | Что такое перевод по её мнению? | воссоздание голоса текста | замена слов | краткий пересказ | редактирование | Голос текста.
Q | Чего иногда требует такая верность? | предать букву ради духа | следовать слово в слово | добавлять примечания | убирать текст | Предать букву.
Q | Кто не всегда прощает этот компромисс? | буквалисты | авторы | читатели | издатели | Буквалисты.
Q | Сколько лет она переводит? | двадцать | два | десять | пять | Двадцать.
Q | «Не прощают» здесь означает | продолжают упрекать | радуются | не знают | забывают | Не прощают = упрекают.
@@
@R Фермер десять лет назад перевёл хозяйство на органическое земледелие. Сначала было трудно: урожай упал, расходы выросли. Сегодня он считает, что выиграл пари: качество продукции позволяет продавать её дороже напрямую покупателям. Впрочем, он признаёт, что без поддержки кооператива, скорее всего, отказался бы от затеи.
Q | Когда фермер перешёл на органическое земледелие? | десять лет назад | в прошлом году | два года назад | двадцать лет назад | Десять лет.
Q | Каким было начало? | трудным | лёгким | прибыльным | быстрым | Трудным.
Q | Почему он считает, что выиграл пари? | Продаёт дороже напрямую. | Земли стало больше. | Производит больше. | Работает меньше. | Прямые продажи.
Q | Что было бы без кооператива? | Он, скорее всего, отказался бы. | Он справился бы сам. | Он продал бы землю. | Он уехал бы. | Отказался бы.
Q | «Затея» — это | замысел, идея | ссора | болезнь | праздник | Затея = замысел.
@@
@R Подготовлен законопроект, призванный лучше защищать тех, кто сообщает о нарушениях в организации. Он гарантирует анонимность и запрещает любые меры мести. Общественные организации приветствуют шаг вперёд, но сожалеют, что нужно сначала обращаться к руководителю: это может отпугнуть тех, кто боится, что его вычислят.
Q | Какова цель законопроекта? | защитить информаторов | наказать их | платить им | обучать их | Защита.
Q | Что он гарантирует? | анонимность | зарплату | пожизненную работу | премию | Анонимность.
Q | О чём сожалеют организации? | что нужно сначала обращаться к руководителю | что нет закона | о сроках | о стоимости | Обращение к руководству.
Q | Почему эта процедура может отпугнуть людей? | Их могут вычислить. | Она дорогая. | Она долгая. | Она секретная. | Риск быть выявленным.
Q | «Месть» — это | ответная жестокость | награда | совет | отчёт | Месть = возмездие.
@@
@R Подростки хронически недосыпают. Если сдвинуть начало уроков на час, как это сделали некоторые лицеи, посещаемость растёт, а число аварий на дорогах снижается. Противники опасаются путаницы в расписании, но исследователи считают такое неудобство небольшим по сравнению с полученной пользой.
Q | Что улучшается при сдвиге начала уроков? | посещаемость и безопасность на дорогах | только оценки | зарплаты | каникулы | Посещаемость и безопасность.
Q | Чего опасаются противники? | путаницы в расписании | усталости | расходов | шума | Расписание.
Q | Как исследователи оценивают это неудобство? | как небольшое | как огромное | как недопустимое | как несуществующее | Небольшое.
Q | «Хронически» — это | постоянно, длительно | внезапно | редко | недавно | Хронически = постоянно.
Q | Вероятный вывод текста | Польза больше неудобств. | Надо отказаться. | Ничего не изменится. | Сон не нужен. | Польза > неудобства.
@@
@R Деревня лишилась последнего кафе, а с ним — и места, где люди встречались. Жители создали объединение, выкупили здание и вместе управляют им. Кафе приносит скромную прибыль, но председатель настаивает: главное не деньги, а сохранение места, где люди по-прежнему видят друг друга.
Q | Чего лишилась деревня? | последнего кафе | школы | администрации | вокзала | Кафе.
Q | Как удалось спасти кафе? | Жители выкупили его. | Его выкупил город. | Его купила фирма. | Пожертвование. | Объединение жителей.
Q | Что подчёркивает председатель? | Главное не деньги. | Прибыль — цель. | Кафе закроют. | Нужно продавать. | Место встреч.
Q | «Скромная прибыль» — это | небольшая | огромная | убыток | нулевая | Скромная = небольшая.
Q | Какова прибыль кафе? | скромная | крупный убыток | огромная | нет | Скромная.
@@
@R Исследовательница объясняет, что сокращение числа пчёл связано не только с пестицидами. Из-за монокультур цветов становится меньше, и пчёлы лишаются сбалансированного корма. Фермеры, создающие цветочные полосы, сообщают об увеличении урожая, потому что опыление обеспечивает больше насекомых.
Q | Что ещё угрожает пчёлам? | нехватка разнообразных цветов | избыток цветов | дожди | мёд | Мало цветов.
Q | К чему приводят монокультуры? | к несбалансированному корму | к разнообразному корму | к росту мёда | к росту числа цветов | Несбалансированность.
Q | О чём сообщают фермеры? | об увеличении урожая | об уменьшении урожая | о росте работы | о числе пчёл | Урожай вырос.
Q | Почему урожай растёт? | Опыляет больше насекомых. | Больше дождей. | Больше удобрений. | Поля больше. | Опыление.
Q | «Опыление» — это | перенос пыльцы | полив | продажа | измерение | Опыление = polinización.
@@
@R Судебный процесс завершился без драматических поворотов. Свидетели один за другим смягчали показания, и обвинение всё больше напоминало здание, из которого вынули опоры. Приговор никого не удивил, даже подсудимого, который последнее заседание просидел, разглядывая потолок.
Q | Как закончился процесс? | без драматических поворотов | драматично | признанием | беспорядками | Без поворотов.
Q | Что делали свидетели? | смягчали показания | ужесточали показания | убегали | кричали | Смягчали.
Q | Что символизирует образ здания без опор? | что обвинение теряло основания | что здание прочное | что дорого | что новое | Потеря оснований.
Q | Поведение подсудимого показывает, что он | ожидал приговора | был в ярости | удивился | невиновен | Ожидал.
Q | «Приговор» — это | решение суда | речь | закон | защита | Приговор = sentencia.
@@
@R Один градостроитель считает, что город больше похож на экосистему, чем на механизм: его части приспосабливаются, конкурируют и сотрудничают так, как не предусматривал ни один план. Самыми удачными кварталами он называет те, которые мало планировали и оставили жителям простор для импровизации.
Q | С чем он сравнивает город? | с экосистемой | с механизмом | с книгой | с музеем | Экосистема.
Q | Какие кварталы самые удачные? | мало распланированные | тщательно распланированные | старейшие | новейшие | Мало плана.
Q | Что оставляют жителям? | простор для импровизации | ничего | приказы | планы | Импровизация.
Q | «Приспосабливаться» — это | адаптироваться | уезжать | исчезать | командовать | Адаптироваться.
Q | Главный тезис | город нельзя свести к плану | город — механизм | город предсказуем | город бесполезен | Экосистема.
@@
@R С распространением стриминга открытие новой музыки происходит через алгоритмы. Защитники видят в этом демократизацию, критики — замыкание в собственных вкусах. Недавнее исследование показывает, что слушатели персональных подборок знакомятся с гораздо меньшим числом жанров, чем те, кто ищет самостоятельно.
Q | Как теперь открывают музыку? | через алгоритмы | по радио | через критиков | на концертах | Алгоритмы.
Q | В чём упрекают критики? | в замыкании в собственных вкусах | в цене | в недоступности | в качестве | Замыкание во вкусах.
Q | Что показало исследование? | Слушатели подборок знакомятся с меньшим числом жанров. | Все слушают больше. | Стриминг бесплатен. | Радио растёт. | Меньше жанров.
Q | «Защитники» — это | те, кто поддерживает | противники | музыканты | начальники | Защитники = сторонники.
Q | Как подан материал? | обе точки зрения | одна точка зрения | реклама | стихи | Баланс.
@@
@R Главный редактор газеты отстаивает журналистику больших форматов. Вместо погони за срочными новостями он хочет давать глубокие расследования, даже если газета выходит реже. Рекламодатели, по его словам, ценят преданного читателя. Оппоненты возражают, что такая модель возможна лишь для немногих изданий, у которых есть меценаты.
Q | Что отстаивает главный редактор? | журналистику больших форматов | срочные новости | рекламу | бесплатность | Долгие расследования.
Q | Чего он хочет избежать? | погони за срочными новостями | рекламодателей | расследований | читателей | Погони.
Q | Какой довод у оппонентов? | Модель возможна лишь для немногих изданий. | Она дешёвая. | Она нравится всем. | Она незаконна. | Немногие издания.
Q | «Отстаивать» — это | упорно защищать | игнорировать | писать | читать | Отстаивать = защищать.
Q | Что ценят рекламодатели, по его мнению? | преданного читателя | срочные новости | бесплатность | ничего | Преданный читатель.
@@
@R Выставка о маленьких предметах повседневности предлагает посетителю по-новому взглянуть на то, что он давно не замечает. Ложка, пуговица, ключ — каждый предмет рассказывает об эпохе, профессии, образе жизни. Куратор подчёркивает, что не хотел ни ностальгии, ни учёности, а только внимательного взгляда.
Q | Что представлено на выставке? | повседневные предметы | картины | автомобили | украшения | Предметы быта.
Q | Чего хотел куратор? | внимательного взгляда | ностальгии | учёности | шока | Внимание.
Q | О чём рассказывает каждый предмет? | об эпохе и образе жизни | о тайне | о суде | о путешествии | Эпоха, образ жизни.
Q | «Куратор» — это | организатор выставки | врач | судья | экскурсовод | Куратор.
Q | Тон текста | спокойный | грубый | комичный | торопливый | Спокойный.
@@
@R Из-за подъёма уровня моря некоторые прибрежные города рассматривают возможность переселения жителей. Долго остававшаяся табу, эта идея набирает сторонников: содержание дамб обходится всё дороже, а их эффективность падает. Остаётся неясным, кто оплатит переселение и как сохранить самобытность целых посёлков.
Q | Что рассматривают некоторые города? | переселение жителей | строительство дамб | закрытие пляжей | продажу земли | Переселение.
Q | Почему идея набирает сторонников? | Дамбы дорожают и теряют эффективность. | Осадков стало меньше. | Море отступило. | Все требуют. | Затраты и эффективность.
Q | Что остаётся неясным? | кто оплатит переселение | кто построит дамбы | где строить порты | кто будет ловить рыбу | Оплата.
Q | «Табу» — это | то, о чём избегают говорить | популярное | старинное | бесплатное | Табу.
Q | «Набирать сторонников» — это | получать всё больше поддержки | терять силу | исчезать | скрываться | Набирать = получать.
@@
@R Социолог замечает, что удалённая работа изменила отношения между коллегами. Эффективность индивидуальных задач выросла, но неформальные беседы, питающие инновации, стали редкостью. Компании, требующие полного возвращения в офис, рискуют вызвать недовольство, а те, что отказываются от него, теряют общую культуру.
Q | Что изменила удалённая работа? | отношения между коллегами | зарплаты | графики | транспорт | Отношения.
Q | Что стало редкостью? | неформальные беседы | задачи | собрания | письма | Неформальные беседы.
Q | Чем рискует компания, требующая возвращения в офис? | недовольством | ростом инноваций | тишиной | удалёнкой | Недовольство.
Q | Что теряют компании, отказывающиеся от офиса? | общую культуру | сотрудников | деньги | здания | Общая культура.
