# gramatica
Q | Not until the report was published ＿＿ the extent of the damage. | did we realise | we realised | we did realise | realised we | Tras "Not until" al inicio se invierte auxiliar + sujeto: did we realise.
Q | I can't help ＿＿ that something is wrong. | feeling | to feel | feel | felt | Can't help + gerundio (no poder evitar).
Q | The report, ＿＿ was written by an intern, contained several errors. | which | that | what | who | Relativa no especificativa (entre comas): which, no that.
Q | ＿＿ the instructions carefully, she assembled the desk without help. | Having read | Have read | To have read | Reading of | Participio perfecto de acción anterior: Having read.
Q | The film ＿＿ us feeling rather disappointed. | left | let | made | took | Leave + objeto + gerundio/adjetivo: left us feeling.
Q | I'm not used ＿＿ up so early. | to getting | to get | getting | for getting | Be used to + gerundio (estar acostumbrado a).
Q | It's high time the government ＿＿ something about it. | did | does | will do | had done | It's high time + pasado simple para acción pendiente.
Q | Under no circumstances ＿＿ the door be left unlocked. | should | it should | must be | is | Under no circumstances + inversión (should the door).
Q | The lecturer went ＿＿ the main points once more. | over | through up | onto | in for | Go over = repasar.
Q | Choose the correct word: He has a strong ＿＿ to succeed. | determination | determine | determined | determinedly | Tras el artículo y adjetivo se requiere sustantivo: determination.
Q | By this time next year, she ＿＿ her degree. | will have completed | will complete | is completing | completes | Futuro perfecto para acción terminada antes de un punto futuro.
Q | ＿＿ she was tired, she kept working until midnight. | Even though | Despite | In spite | Owing to | Even though + cláusula completa (concesiva); despite/in spite exigen sustantivo.
Q | The teacher made the students ＿＿ the essay again. | rewrite | to rewrite | rewriting | rewrote | Make + objeto + infinitivo sin to.
Q | She is said ＿＿ over ten languages. | to speak | speaking | to be speaking | to have spoke | Pasiva impersonal con say: is said to speak.
Q | If you ＿＿ any questions, please contact us. | have | will have | would have | had had | Condicional tipo 1: presente simple en la condición.
Q | ＿＿ of the two proposals was accepted. | Neither | None | No | Not | Neither aplica a dos opciones; none a tres o más.
Q | He apologised ＿＿ being late. | for | of | about to | with | Apologise for + gerundio.
Q | The building ＿＿ at the moment; you can't go in. | is being renovated | is renovating | renovates | has renovated | Pasiva continua en presente: is being renovated.
Q | I'd like to point ＿＿ that the figures are provisional. | out | up | off | over | Point out = señalar, hacer notar.
Q | Not only ＿＿ late, but he also forgot the documents. | did he arrive | he arrived | arrived he | he did arrive | Not only al inicio invierte auxiliar y sujeto.
Q | The witness was reluctant ＿＿ any details. | to give | giving | in giving | for give | Reluctant + to infinitive.
Q | She has been working here ＿＿ 2019. | since | for | from | during | Since con fecha de inicio.
Q | Correct sentence: | Scarcely had we sat down when the lights went out. | Scarcely we had sat down when the lights went out. | Scarcely had we sat down than the lights went out. | Scarcely did we sat down when the lights went out. | Scarcely had + sujeto + participio, seguido de when.
Q | The company is hoping to ＿＿ a deal with a Japanese firm. | strike | hit | beat | pull | Collocation: strike a deal (cerrar un trato).
Q | ＿＿ the fact that he was exhausted, he agreed to help. | In spite of | Because of | Thanks to | As a result of | In spite of + the fact that indica concesión.
Q | I would have gone if I ＿＿ the invitation. | had received | received | would receive | have received | Tipo 3: if + past perfect, would have + participio.
Q | A: 'Shall we go?' B: 'Just a moment, I ＿＿ my shoes on.' | am putting | put | will put | have put | Presente continuo para acción en curso mientras se habla.
Q | Choose the closest meaning: She turned down the offer. | She refused it. | She accepted it. | She reduced it. | She delayed it. | Turn down = rechazar.
Q | Choose the closest meaning: The meeting was called off. | cancelled | postponed | shortened | recorded | Call off = cancelar.
Q | Choose the closest meaning: He got away with it. | He avoided punishment. | He ran away. | He was arrested. | He confessed. | Get away with = salirse con la suya sin castigo.
Q | Choose the closest meaning: They put up with the noise. | tolerated | complained about | ignored | made | Put up with = tolerar.
Q | Choose the closest meaning: The deal fell through. | It failed to happen. | It was signed. | It was improved. | It was discussed. | Fall through = fracasar, no concretarse.
Q | Choose the closest meaning: I came across an old photo. | found by chance | bought | threw away | framed | Come across = encontrar por casualidad.
Q | Choose the closest meaning: He takes after his father. | resembles | follows | admires | obeys | Take after = parecerse a un familiar.
Q | Choose the closest meaning: The plan backfired. | It had the opposite effect. | It succeeded. | It was cancelled. | It was delayed. | Backfire = salir el tiro por la culata.
Q | Choose the closest meaning: She's under the weather. | slightly ill | very happy | angry | outdoors | Under the weather = indispuesto.
Q | Choose the closest meaning: It's a piece of cake. | very easy | very sweet | expensive | a small part | A piece of cake = pan comido.
Q | Choose the closest meaning: We'll cross that bridge when we come to it. | deal with it only if it happens | build a bridge | avoid the problem | ask for help | Idioma: afrontar el problema cuando llegue.
Q | Choose the closest meaning: He let the cat out of the bag. | revealed a secret | lost his pet | made a mistake | changed his mind | Let the cat out of the bag = revelar un secreto.
Q | Choose the closest meaning: They're in the same boat. | in the same situation | on holiday | lost | travelling together | In the same boat = en la misma situación.
Q | Choose the closest meaning: She was over the moon. | delighted | tired | confused | far away | Over the moon = eufórica.
Q | Choose the closest meaning: He burnt the midnight oil. | worked late into the night | wasted resources | started a fire | slept badly | Burn the midnight oil = trabajar hasta tarde.
Q | The word for a person who writes a book is ＿＿. | author | authority | authentic | authorise | Author = autor; las demás son otras clases de palabra.
Q | Form a noun: The ＿＿ of the new system took six months. (implement) | implementation | implementing | implemental | implemented | Sustantivo derivado: implementation.
Q | Form an adjective: Her explanation was completely ＿＿. (believe) | unbelievable | unbelieving | disbelief | believer | Adjetivo negativo: unbelievable.
Q | Form an adverb: He spoke ＿＿ about the risks. (frank) | frankly | frankness | franked | frankish | Adverbio: frankly.
Q | Form a noun: Her ＿＿ to detail impressed everyone. (attend) | attention | attendance | attentive | attendant | Attention to detail es la colocación; attendance = asistencia.
Q | Form a verb: The new law will ＿＿ the rules on data. (strong) | strengthen | strongen | strongly | strength | Verbo derivado: strengthen.
Q | Form an adjective: The results were ＿＿, so we repeated the test. (conclude) | inconclusive | unconclusive | disconclusive | nonconcluded | Adjetivo con in-: inconclusive.
Q | Form a noun: There has been a sharp ＿＿ in the number of applicants. (decrease) | decrease | decreasingly | decreased up | decreasable | Decrease funciona como sustantivo: a sharp decrease.
Q | Form a noun: His ＿＿ made him unpopular. (arrogant) | arrogance | arrogantly | arrogancy | arrogate | Sustantivo: arrogance.
Q | The government has come under ＿＿ for its handling of the crisis. | fire | flame | smoke | ash | Come under fire = ser duramente criticado.
Q | He's a person of great ＿＿; you can trust him completely. | integrity | integration | integral | integrate | Integrity = integridad.
Q | The two companies decided to ＿＿ forces. | join | link | tie | bind | Join forces = unir fuerzas.
Q | She took the ＿＿ of the situation and ran the meeting. | reins | ropes | strings | belts | Take the reins = tomar el control.
Q | There is a fine ＿＿ between confidence and arrogance. | line | rope | edge | step | A fine line = una línea muy fina.
Q | The scandal ＿＿ light on the company's practices. | shed | threw | put | laid | Shed light on = arrojar luz sobre.
Q | We need to weigh ＿＿ the pros and cons before deciding. | up | on | with | in | Weigh up = sopesar.
Q | The evidence ＿＿ strongly to his involvement. | points | shows up | leads on | signs | Evidence points to = las pruebas apuntan a.
Q | They are working ＿＿ a tight deadline. | to | at | on top | in | Work to a deadline (colocación fija).
Q | The rise in prices is ＿＿ to inflation. | attributed | contributed | distributed | committed | Be attributed to = atribuirse a.
Q | She is ＿＿ to be promoted next month. | expected | waiting | hoped | supposing | Be expected to = se espera que.
Q | The manager was accused ＿＿ falsifying the accounts. | of | for | with | about | Accuse someone of + gerundio.
Q | He is very keen ＿＿ learning new skills. | on | at | to | with | Be keen on + gerundio.
Q | I'm responsible ＿＿ the marketing department. | for | of | about | at | Responsible for.
Q | This result is inconsistent ＿＿ previous findings. | with | to | from | of | Inconsistent with.
Q | She takes great pride ＿＿ her work. | in | of | at | on | Take pride in.
Q | The rules apply ＿＿ all employees. | to | for | at | over | Apply to.
Q | We are opposed ＿＿ the new regulations. | to | against | of | with | Be opposed to.
Q | He has a talent ＿＿ languages. | for | to | of | in | Have a talent for.
Q | The decision was made ＿＿ consultation with experts. | in | on | at | by | In consultation with.
Q | ＿＿ the circumstances, we accept your proposal. | Under | On | At | By | Under the circumstances = dadas las circunstancias.
Q | I'm afraid I can't attend; I'm ＿＿ my eyes in work. | up to | over | out of | down to | Be up to one's eyes in work = estar hasta el cuello de trabajo.
Q | Would you mind ＿＿ the window? | opening | to open | open | opened | Would you mind + gerundio.
Q | She suggested ＿＿ a taxi. | taking | to take | took | to taking | Suggest + gerundio.
Q | I regret ＿＿ you that your application was unsuccessful. | to inform | informing | inform | to informing | Regret to + infinitivo para comunicar una noticia desagradable.
Q | He stopped ＿＿ to check his phone. | to look | looking | look | for look | Stop to + infinitivo = detenerse para hacer algo.
Q | I remember ＿＿ the door, so it must be locked. | locking | to lock | lock | to have lock | Remember + gerundio = recordar algo hecho.
Q | We tried ＿＿ the machine, but nothing happened. | restarting | to restart | restart | to restarting | Try + gerundio = probar como experimento.
Q | The children are used to ＿＿ to bed early. | going | go | went | gone | Be used to + gerundio.
Q | Look at that sky; it ＿＿ rain. | is going to | will | shall | is | Predicción basada en evidencia presente: be going to.
Q | Don't call me at eight; I ＿＿ dinner. | will be having | will have | am having had | have | Futuro continuo para acción en curso en un momento futuro.
Q | I'm sorry, I didn't mean ＿＿ you. | to upset | upsetting | upset | to be upset | Mean + to infinitive = tener intención.
Q | Which is correct? | The people whose house was flooded received help. | The people who's house was flooded received help. | The people which house was flooded received help. | The people whom house was flooded received help. | Whose expresa posesión en relativas.
Q | Which is correct? | Anyone who wants to leave may do so. | Anyone whom wants to leave may do so. | Anyone which wants to leave may do so. | Anyone whose wants to leave may do so. | Relativa con who como sujeto.
Q | Which is correct? | She asked me whether I had finished. | She asked me if had I finished. | She asked me that I had finished. | She asked me did I finish. | Estilo indirecto de pregunta: whether/if + orden afirmativo.
Q | Which is correct? | He told me he would call the next day. | He told me he will call tomorrow. | He said me he would call. | He told that he would call. | Cambio de tiempo y referencia en estilo indirecto: would, the next day.
Q | Which is correct? | I have lived here for ten years. | I live here since ten years. | I am living here for ten years. | I lived here since ten years. | Present perfect con for + duración.
Q | Which is correct? | There was a lot of traffic this morning. | There were a lot of traffic this morning. | There was many traffic this morning. | There were much traffic this morning. | Traffic es incontable: was a lot of.
Q | Which is correct? | The news is worrying. | The news are worrying. | The newses is worrying. | The news were worrying. | News es incontable y va en singular.
Q | Which is correct? | Each of the students has a locker. | Each of the students have a locker. | Each of the students are having a locker. | Each the students has a locker. | Each of + plural concuerda con has.
Q | Which is correct? | I've never seen such a beautiful view. | I've never seen so a beautiful view. | I've never seen a such beautiful view. | I've never seen such beautiful a view. | such + a + adjetivo + sustantivo.
Q | Which is correct? | She is one of the best players I have ever seen. | She is one of the best player I have ever seen. | She is one of best players I have ever seen. | She is one of the bests players I have ever seen. | One of the + superlativo + plural.
Q | Which is correct? | Having finished the exam, the students left. | Having finish the exam, the students left. | Have finished the exam, the students left. | To having finished the exam, the students left. | Participio perfecto Having finished.
Q | Which is correct? | I look forward to hearing from you. | I look forward to hear from you. | I look forward hearing from you. | I look forward for hearing from you. | Look forward to + gerundio.
Q | Which is correct? | The number of accidents has increased. | The number of accidents have increased. | A number of accidents has increased. | The numbers of accident has increased. | The number of + singular verb.
Q | Which is correct? | It's no use complaining. | It's no use to complain. | It's no use for complaining. | It's not use complaining. | It's no use + gerundio.
Q | Which is correct? | She is bound to succeed. | She is bound succeed. | She is bound succeeding. | She bounds to succeed. | Be bound to = seguro que.
Q | Which is correct? | We ran out of milk. | We ran out milk. | We ran out from milk. | We run out of milk. | Run out of (pasado: ran out of).
Q | Which is correct? | He is far too young to drive. | He is too much young to drive. | He is too younger to drive. | He is very too young to drive. | Far too + adjetivo.
Q | Which is correct? | Provided that you pay on time, there will be no penalty. | Provided that you will pay on time, there will be no penalty. | Provided you would pay on time, there will be no penalty. | Provided to pay on time, there will be no penalty. | Provided that + presente en condicional.
Q | Which is correct? | Unless you hurry, you'll miss the train. | Unless you don't hurry, you'll miss the train. | Unless you won't hurry, you'll miss the train. | Unless hurrying, you'll miss the train. | Unless ya es negativo: no lleva otra negación.
Q | Which is correct? | Whoever comes first will get a prize. | Whomever comes first will get a prize. | Whichever person comes first will get prize. | Whatever comes first will get a prize person. | Whoever como sujeto de la subordinada.
Q | Which is correct? | The government is expected to announce new measures. | The government are expected announcing new measures. | The government expects to announce new measure. | The government is expecting announce new measures. | Passive con expect + to infinitive.
Q | Which is correct? | I'd sooner die than admit it. | I'd sooner to die than admit it. | I'd sooner dying than admit it. | I'd sooner died than admit it. | Would sooner + infinitivo sin to.
Q | Which is correct? | By the age of thirty, she had already published three novels. | By the age of thirty, she already published three novels. | By the age of thirty, she has already published three novels. | By the age of thirty, she was already publishing three novels. | By + edad pasada exige past perfect.
Q | The novel, ＿＿ plot is extremely complex, has won several prizes. | whose | which | of which the | that its | Whose introduce posesión en relativa no especificativa.
Q | You needn't ＿＿ the report today; Friday is fine. | finish | to finish | finishing | have finish | Needn't + infinitivo sin to.
Q | She is ＿＿ the most talented pianist in the country. | arguably | argue | arguable | argument | Adverbio arguably = posiblemente.
Q | He drives ＿＿ carefully than his brother. | more | most | much | the more | Comparativo de adverbio: more carefully than.
Q | The ＿＿ of the accident were still unclear a week later. | circumstances | circumstance | circumstantial | circumstancing | Circumstances (plural) concuerda con were.
Q | Had it not been for the rain, we ＿＿ the match. | would have won | will win | had won | would win | Tipo 3 invertido: would have + participio.
Q | The evidence was ＿＿ to secure a conviction. | insufficient | unsufficient | disufficient | nonsufficient | Insufficient es la forma correcta con in-.
Q | He was ＿＿ with stealing the painting, but the charges were dropped. | charged | accused | suspected | blamed | Solo charge se construye con with (charged with); accuse/suspect/blame llevan of/for.
Q | I'd like you to ＿＿ me a favour. | do | make | give up | have | Do someone a favour (colocación).
Q | It's not worth ＿＿ about; it's only a small mistake. | worrying | to worry | worry | worried | It's not worth + gerundio.
Q | ＿＿ I admire his courage, I disagree with his methods. | While | Because | Unless | Since when | While con valor concesivo: aunque.
Q | The candidate was asked to ＿＿ his views on immigration. | outline | outlaw | outlast | outrun | Outline = exponer a grandes rasgos.
Q | The children were ＿＿ excited to sleep. | too | so | very | such | Too + adjetivo + to infinitive.
Q | I'll lend you the book ＿＿ you promise to return it. | as long as | even though | whereas | in case | As long as = siempre que (condicional).
Q | Take an umbrella ＿＿ it rains. | in case | if only | so that | unless | In case = por si acaso.
Q | She spoke quietly ＿＿ she wouldn't wake the baby. | so that | in order | so as | for that | So that + cláusula con sujeto.
Q | The company has ＿＿ its profits by 20 percent. | boosted | boasted | bounded | boarded | Boost = aumentar, impulsar.
Q | It took him a while to ＿＿ to the new environment. | adapt | adopt | adept | adjoin | Adapt to = adaptarse a.
Q | The two sides finally reached a ＿＿. | compromise | comprise | complaint | compliance | Reach a compromise = llegar a un acuerdo.
Q | She's a highly ＿＿ surgeon. | skilled | skillful of | skilling | skilly | Highly skilled = muy cualificado.
Q | The lecture was so ＿＿ that many students fell asleep. | tedious | tedium | tediously | tedy | Adjetivo tedious tras so.
Q | He gave a ＿＿ account of the events, leaving nothing out. | comprehensive | comprehensible | comprehending | comprehension | Comprehensive = exhaustivo; comprehensible = inteligible.
Q | The town is famous ＿＿ its medieval cathedral. | for | of | by | with | Famous for.
# reading
@R Remote work was long dismissed by managers as a perk for the trusted few. The pandemic forced a vast experiment, and early data suggested that output held steady or even rose. Yet several studies now show a subtler picture: individual tasks improve at home, while spontaneous collaboration, which drives innovation, quietly declines. Companies that mandate a full return to the office risk resentment; those that abandon it entirely risk losing the shared culture that binds teams together.
Q | What is the writer's main point? | Remote work has benefits and costs that both extreme policies overlook. | Remote work should be abolished. | Offices are no longer necessary. | Managers have always supported remote work. | El texto matiza: mejoras individuales, pérdida de colaboración espontánea.
Q | According to the text, what declines when people work from home? | spontaneous collaboration | individual output | salaries | resentment | Se dice que la colaboración espontánea decae.
Q | The word 'subtler' in the text is closest in meaning to | less obvious | more negative | cheaper | faster | Subtle = sutil, menos evidente.
Q | What does the writer suggest about companies that mandate a full return? | They may provoke resentment among staff. | They will improve innovation. | They always lose money. | They follow the data. | Se menciona el riesgo de resentimiento.
Q | The phrase 'a perk for the trusted few' suggests managers believed remote work was | a privilege for selected employees | a legal right | a cost-cutting measure | a technical problem | Perk = ventaja concedida a pocos.
@@
@R Archaeologists working in the highlands have uncovered what they believe to be a ceremonial site older than any previously recorded in the region. Charcoal samples place its construction at roughly 4,000 years ago. The team is cautious: without written records, interpreting the purpose of the stone circles relies heavily on comparison with better-documented cultures, a method that inevitably projects modern assumptions onto the past. Nevertheless, the alignment of the stones with the winter solstice is difficult to dismiss as coincidence.
Q | What is the writer's attitude toward the team's interpretation? | cautiously accepting | dismissive | enthusiastic without reservation | indifferent | El equipo es cauto pero considera difícil ver la alineación como casualidad.
Q | What method makes the interpretation problematic? | comparison with other cultures | charcoal dating | written records | solstice observation | Se critica proyectar supuestos modernos por comparación.
Q | How old is the site believed to be? | about 4,000 years | 400 years | about 14,000 years | The text does not say. | Las muestras de carbón dan unos 4.000 años.
Q | The word 'projects' in this context means | imposes | plans | predicts | displays on a screen | Project onto = proyectar, atribuir.
Q | What is difficult to dismiss as coincidence? | the alignment with the solstice | the age of the samples | the region's climate | the cost of the dig | Se destaca la alineación solar.
@@
@R The novelist's early success was, in his own words, a mixed blessing. Critics praised the debut's unflinching realism, but every subsequent book was measured against it, and each was found wanting. It was only when he abandoned the gritty urban settings that had made his name, and turned to gentle comedies of village life, that he found a new readership. Ironically, the reviewers who once dismissed this later work as lightweight now regard it as his most subversive.
Q | Why does the writer call the early success 'a mixed blessing'? | Later books were unfavourably compared with it. | It made him poor. | Critics hated the debut. | He wrote too quickly. | Cada libro posterior se medía contra el debut.
Q | What made the author's name originally? | gritty urban settings | comedies of village life | historical fiction | poetry | Su fama vino de escenarios urbanos crudos.
Q | What is ironic about the reviewers' current view? | They now praise work they once dismissed. | They ignore his later books. | They prefer his debut. | They stopped reading him. | Antes lo tachaban de ligero; ahora lo ven subversivo.
Q | 'Found wanting' means | judged inadequate | desired | missing | ignored | Find wanting = considerado insuficiente.
Q | The later novels are now considered | subversive | superficial | realistic | outdated | Se los ve como su obra más subversiva.
@@
@R Cities are often described as if they were machines, with roads as arteries and districts as organs. Urban planners have long been seduced by this metaphor, which promises predictability. But a city behaves less like a machine than like an ecosystem: its parts adapt, compete and cooperate in ways no blueprint anticipates. The most successful neighbourhoods, research suggests, are those planned lightly, leaving space for residents to improvise.
Q | What is the writer's view of the machine metaphor? | It is appealing but misleading. | It is completely accurate. | It is a recent invention. | It is used by residents. | Los planificadores se sienten seducidos, pero la ciudad es más un ecosistema.
Q | The word 'seduced' suggests planners were | attracted by | forced into | bored by | educated in | Be seduced by = dejarse atraer por.
Q | According to research, the best neighbourhoods are | planned lightly | planned in detail | unplanned entirely | built quickly | Se dice planificados de forma ligera.
Q | An ecosystem is used as a metaphor to show that cities | adapt in unforeseen ways | are predictable | are static | are mechanical | Las partes se adaptan de modos imprevistos.
Q | 'Improvise' in the text means | make do without a fixed plan | complain | build illegally | leave | Improvise = improvisar.
@@
@R The rise of streaming has transformed how music is discovered. Where radio once acted as a gatekeeper, algorithms now recommend tracks based on listening history. Supporters claim this democratises exposure; sceptics counter that it narrows taste, feeding listeners more of what they already like. A recent study found that heavy users of algorithmic playlists sampled markedly fewer genres than those who browsed freely.
Q | What does the writer say about radio? | It used to control what was heard. | It is more popular than streaming. | It uses algorithms. | It democratised music. | Radio actuaba como gatekeeper.
Q | What criticism do sceptics make? | Algorithms narrow listeners' taste. | Algorithms are expensive. | Streaming is illegal. | Radio is better. | Los escépticos dicen que se restringe el gusto.
Q | What did the study find? | Algorithm users heard fewer genres. | Everyone listens to more genres now. | Browsing is impossible. | Radio users sample most. | Menos géneros entre usuarios de playlists algorítmicas.
Q | 'Democratises' here means | makes available to more people | makes political | makes cheaper | makes louder | Democratise = ampliar el acceso.
Q | The tone of the passage is | balanced | hostile | euphoric | ironic | Presenta ambos lados sin tomar partido.
@@
@R Sleep researchers have long warned that adolescents are chronically underslept, but the usual advice, simply to go to bed earlier, ignores biology. During puberty the body clock shifts, making it physiologically hard to feel tired before eleven. Some schools that delayed their start time by an hour reported improved attendance and fewer accidents among students driving to school. Critics worry about disrupted timetables, yet the evidence suggests the disruption is modest compared with the benefits.
Q | Why does the writer dismiss the advice to go to bed earlier? | It ignores changes in the body clock. | Teenagers refuse to obey. | It is too expensive. | Sleep is unimportant. | El reloj biológico cambia en la pubertad.
Q | What happened in schools that started later? | Attendance improved. | Timetables collapsed. | Accidents increased. | Teachers resigned. | Mejoró la asistencia y hubo menos accidentes.
Q | 'Chronically' means | persistently | rarely | recently | dramatically | Chronic = crónico, persistente.
Q | The critics are mainly concerned about | disruption to timetables | teenagers' health | costs of transport | exam results | Se citan los horarios alterados.
Q | The writer's conclusion is that | the benefits outweigh the disruption | later starts should be banned | teenagers need less sleep | schools should not change | Se dice que la perturbación es modesta frente a los beneficios.
@@
@R When the village pub closed, residents assumed the building would be converted into flats. Instead, a group of neighbours pooled savings and bought it. Six years on, the community-owned pub turns a small profit and hosts a library, a repair café and a weekly market. 'We didn't set out to save a pub,' says its chair. 'We set out to keep a place where people still bump into each other.'
Q | What did residents expect to happen to the pub? | It would become flats. | It would be sold to a brewery. | It would become a library. | It would stay open. | Esperaban su conversión en apartamentos.
Q | How was the pub saved? | Neighbours bought it together. | The council paid. | A brewery invested. | A charity donated. | Reunieron ahorros para comprarlo.
Q | According to the chair, the real aim was to | preserve a meeting place | make a profit | open a library | attract tourists | Mantener un lugar de encuentro.
Q | 'Bump into each other' means | meet by chance | collide painfully | argue | compete | Bump into = encontrarse por casualidad.
Q | The pub today | earns a modest profit | loses money | is closed | is owned by a company | Obtiene una pequeña ganancia.
@@
@R The scientist's warning was blunt: without dramatic cuts to emissions within a decade, several coastal cities will face regular flooding. Politicians, she said, treat long-term risks as somebody else's problem. Yet her tone was not despairing. She pointed to rapid falls in the cost of renewable energy and argued that, for the first time, the transition is economically attractive as well as morally necessary.
Q | What does the scientist say about politicians? | They ignore long-term risks. | They already act decisively. | They fund research heavily. | They reject the evidence. | Tratan los riesgos a largo plazo como problema ajeno.
Q | Her tone can be described as | urgent but hopeful | despairing | indifferent | humorous | Es contundente pero no desesperanzada.
Q | Why is she optimistic? | Renewable energy has become cheaper. | Emissions have fallen. | Cities are safe. | Politicians have listened. | El coste de las renovables ha bajado rápidamente.
Q | 'Blunt' means | direct and unsoftened | vague | polite | quiet | Blunt = franco, sin rodeos.
Q | What will happen without emission cuts? | Some coastal cities will flood regularly. | Renewables will disappear. | Politicians will lose office. | Costs will fall. | Las ciudades costeras enfrentarán inundaciones regulares.
@@
@R Translators often say that the hardest words to translate are the small ones. A grand abstract noun can be matched, or at least explained; a modal particle, an untranslatable shrug of a word, carries a whole attitude that vanishes in the transfer. Good translation, then, is less about replacing words than about rebuilding an effect, and it inevitably involves choices that no dictionary can settle.
Q | What is the writer's main claim? | Translation often means recreating an effect, not swapping words. | Dictionaries settle every choice. | Abstract nouns are untranslatable. | Small words are unimportant. | Traducir es reconstruir un efecto.
Q | Which words are said to be hardest to translate? | small words like particles | abstract nouns | technical terms | names | Las palabras pequeñas.
Q | 'Vanishes in the transfer' means | is lost in translation | is copied exactly | becomes longer | is corrected | Vanish = desaparecer.
Q | What can dictionaries not do? | settle every translation choice | list abstract nouns | explain particles | help translators | Ningún diccionario resuelve esas decisiones.
Q | The word 'shrug' is used to describe the particle because it | expresses an attitude | is rude | is silent | is very long | Metáfora de gesto que transmite actitud.
@@
@R A new study of urban foxes challenges the idea that wildlife retreats from cities. Using tracking collars, researchers found that foxes in the suburbs travelled less than their rural cousins, having no need to range far for food, and that their numbers depended more on human waste disposal than on green space. The findings complicate efforts to manage populations, since removing bins may prove more effective than culling.
Q | What did the study find about suburban foxes? | They travel less than rural foxes. | They travel more than rural foxes. | They avoid bins. | They are declining. | Se desplazan menos porque no necesitan ir lejos.
Q | What do fox numbers depend on most? | how waste is disposed of | the amount of green space | rural cousins | tracking collars | Depende más de los residuos humanos.
Q | 'Culling' refers to | killing to reduce numbers | tracking | feeding | protecting | Cull = sacrificar para reducir población.
Q | The research 'complicates' management because | the obvious solution may not be the best | foxes are hard to track | the results are unclear | foxes retreat | Quitar contenedores puede ser más eficaz que sacrificar.
Q | The study challenges the belief that | wildlife leaves cities | foxes are rural | collars are useful | waste is a problem | Cuestiona la idea de que la fauna se retira de las ciudades.
@@
@R Although the museum has always welcomed visitors, its latest exhibition invites them to touch. Curators have replaced glass cases with replicas that can be handled, arguing that physical contact deepens understanding. Traditionalists object that originals, however precious, are being sidelined. The director dismisses this as a false dichotomy: the originals remain on display, she says, in a gallery where lighting and humidity protect them.
Q | What is new about the exhibition? | Visitors may handle replicas. | Originals are on display. | It has no glass cases. | It is free. | Se pueden tocar réplicas.
Q | What do traditionalists fear? | Originals are being neglected. | Replicas are expensive. | Lighting is poor. | Visitors will steal. | Que se desplace a los originales.
Q | 'False dichotomy' means | a choice that is not really either/or | a lie | a mistake | a division | Falsa dicotomía = falso dilema.
Q | Where are the originals? | in a protected gallery | in storage abroad | in glass cases beside the replicas | on loan | En una galería con luz y humedad controladas.
