# gramatica
Q | Il faut que tu ＿＿ plus tôt demain. | viennes | viens | viendras | viendrais | Après il faut que: subjonctif présent.
Q | Les lettres qu'elle a ＿＿ sont longues. | écrites | écrit | écrire | écrits | Accord avec COD antéposé féminin pluriel.
Q | Elle s'est ＿＿ tôt. | levée | levé | levés | lever | Verbe pronominal: accord avec sujet féminin.
Q | Nous nous sommes ＿＿ des lettres. | écrit | écrits | écrites | écrire | COI, pas d'accord.
Q | Elle est ＿＿ à Paris hier. | allée | allé | allés | aller | Être + accord: allée.
Q | Il n'a ＿＿ d'argent pour partir en vacances. | pas | jamais de | plus de | rien de | Négation simple: ne ... pas de.
Q | Il ne reste ＿＿ de pain. | plus | pas | rien | jamais | Ne ... plus de: reste plus de pain.
Q | Aucun élève ＿＿ absent. | n'est | ne sont | est | n'ont | Aucun + ne + singulier.
Q | ＿＿ ne sait la réponse. | Personne | Aucun de pas | Rien | Pas un | Personne ne + verbe.
Q | Il a plu toute la nuit; ＿＿, les routes sont inondées. | par conséquent | pourtant | en revanche | d'ailleurs | Conséquence.
Q | Il est fatigué; ＿＿, il continue de travailler. | pourtant | donc | ainsi | car | Concession: pourtant.
Q | Il habite en ville, ＿＿ sa sœur préfère la campagne. | alors que | pour que | de peur que | tandis de | Opposition: alors que.
Q | Je te prête le livre à condition ＿＿ tu me le rendes. | que | de | pour | dont | À condition que + subjonctif.
Q | Il a travaillé dur ＿＿ réussir. | pour | afin | de peur de | quoique | Pour + infinitif (but).
Q | Il travaille dur afin ＿＿ ses enfants ＿＿ heureux. | que / soient | de / soient | que / sont | de / sont | Afin que + subjonctif.
Q | Il a peur ＿＿ tu ne viennes pas. | que | de | à | pour que | Avoir peur que + (ne) + subjonctif.
Q | ＿＿ que vous soyez fatigué, vous devez finir ce travail. | Bien | Même | Pourvu | Sans | Bien que + subjonctif.
Q | Il est le seul qui ＿＿ le faire. | puisse | peut | pourra | pouvait | Antécédent avec seul: subjonctif.
Q | On cherche quelqu'un qui ＿＿ parler chinois. | sache | sait | saura | savait | Relative de recherche: subjonctif.
Q | Il ＿＿ mieux agir tôt que tard. | vaut | faut | est | fait | Il vaut mieux + infinitif.
Q | Il ＿＿ mieux partir maintenant. | vaut | faut | est | fait | Il vaut mieux.
Q | Cette mesure a été ＿＿ par le gouvernement. | adoptée | adopté | adopter | adoptés | Accord passif.
Q | Le rapport ＿＿ demain. | sera publié | serait publiant | est publier | sera publie | Passif futur.
Q | On dit qu'il ＿＿ très riche. | est | soit | serait été | sera eu | Dire que + indicatif.
Q | Elle ＿＿ partir dès demain. | doit | devrait eu | doive de | devra qu' | Devoir + infinitif.
Q | Sans l'aide de Marie, nous ＿＿ échoué. | aurions | avions | aurons | aurions eu | Hypothèse irréelle passé.
Q | Il a fait ＿＿ sa voiture. | réparer | réparé | de réparer | à réparer | Faire + infinitif (causatif).
Q | Elle s'est fait ＿＿ les cheveux. | couper | coupée | coupés | coupant | Se faire + infinitif.
Q | Il a laissé ＿＿ la porte ouverte. | la | à | de | pour | Laisser + COD.
Q | Je le lui ＿＿ dit hier. | ai | ait | avais eu | aie | Passé composé.
Q | En ＿＿ les résultats, nous avons décidé de continuer. | voyant | vu | vus | ayant vu de | Gérondif: en voyant.
Q | Le film étant fini, ＿＿ | nous sommes partis. | nous partons de. | partis nous. | nous partirons été. | Participe absolu.
Q | ＿＿ sa maladie, il a continué à travailler. | Malgré | Bien | Quoique | Pendant que | Malgré + nom.
Q | ＿＿ la pluie, la fête a eu lieu. | Malgré | Grâce | En raison | À cause | Concession: malgré.
Q | Il a réussi ＿＿ à sa persévérance. | grâce | à cause | malgré | faute | Grâce à + cause positive.
Q | Il a échoué ＿＿ de préparation. | faute | grâce | pour | malgré | Faute de + nom = par manque de.
Q | ＿＿ deux mois, il n'a pas donné de nouvelles. | Depuis | Pendant | En | Il y a | Depuis + durée jusqu'à maintenant.
Q | Il a fini ＿＿ deux heures. | en | pendant | depuis | dans | Durée nécessaire: en deux heures.
Q | Le train part ＿＿ dix minutes. | dans | en | pendant | depuis | Dans = dans un futur.
Q | Il a habité à Lyon ＿＿ cinq ans. | pendant | dans | en | y a | Pendant = durée passée.
Q | Il est parti ＿＿ trois jours. | il y a | depuis | dans | pendant | Il y a + durée = moment passé.
Q | Il ＿＿ que je vienne. | faut | vaut | est | va | Il faut que + subjonctif.
Q | Elle est ＿＿ que sa sœur. | plus grande | plus grand | la plus grande | très grande | Comparatif de supériorité.
Q | C'est le film ＿＿ intéressant que j'aie vu. | le plus | plus | très | tant | Superlatif avec subjonctif.
Q | Plus il travaille, ＿＿ il réussit. | mieux | meilleur | le mieux | bien | Plus ..., mieux ...
Q | Elle chante ＿＿ que sa sœur. | mieux | meilleur | plus bien | plus bon | Adverbe: mieux.
Q | Ce vin est ＿＿ que l'autre. | meilleur | mieux | plus bon | plus mieux | Adjectif: meilleur.
Q | Nous ＿＿ hier soir au cinéma. | sommes allés | avons allé | sommes allé | allons | Passé composé avec être.
Q | Quand j'étais petit, j'＿＿ souvent à la campagne. | allais | suis allé | irai | irais | Imparfait habituel.
Q | Hier, pendant qu'il ＿＿, le téléphone a sonné. | dormait | dormit | a dormi | dormira | Imparfait + passé composé.
Q | Il ＿＿ de partir quand elle est arrivée. | venait | est venu | vient | viendra | Venir de + infinitif à l'imparfait.
Q | Demain, à cette heure-ci, je ＿＿ dans l'avion. | serai | suis | étais | serais | Futur simple.
Q | Dès que j'＿＿ fini, je t'appellerai. | aurai | ai | avais | aie | Futur antérieur.
Q | Il a dit qu'il ＿＿ le lendemain. | viendrait | viendra | vient | est venu | Concordance des temps.
Q | Elle m'a demandé si je ＿＿ libre. | étais | suis | serai | sois | Discours indirect au passé.
Q | Il m'a dit : « Viens ! » ⇒ Il m'a dit ＿＿. | de venir | que je viens | à venir | de viens | Impératif indirect: de + infinitif.
Q | Elle a demandé ＿＿ il faisait. | ce qu' | ce que il | qu'est-ce qu' | quoi | Discours indirect: ce qu'il faisait.
Q | Choisissez le sens: Il a pris ses jambes à son cou. | Il s'est enfui. | Il a marché lentement. | Il s'est blessé. | Il a dansé. | Idiome: s'enfuir.
Q | Choisissez le sens: Elle a un cœur d'or. | Elle est très généreuse. | Elle est riche. | Elle est malade. | Elle est jalouse. | Idiome: générosité.
Q | Choisissez le sens: Il pleut des cordes. | Il pleut très fort. | Il pleut peu. | Il neige. | Il y a du vent. | Idiome: forte pluie.
Q | Choisissez le sens: Il a le cafard. | Il est déprimé. | Il a peur des insectes. | Il est fatigué. | Il est content. | Idiome: avoir le cafard.
Q | Choisissez le sens: Elle a posé un lapin à son ami. | Elle ne s'est pas présentée au rendez-vous. | Elle a offert un animal. | Elle a chassé. | Elle a menti sur son âge. | Poser un lapin = ne pas venir.
Q | Choisissez le sens: On a coupé la poire en deux. | On a fait un compromis. | On a mangé un fruit. | On s'est disputé. | On a cassé quelque chose. | Idiome: compromis.
Q | Choisissez le sens: Il est tombé dans les pommes. | Il s'est évanoui. | Il a mangé des fruits. | Il a glissé. | Il est parti. | Idiome: s'évanouir.
Q | Choisissez le sens: Ça coûte les yeux de la tête. | C'est très cher. | C'est gratuit. | C'est dangereux. | C'est beau. | Idiome: très cher.
Q | Choisissez le sens: Il fait la sourde oreille. | Il refuse d'écouter. | Il est sourd. | Il écoute bien. | Il chante. | Idiome: faire la sourde oreille.
Q | Choisissez le sens: Elle a le mal du pays. | Elle regrette son pays. | Elle est malade. | Elle est en colère. | Elle voyage. | Avoir le mal du pays.
Q | Que signifie « pénurie » ? | manque | abondance | victoire | histoire | Pénurie = manque grave.
Q | Que signifie « entreprendre » ? | commencer une action importante | abandonner | détruire | oublier | Entreprendre = emprender.
Q | Que signifie « fiable » ? | en qui on peut avoir confiance | rapide | ancien | cher | Fiable = fiable/fidedigno.
Q | Que signifie « atténuer » ? | rendre moins fort | rendre plus fort | supprimer | cacher | Atténuer = atenuar.
Q | Que signifie « aborder » ? | commencer à traiter | quitter | refuser | copier | Aborder un sujet = abordar.
Q | Que signifie « fournir » ? | donner, procurer | prendre | jeter | acheter | Fournir = proporcionar.
Q | Que signifie « négliger » ? | ne pas prêter attention | soigner | admirer | copier | Négliger = descuidar.
Q | Que signifie « stupéfait » ? | très surpris | content | fâché | fatigué | Stupéfait = atónito.
Q | Que signifie « mesure » dans « prendre des mesures » ? | décisions d'action | dimensions | musique | règle | Prendre des mesures = tomar medidas.
Q | Que signifie « enjeu » ? | ce qu'on peut gagner ou perdre | jeu d'enfant | joie | erreur | Enjeu = lo que está en juego.
Q | Que signifie « dénoncer » ? | révéler publiquement | cacher | admirer | cuisiner | Dénoncer = denunciar.
Q | Que signifie « inéluctable » ? | qu'on ne peut éviter | facile | drôle | rare | Inéluctable = ineludible.
Q | Que signifie « ressortissant » ? | citoyen d'un pays | ancien élève | touriste | employé | Ressortissant = nacional.
Q | Que signifie « précaire » ? | instable | fort | riche | rapide | Précaire = precario.
Q | Que signifie « tributaire de » ? | dépendant de | responsable de | ennemi de | libre de | Tributaire de = dependiente de.
Q | Que signifie « aléatoire » ? | dépendant du hasard | certain | obligatoire | logique | Aléatoire = aleatorio.
Q | Formez le nom: La ＿＿ du problème est difficile. (résoudre) | résolution | résoudre | résolu | résolvant | Nom: résolution.
Q | Formez le nom: Sa ＿＿ à l'égard de tous est remarquable. (gentil) | gentillesse | gentiment | gentil | gentilé | Nom: gentillesse.
Q | Formez l'adjectif: C'est une décision ＿＿. (justifier) | justifiable | justifiant | justification | justifié à | Adjectif en -able.
Q | Formez l'adverbe: Il a répondu ＿＿. (prudent) | prudemment | prudentement | prudement | prudentment | Adverbe: -emment.
Q | Formez l'adverbe: Elle travaille ＿＿. (constant) | constamment | constantement | constant | constanment | -amment pour -ant.
Q | Formez le nom: La ＿＿ des prix inquiète les ménages. (augmenter) | augmentation | augmentant | augmenté | augmenteur | Nom: augmentation.
Q | Formez l'adjectif: Une personne ＿＿. (fiable, contraire) | peu fiable | infiable | non fiable de | défiable | Contraire usuel: peu fiable.
Q | Formez le nom: L'＿＿ de ce produit est interdite. (importer) | importation | importance | importeur | importable | Importation (commerce).
Q | Formez le nom: Il a un grand ＿＿ de l'humour. (sentir) | sens | sensation | sentiment de | sensible | Avoir le sens de l'humour.
Q | Formez le nom: La ＿＿ de l'eau est un enjeu majeur. (gérer) | gestion | gérance | gérant | gérable | Gestion de l'eau.
Q | Choisissez la préposition: Il s'intéresse ＿＿ l'histoire. | à | de | pour | sur | S'intéresser à.
Q | Choisissez la préposition: Elle est fière ＿＿ son fils. | de | à | pour | en | Être fier de.
Q | Choisissez la préposition: Il a renoncé ＿＿ ce projet. | à | de | pour | sur | Renoncer à.
Q | Choisissez la préposition: Elle se plaint ＿＿ bruit. | du | au | pour le | sur | Se plaindre de.
Q | Choisissez la préposition: Il compte ＿＿ toi. | sur | à | de | pour | Compter sur.
Q | Choisissez la préposition: Nous dépendons ＿＿ le climat. | de | à | sur | pour | Dépendre de.
Q | Choisissez la préposition: Elle a réussi ＿＿ convaincre. | à | de | pour | sur | Réussir à + infinitif.
Q | Choisissez la préposition: Il refuse ＿＿ signer. | de | à | pour | sur | Refuser de + infinitif.
Q | Choisissez la préposition: Elle songe ＿＿ démissionner. | à | de | pour | sur | Songer à.
Q | Choisissez la préposition: Il s'est excusé ＿＿ son retard. | de | à | pour de | sur | S'excuser de.
Q | Choisissez la préposition: Elle est opposée ＿＿ ce projet. | à | de | pour | sur | Être opposé à.
Q | Choisissez la préposition: Cela consiste ＿＿ faire un rapport. | à | de | pour | en | Consister à + infinitif.
Q | Choisissez la préposition: Il est capable ＿＿ tout. | de | à | pour | sur | Capable de.
Q | Choisissez la préposition: Ils luttent ＿＿ la pauvreté. | contre | à | de | sur | Lutter contre.
Q | Choisissez la préposition: Il faut veiller ＿＿ la sécurité. | à | de | sur | pour | Veiller à.
Q | Choisissez la préposition: Elle a parié ＿＿ lui. | sur | à | de | pour | Parier sur.
Q | Choisissez la forme: Nous ＿＿ que tu viennes. | souhaitons | souhaitent | souhaite | souhaiter | Conjugaison.
Q | Choisissez la forme: Ils ＿＿ leurs devoirs. | font | faisent | fait | faites | Faire: ils font.
Q | Choisissez la forme: Vous ＿＿ la vérité. | dites | disez | dit | disent | Dire: vous dites.
Q | Choisissez la forme: Il faut que nous ＿＿ à l'heure. | soyons | sommes | serons | étions | Subjonctif d'être.
Q | Choisissez la forme: Il faut qu'elle ＿＿ ses clés. | prenne | prend | prendra | prit | Subjonctif de prendre.
Q | Choisissez la forme: Qu'ils ＿＿ tranquilles ! | restent | reste | resteront | restaient | Subjonctif/impératif à la 3e personne.
Q | Choisissez la forme: Je voudrais que vous ＿＿ plus attentifs. | soyez | êtes | serez | seriez | Vouloir que + subjonctif.
Q | Choisissez la forme: Avant qu'elle ＿＿, dis-lui la vérité. | parte | part | partira | partait | Avant que + subjonctif.
Q | Choisissez la forme: Jusqu'à ce qu'il ＿＿, nous attendrons. | vienne | vient | viendra | venait | Jusqu'à ce que + subjonctif.
Q | Choisissez la forme: Je suis content que tu ＿＿ là. | sois | es | seras | étais | Émotion + subjonctif.
Q | Choisissez la forme: Il est probable qu'il ＿＿ demain. | viendra | vienne | viendrait | vînt | Il est probable que + indicatif.
Q | Choisissez la forme: Il est possible qu'il ＿＿ demain. | vienne | viendra | vient | viendrait | Il est possible que + subjonctif.
Q | Choisissez la forme: Il semble qu'elle ＿＿ raison. | ait | a | aura | avait | Il semble que + subjonctif.
Q | Choisissez la forme: Il me semble qu'elle ＿＿ raison. | a | ait | eût | soit | Il me semble que + indicatif.
Q | Choisissez la forme: Bien que ce ＿＿ difficile, nous réussirons. | soit | est | sera | serait | Bien que + subjonctif.
# reading
@R La semaine de quatre jours séduit un nombre croissant d'entreprises. Ses partisans affirment que les salariés, plus reposés, travaillent avec davantage de concentration. Les sceptiques objectent que dans les secteurs à horaires fixes, comme le commerce ou les soins, une telle réduction est difficile à appliquer. Les premières expériences suggèrent que la productivité se maintient, mais reste à savoir si ces résultats seront durables.
Q | Quelle est l'idée principale du texte ? | La semaine de quatre jours est prometteuse mais pas applicable partout. | Elle a échoué. | Tout le monde l'adopte. | La productivité s'effondre. | Nuance entre avantages et limites.
Q | Où la réduction est-elle jugée difficile ? | dans les secteurs à horaires fixes | dans les bureaux | à l'école | à domicile | Commerce et soins.
Q | Que suggèrent les premières expériences ? | La productivité se maintient. | Les coûts explosent. | Les salariés démissionnent. | Rien n'est connu. | Productividad estable.
Q | Que signifie « partisans » ? | personnes qui soutiennent | opposants | patrons | clients | Partisans = partidarios.
Q | Les effets à long terme sont | encore incertains | prouvés | négatifs | sans importance | Pendiente de confirmar.
@@
@R Le musée a décidé d'ouvrir gratuitement le premier dimanche de chaque mois. La mesure a fait doubler la fréquentation, mais elle a aussi provoqué des files d'attente interminables et une usure accrue des salles. Le directeur reconnaît que l'expérience est un succès mitigé : elle a élargi le public, sans pour autant faire venir ceux qui, faute de temps ou de repères, n'osaient pas franchir la porte.
Q | Qu'a entraîné la gratuité ? | Le doublement de la fréquentation | La fermeture du musée | Une baisse du public | Une hausse des prix | Se dobló la afluencia.
Q | Quels inconvénients sont cités ? | des files d'attente et une usure accrue | des vols | du bruit seulement | des travaux | Colas y desgaste.
Q | Comment le directeur juge-t-il l'expérience ? | Comme un succès mitigé | Comme un échec total | Comme un triomphe | Comme sans intérêt | Succès mitigé.
Q | Quel public n'est pas touché ? | ceux qui n'osaient pas entrer | les touristes | les enfants | les scolaires | No llega a quienes no se atrevían.
Q | « Mitigé » signifie ici | partagé, nuancé | excellent | mauvais | rapide | Mitigé = con matices.
@@
@R Le romancier a publié cette année un livre étrange, à mi-chemin entre le journal intime et l'enquête. L'auteur y interroge la mémoire de sa famille sans jamais prétendre livrer une vérité définitive. Certains critiques regrettent l'absence de conclusion; d'autres voient dans ce refus de trancher la marque d'une honnêteté rare.
Q | Quelle est la forme du livre ? | mi-journal intime, mi-enquête | un roman policier | un recueil de poèmes | une biographie classique | Genre mixte.
Q | Que fait l'auteur de la mémoire familiale ? | Il l'interroge sans conclure | Il la dénonce | Il l'ignore | Il la célèbre | Interroga sin cerrar.
Q | Que regrettent certains critiques ? | l'absence de conclusion | la longueur | le prix | le style | Falta de conclusión.
Q | Que voient d'autres critiques dans ce refus ? | une honnêteté rare | de la paresse | un défaut | de la maladresse | Honestidad.
Q | « Trancher » signifie ici | décider de manière nette | couper du pain | fuir | oublier | Trancher = zanjar.
@@
@R À force de vouloir tout mesurer, les entreprises risquent d'oublier ce qui ne se compte pas. Les indicateurs de performance, utiles pour piloter, finissent parfois par dicter les comportements: on soigne le chiffre plutôt que le service rendu. Plusieurs sociologues invitent donc à compléter les tableaux de bord par des retours qualitatifs, moins commodes mais souvent plus éclairants.
Q | Quel risque signale le texte ? | oublier ce qui ne se compte pas | ne rien mesurer | trop dépenser | recruter mal | Riesgo de medirlo todo.
Q | Que finissent parfois par faire les indicateurs ? | dicter les comportements | disparaître | s'améliorer | coûter moins | Condicionan conductas.
Q | Que proposent les sociologues ? | ajouter des retours qualitatifs | supprimer les chiffres | embaucher | licencier | Complementar con lo cualitativo.
Q | « Piloter » signifie ici | diriger, gérer | voler | copier | enseigner | Piloter = gestionar.
Q | Le ton de l'auteur est | critique et nuancé | enthousiaste | indifférent | comique | Crítico matizado.
@@
@R Dans les villes, la végétalisation des toits est encouragée. Elle réduit la chaleur estivale, retient l'eau de pluie et abrite des insectes. Toutefois, son coût et la charge supplémentaire pour les bâtiments anciens freinent son développement. Les municipalités qui la soutiennent par des aides financières obtiennent de meilleurs résultats que celles qui se contentent de l'imposer.
Q | Quel avantage est cité ? | Elle réduit la chaleur estivale. | Elle augmente le bruit. | Elle diminue l'espace. | Elle coûte moins. | Reduce el calor.
Q | Qu'est-ce qui freine son développement ? | le coût et la charge sur les bâtiments anciens | le manque d'insectes | la pluie | les lois | Coste y peso.
Q | Quelles municipalités réussissent le mieux ? | celles qui la soutiennent financièrement | celles qui l'imposent | celles qui l'interdisent | celles qui l'ignorent | Ayudas económicas.
Q | « Freiner » signifie | ralentir | accélérer | interdire | créer | Freiner = frenar.
Q | Le texte est | informatif | polémique | humoristique | narratif | Informativo.
@@
@R La traductrice, qui a passé vingt ans à faire connaître des auteurs étrangers, affirme que traduire n'est pas remplacer des mots par d'autres. C'est retrouver la voix d'un texte, son rythme, ses silences. Elle admet que cette fidélité-là suppose parfois de trahir la lettre pour sauver l'esprit, un compromis que les puristes ne lui pardonnent pas toujours.
Q | Selon elle, traduire consiste à | retrouver la voix du texte | remplacer des mots | résumer | corriger | Recuperar la voz del texto.
Q | Que suppose parfois cette fidélité ? | trahir la lettre pour sauver l'esprit | suivre le mot à mot | ajouter des notes | supprimer le texte | Traicionar la letra.
Q | Qui lui reproche ce compromis ? | les puristes | les auteurs | les lecteurs | les éditeurs | Los puristas.
Q | Depuis combien de temps traduit-elle ? | vingt ans | deux ans | dix ans | cinq ans | Veinte años.
Q | « Ne pas pardonner » implique ici | une critique persistante | de la joie | de l'ignorance | de l'oubli | Reproche.
@@
@R L'agriculteur a converti son exploitation au bio il y a dix ans. Les débuts ont été difficiles: rendements en baisse, charges en hausse. Aujourd'hui, il estime que le pari est gagné, car la qualité de ses produits lui permet de les vendre plus cher en circuit court. Il reconnaît cependant que sans l'appui d'une coopérative, il aurait sans doute abandonné.
Q | Quand a-t-il converti son exploitation ? | il y a dix ans | l'an dernier | il y a deux ans | il y a vingt ans | Diez años.
Q | Comment ont été les débuts ? | difficiles | faciles | rentables | rapides | Difíciles.
Q | Pourquoi estime-t-il avoir gagné son pari ? | il vend plus cher en circuit court | il a plus de terres | il produit plus | il a moins de travail | Venta directa mejor pagada.
Q | Qu'aurait-il fait sans la coopérative ? | Il aurait abandonné. | Il aurait réussi seul. | Il aurait vendu ses terres. | Il aurait migré. | Habría abandonado.
Q | « Charges » signifie ici | dépenses | tâches | armes | colis | Charges = costes.
@@
@R Le projet de loi vise à mieux protéger les lanceurs d'alerte. Il leur garantit l'anonymat et interdit toute mesure de représailles. Les associations saluent une avancée, mais regrettent que la procédure exige de passer d'abord par la hiérarchie, ce qui peut dissuader les employés qui craignent précisément d'être identifiés.
Q | Que vise le projet de loi ? | protéger les lanceurs d'alerte | les sanctionner | les rémunérer | les former | Proteger denunciantes.
Q | Que garantit-il ? | l'anonymat | un salaire | un emploi à vie | une prime | Anonimato.
Q | Que regrettent les associations ? | l'obligation de passer par la hiérarchie | l'absence de loi | la durée | le coût | Deben pasar por la jerarquía.
Q | Pourquoi cette procédure peut-elle dissuader ? | On risque d'être identifié. | Elle est chère. | Elle est longue. | Elle est secrète. | Riesgo de ser identificado.
Q | « Représailles » signifie | mesures de vengeance | récompenses | conseils | rapports | Represalias.
@@
@R Le sommeil des adolescents est chroniquement insuffisant. Décaler l'heure de début des cours d'une heure, comme l'ont fait certains lycées, améliore l'assiduité et réduit les accidents de la route. Les opposants craignent la désorganisation des emplois du temps, un inconvénient jugé modeste par les chercheurs au regard des bénéfices observés.
Q | Qu'améliore le décalage des cours ? | l'assiduité et la sécurité routière | les notes seulement | les salaires | les vacances | Asistencia y accidentes.
Q | Que craignent les opposants ? | la désorganisation des emplois du temps | la fatigue | le coût des cours | le bruit | Horarios.
Q | Comment les chercheurs jugent-ils cet inconvénient ? | modeste | énorme | inacceptable | inexistant | Modesto.
Q | « Décaler » signifie | déplacer dans le temps | supprimer | avancer toujours | copier | Decaler = desplazar.
Q | Quelle est la conclusion probable ? | Les bénéfices l'emportent. | Il faut abandonner. | Rien ne change. | Le sommeil est inutile. | Beneficios mayores.
@@
@R Le village avait perdu son dernier café et, avec lui, son lieu de rencontre. Les habitants ont créé une association, racheté le local et l'exploitent ensemble. Le café dégage un modeste bénéfice, mais la présidente insiste: l'essentiel n'est pas financier, il est de préserver un endroit où l'on se croise encore.
Q | Qu'a perdu le village ? | son dernier café | son école | sa mairie | sa gare | Último café.
Q | Comment a-t-il été sauvé ? | Par une association d'habitants | Par la commune | Par un groupe | Par un don | Asociación vecinal.
Q | Que dit la présidente ? | L'essentiel n'est pas financier. | Le profit est le but. | Le café va fermer. | Il faut vendre. | Lo importante no es económico.
Q | « Se croiser » signifie ici | se rencontrer | se disputer | se perdre | partir | Cruzarse = encontrarse.
Q | Le café génère | un modeste bénéfice | de grosses pertes | de gros profits | rien | Modesto beneficio.
@@
@R La chercheuse explique que la disparition des abeilles n'est pas seulement due aux pesticides. Le manque de fleurs variées, dû aux monocultures, les prive d'une alimentation équilibrée. Les exploitants qui aménagent des bandes fleuries constatent une hausse des rendements, car la pollinisation est assurée par davantage d'insectes.
Q | Qu'autre menace les abeilles ? | le manque de fleurs variées | trop de fleurs | la pluie | le miel | Falta de diversidad.
Q | Que produisent les monocultures ? | une alimentation déséquilibrée | une alimentation variée | du miel | des fleurs | Alimentación pobre.
Q | Que constatent les exploitants ? | une hausse des rendements | une baisse des rendements | plus de travail | moins d'abeilles | Más rendimiento.
Q | Pourquoi les rendements augmentent-ils ? | Plus d'insectes pollinisent. | Il pleut plus. | Il y a plus d'engrais. | Les champs sont plus grands. | Polinización.
Q | « Aménager » signifie | organiser un espace | détruire | vendre | mesurer | Aménager = acondicionar.
@@
@R L'affaire s'est dénouée sans éclat. À la barre, chaque témoin a nuancé sa déposition, jusqu'à ce que l'accusation ressemble à un édifice privé de ses piliers. Le verdict n'a surpris personne, pas même l'accusé, qui avait passé la dernière audience à fixer le plafond.
Q | Comment s'est dénouée l'affaire ? | sans éclat | de façon spectaculaire | par un aveu | par une émeute | Sin sobresaltos.
Q | Que faisait chaque témoin ? | nuancer sa déposition | l'aggraver | fuir | crier | Matizaba.
Q | L'image de l'édifice suggère que l'accusation | perdait ses fondements | était solide | coûtait cher | était neuve | Perdía apoyo.
Q | Le comportement de l'accusé suggère qu'il | s'attendait au verdict | était furieux | était surpris | était innocent | Esperaba el resultado.
Q | « Verdict » désigne | la décision du tribunal | un discours | une loi | un plaidoyer | Verdict = veredicto.
@@
@R L'urbaniste estime que la ville ressemble moins à une machine qu'à un écosystème: ses parties s'adaptent, se concurrencent et coopèrent sans qu'aucun plan ne l'ait prévu. Les quartiers les plus réussis seraient ceux qu'on a peu planifiés, en laissant aux habitants la place d'improviser.
Q | À quoi compare-t-il la ville ? | à un écosystème | à une machine | à un livre | à un musée | Ecosistema.
Q | Quels quartiers réussissent le mieux ? | ceux peu planifiés | ceux très planifiés | les anciens | les nouveaux | Poco planificados.
Q | Que laisse-t-on aux habitants ? | la place d'improviser | rien | des ordres | des plans | Improvisar.
Q | « S'adapter » signifie | s'ajuster à une situation | partir | disparaître | commander | Adaptarse.
Q | La thèse principale est que la ville | ne se réduit pas à un plan | est une machine | est prévisible | est inutile | Más ecosistema.
@@
