# gramatica
Q | Er tat so, ＿＿ er nichts gehört hätte. | als ob | wenn | dass | weil | Comparación irreal: als ob + Konjunktiv II.
Q | Es ist wichtig, ＿＿ pünktlich zu sein. | dass man | wenn man | um man | ob man | Dass-Satz tras Es ist wichtig.
Q | Er hat vergessen, ＿＿ Tür abzuschließen. | die | der | den | dem | Akkusativ femenino: die Tür.
Q | Ich habe ihn nicht ＿＿ können. | erreichen | erreicht | zu erreichen | erreichte | Modal en infinitivo doble: erreichen können.
Q | Er hat mich ＿＿ lassen. | warten | gewartet | zu warten | wartete | Lassen como modal: Ersatzinfinitiv.
Q | Sie ＿＿ gestern nicht kommen. | konnte | kann | könnte | konnten | Präteritum de können (3.ª sing.).
Q | Wählen Sie die Bedeutung: Er hat das Angebot abgelehnt. | Er hat es nicht angenommen. | Er hat es angenommen. | Er hat es vergessen. | Er hat es verbessert. | Ablehnen = rechazar.
Q | Wählen Sie die Bedeutung: Das kommt nicht in Frage. | Das ist ausgeschlossen. | Das ist eine Frage. | Das ist wahrscheinlich. | Das ist bekannt. | Nicht in Frage kommen = ser imposible.
Q | Wählen Sie die Bedeutung: Sie hat den Nagel auf den Kopf getroffen. | Sie hat genau richtig geurteilt. | Sie hat sich verletzt. | Sie hat gearbeitet. | Sie hat gelogen. | Idioma: dar en el clavo.
Q | Wählen Sie die Bedeutung: Er hat Schwein gehabt. | Er hatte Glück. | Er hatte Hunger. | Er hatte Pech. | Er hatte ein Tier. | Schwein haben = tener suerte.
Q | Wählen Sie die Bedeutung: Das ist mir Wurst. | Das ist mir egal. | Ich mag das. | Ich esse das. | Das ist teuer. | Idioma: me da igual.
Q | Wählen Sie die Bedeutung: Ich verstehe nur Bahnhof. | Ich verstehe nichts. | Ich bin am Bahnhof. | Ich verstehe alles. | Ich fahre weg. | Idioma: no entiendo nada.
Q | Wählen Sie die Bedeutung: Er ließ die Katze aus dem Sack. | Er verriet ein Geheimnis. | Er rettete eine Katze. | Er ging weg. | Er kaufte ein Tier. | Idioma: descubrir el secreto.
Q | Wählen Sie die Bedeutung: Sie hat die Nase voll. | Sie hat genug. | Sie ist erkältet. | Sie ist müde. | Sie ist glücklich. | Die Nase voll haben = estar harta.
Q | Wählen Sie die Bedeutung: Wir sitzen alle im selben Boot. | Wir haben dasselbe Problem. | Wir machen Urlaub. | Wir sind auf einem Schiff. | Wir sind Freunde. | Idioma: estar en el mismo barco.
Q | Wählen Sie die Bedeutung: Er hat kalte Füße bekommen. | Er hat Angst bekommen. | Er hat gefroren. | Er ist gelaufen. | Er ist krank. | Idioma: echarse atrás por miedo.
Q | Was bedeutet 'anpassen'? | sich einer Situation angleichen | zerstören | vergessen | verkaufen | Sich anpassen = adaptarse.
Q | Was bedeutet 'Vorstellungsgespräch'? | Bewerbungsgespräch | Theaterstück | Einkauf | Prüfung | Entrevista de trabajo.
Q | Was bedeutet 'nachhaltig'? | langfristig wirksam und ressourcenschonend | sehr schnell | teuer | kurz | Nachhaltig = sostenible.
Q | Was bedeutet 'Umwelt'? | die natürliche Umgebung | das Wetter | ein Auto | ein Buch | Umwelt = medio ambiente.
Q | Was bedeutet 'Herausforderung'? | schwierige Aufgabe | Geschenk | Reise | Prüfung im Radio | Herausforderung = reto.
Q | Was bedeutet 'Voraussetzung'? | Bedingung | Hoffnung | Ergebnis | Meinung | Voraussetzung = requisito.
Q | Was bedeutet 'zuverlässig'? | so, dass man sich darauf verlassen kann | sehr langsam | sehr laut | unfreundlich | Zuverlässig = fiable.
Q | Was bedeutet 'Erfahrung'? | Wissen aus eigenem Erleben | Ausflug | Schulbuch | Ergebnis | Erfahrung = experiencia.
Q | Was bedeutet 'Gesellschaft'? | Gemeinschaft von Menschen | Firma nur | Geschenk | Reise | Gesellschaft = sociedad.
Q | Was bedeutet 'beeinflussen'? | auf etwas einwirken | wegwerfen | erfinden | vergessen | Beeinflussen = influir.
Q | Was bedeutet 'vorschlagen'? | eine Idee nennen | ablehnen | schreiben | rennen | Vorschlagen = proponer.
Q | Was bedeutet 'Ansicht'? | Meinung | Fahrzeug | Fenster | Bruder | Ansicht = opinión.
Q | Was bedeutet 'Verantwortung'? | Pflicht, für etwas einzustehen | Reise | Sport | Getränk | Verantwortung = responsabilidad.
Q | Was bedeutet 'Ereignis'? | Vorfall | Hausaufgabe | Beruf | Farbe | Ereignis = suceso.
Q | Was bedeutet 'Auswirkung'? | Folge | Ursache | Vorschlag | Mahlzeit | Auswirkung = consecuencia.
Q | Bilden Sie das Nomen: Die ＿＿ des Projekts dauerte zwei Jahre. (durchführen) | Durchführung | Durchführen | Durchführer | Durchgeführt | Sustantivo en -ung: Durchführung.
Q | Bilden Sie das Nomen: Seine ＿＿ war beeindruckend. (leisten) | Leistung | Leistend | Leister | Geleistet | Leistung = rendimiento.
Q | Bilden Sie das Adjektiv: Das Ergebnis war ＿＿. (erfolg) | erfolgreich | erfolgig | erfolgreiche | erfolgen | Adjetivo: erfolgreich.
Q | Bilden Sie das Adjektiv: Die Lösung ist ＿＿. (denken) | denkbar | denklich | denkend zu | gedenkt | Sufijo -bar: denkbar (concebible).
Q | Bilden Sie das Adverb: Er hat sich ＿＿ verhalten. (vernunft) | vernünftig | Vernunft | vernünftige | vernünftigt | Adjetivo/adverbio: vernünftig.
Q | Bilden Sie das Nomen: Die ＿＿ der Regierung wurde kritisiert. (entscheiden) | Entscheidung | Entscheider | Entscheiden | Entschieden | Entscheidung.
Q | Bilden Sie das Nomen: Die ＿＿ zwischen den Parteien dauerte lange. (verhandeln) | Verhandlung | Verhandler | Verhandelt | Verhandeln von | Verhandlung = negociación.
Q | Bilden Sie das Adjektiv: Es ist ＿＿, dass er kommt. (wahrscheinlich) | wahrscheinlich | Wahrscheinlichkeit | wahrscheinlicher weise | wahren | Adjetivo: wahrscheinlich.
Q | Bilden Sie das Nomen: Die ＿＿ der Kinder ist wichtig. (erziehen) | Erziehung | Erzieher der | Erzogen | Erziehen ist | Erziehung = educación.
Q | Bilden Sie das Adjektiv: Sie ist eine sehr ＿＿ Person. (freund) | freundliche | freundlich zu | Freundschaft | befreundet ist | Adjetivo declinado: freundliche.
Q | Wie heißt es richtig? Er hat sich ＿＿ entschuldigt. | bei ihr | ihr | ihrer | für ihr | Sich entschuldigen bei + Dativ.
Q | Wie heißt es richtig? Sie interessiert sich ＿＿ Kunst. | für | an | auf | über | Sich interessieren für.
Q | Wie heißt es richtig? Er ist stolz ＿＿ seine Tochter. | auf | für | über | an | Stolz sein auf.
Q | Wie heißt es richtig? Wir sind ＿＿ Erfolg überzeugt. | vom | für den | zu dem | an dem | Überzeugt sein von.
Q | Wie heißt es richtig? Er leidet ＿＿ Rückenschmerzen. | unter | auf | für | zu | Leiden unter (síntoma) / an (enfermedad); unter Rückenschmerzen es habitual.
Q | Wie heißt es richtig? Sie verzichtet ＿＿ ihr Gehalt. | auf | für | an | über | Verzichten auf.
Q | Wie heißt es richtig? Ich rechne ＿＿ deiner Hilfe. | mit | auf | an | für | Rechnen mit.
Q | Wie heißt es richtig? Das hängt ＿＿ vielen Faktoren ab. | von | an | für | um | Abhängen von.
Q | Wie heißt es richtig? Sie beschwert sich ＿＿ den Service. | über | für | auf | an | Sich beschweren über.
Q | Wie heißt es richtig? Wir sprechen ＿＿ das Thema morgen. | über | für | an | zu | Sprechen über.
Q | Wie heißt es richtig? Er hat mich ＿＿ seine Absicht informiert. | über | für | auf | an | Informieren über.
Q | Wie heißt es richtig? Ich habe mich ＿＿ die Regeln gehalten. | an | auf | über | zu | Sich halten an.
Q | Wie heißt es richtig? Er glaubt ＿＿ seinen Erfolg. | an | über | für | auf | Glauben an + Akkusativ.
Q | Wie heißt es richtig? Sie träumt ＿＿ einer Weltreise. | von | über | auf | für | Träumen von.
Q | Wie heißt es richtig? Es handelt sich ＿＿ ein Missverständnis. | um | über | von | an | Sich handeln um.
Q | Wie heißt es richtig? Die Teilnehmer haben sich ＿＿ die Regeln geeinigt. | auf | über | an | für | Sich einigen auf.
Q | Wie heißt es richtig? Sie fürchtet sich ＿＿ dem Hund. | vor | auf | über | für | Sich fürchten vor.
Q | Wie heißt es richtig? Er bedankte sich ＿＿ ihr für die Hilfe. | bei | für | an | zu | Sich bedanken bei jemandem.
Q | Wie heißt es richtig? Wir haben ＿＿ Unterschied bemerkt. | einen | einem | eines | ein | Bemerken + Akkusativ masculino.
Q | Wie heißt es richtig? Wir sind ＿＿ dem Ergebnis gekommen, dass die Studie fehlerhaft war. | zu | an | auf | bei | Zu einem Ergebnis kommen.
Q | Wie heißt es richtig? Ich habe ＿＿ Angst vor Spinnen. | große | großen | großer | großes | Femenino singular sin artículo: große Angst.
Q | Wie heißt es richtig? Trotz ＿＿ Kritik blieb sie ruhig. | der | die | den | dem | Trotz + Genitiv femenino.
Q | Wie heißt es richtig? Das ist die Frau, ＿＿ ich gestern gesehen habe. | die | der | den | dem | Relativo acusativo femenino: die.
Q | Wie heißt es richtig? Das Buch, ＿＿ ich lese, ist spannend. | das | dem | den | die | Relativo acusativo neutro: das.
Q | Wie heißt es richtig? Die Kollegen, mit ＿＿ ich arbeite, sind nett. | denen | die | denen die | deren | Relativo dativo plural tras mit: denen.
Q | Wie heißt es richtig? Der Grund, ＿＿ er kam, ist unbekannt. | warum | wenn | worauf | als | Relativo adverbial: warum.
Q | Wie heißt es richtig? Alles, ＿＿ er sagt, stimmt. | was | das | dem | wer | Tras alles: was.
Q | Wie heißt es richtig? ＿＿ er kam, war es schon dunkel. | Als | Wenn | Ob | Dass | Als para un evento único pasado.
Q | Wie heißt es richtig? ＿＿ ich Kind war, spielte ich oft draußen. | Wenn | Als | Ob | Falls | Wenn para acción repetida en el pasado (siempre que).
Q | Wie heißt es richtig? Ich rufe dich an, ＿＿ ich zu Hause bin. | sobald | obwohl | damit | weil nicht | Sobald = en cuanto (temporal).
Q | Wie heißt es richtig? Bevor er ging, ＿＿ er sich. | verabschiedete | hat verabschieden | verabschiedet er | verabschiedeten | Präteritum en subordinada principal: verabschiedete er sich.
Q | Wie heißt es richtig? Er arbeitet, ＿＿ er sich eine Wohnung leisten kann. | damit | um | dass | ob | Damit + sujeto expreso.
Q | Wie heißt es richtig? Sie tut so, ＿＿ ob sie schliefe. | als | wie | wenn | dass | Als ob + Konjunktiv II.
Q | Wie heißt es richtig? Er wird wohl krank ＿＿. | sein | ist | war | wäre gewesen | Vermutung: wird wohl + Infinitiv.
Q | Wie heißt es richtig? Sie soll sehr reich ＿＿. | sein | ist | war sein | gewesen sein worden | Soll + Infinitiv = se dice que.
Q | Wie heißt es richtig? Er dürfte bald da ＿＿. | sein | ist | wäre | gewesen | Dürfte + Infinitiv expresa probabilidad.
Q | Wie heißt es richtig? Das kann er nicht gewusst ＿＿. | haben | hat | worden | werden | Modal en pasado: gewusst haben.
Q | Wie heißt es richtig? Ich muss mich ＿＿ die Prüfung vorbereiten. | auf | für | an | von | Sich vorbereiten auf.
Q | Wie heißt es richtig? Hätten Sie ＿＿ Zeit für ein Gespräch? | einen Moment | ein Moment | einem Moment | eines Moment | Akkusativ masculino.
Q | Wie heißt es richtig? Ich hätte gern einen Tisch ＿＿ zwei Personen. | für | zu | mit für | an | Reservar para: für + Akk.
Q | Wie heißt es richtig? Er ist der Einzige, ＿＿ die Wahrheit kennt. | der | den | dem | des | Relativo nominativo masculino.
Q | Wie heißt es richtig? Die Zahl der Studenten ＿＿ gestiegen. | ist | sind | wurde | haben | La cifra (singular): ist gestiegen.
Q | Wie heißt es richtig? Die meisten Studenten ＿＿ zufrieden. | sind | ist | wird | hat | Die meisten + plural.
Q | Wie heißt es richtig? Keiner der Gäste ＿＿ gekommen. | ist | sind | waren | haben | Keiner + singular: ist.
Q | Wie heißt es richtig? Alle Gäste ＿＿ pünktlich gekommen. | sind | ist | wird | hat | Sujeto plural con sein en Perfekt.
Q | Wie heißt es richtig? Es freut mich, ＿＿ Sie kennenzulernen. | Sie | Ihnen | Ihre | Ihrer | Kennenlernen + Akkusativ.
Q | Wie heißt es richtig? Ich glaube, ＿＿ er Recht hat. | dass | ob | wenn | um | Dass-Satz tras glauben.
Q | Wie heißt es richtig? Er bat mich, ihm ＿＿. | zu helfen | helfen | zu hilft | geholfen zu | Bitten + zu-Infinitiv.
Q | Wie heißt es richtig? ＿＿ Sie mir bitte sagen, wie spät es ist? | Könnten | Können sein | Konnten | Gekonnt | Petición cortés: Könnten (Konjunktiv II).
Q | Wie heißt es richtig? Ich möchte wissen, ＿＿ er wohnt. | wo | wohin | woher | wann sein | Pregunta indirecta con wo.
Q | Wie heißt es richtig? Er fragte, ＿＿ ich kommen könne. | ob | dass | wenn | als | Ob = si (pregunta indirecta).
Q | Wie heißt es richtig? Ich weiß nicht, ＿＿ er heißt. | wie | wer nach | was er | wozu | Pregunta indirecta: wie er heißt.
Q | Wie heißt es richtig? Der Vortrag war ＿＿ interessant, dass alle zuhörten. | so | sehr wie | zu | genauso | So ..., dass = tan ... que.
Q | Wie heißt es richtig? Das Wetter war schlecht, ＿＿ fiel das Fest aus. | deshalb | obwohl | damit | weil | Deshalb = por eso (conector).
Q | Wie heißt es richtig? Er war krank, ＿＿ ging er zur Arbeit. | trotzdem | deshalb | weil | dass | Trotzdem = a pesar de ello.
Q | Wie heißt es richtig? Ich habe viel gelernt, ＿＿ ich bestanden habe. | sodass | weil | obwohl | falls | Sodass = de modo que.
Q | Wie heißt es richtig? Er hat nicht nur ein Auto, ＿＿ auch ein Boot. | sondern | aber | oder | denn | Nicht nur ... sondern auch.
Q | Wie heißt es richtig? Ich nehme den Bus, ＿＿ das Auto kaputt ist. | weil | denn ich | deshalb | obwohl | Weil = porque (verbo al final).
Q | Wie heißt es richtig? Ich nehme den Bus, ＿＿ das Auto ist kaputt. | denn | weil | dass | obwohl | Denn no cambia el orden.
Q | Wie heißt es richtig? Er ist krank, ＿＿ kann er nicht kommen. | deshalb | weil | obwohl | dass | Deshalb + inversión del verbo.
Q | Wie heißt es richtig? Er sprach so leise, ＿＿ ihn niemand verstand. | dass | damit | um | ob | So ..., dass = tan ... que (consecuencia).
Q | Wie heißt es richtig? Ich habe die Aufgabe ＿＿ gelöst. | selbstständig | selbstständige | selbstständigen | selbstständiges | Adverbio invariable.
Q | Wie heißt es richtig? Das war ein sehr ＿＿ Vorschlag. | guter | gutes | gut | guten | Nominativo masculino con ein-: guter.
Q | Wie heißt es richtig? Wir haben kein ＿＿ Geld mehr. | Geld | Gelden | Gelder | Gelds | Geld es incontable.
# reading
@R Der Trend zur Vier-Tage-Woche verbreitet sich. Befürworter argumentieren, dass Beschäftigte konzentrierter arbeiten, wenn ihnen mehr Freizeit bleibt. Kritiker halten dagegen, dass in Branchen mit festen Öffnungszeiten, etwa im Einzelhandel oder in der Pflege, eine Verkürzung kaum umsetzbar sei. Erste Pilotprojekte deuten darauf hin, dass die Produktivität stabil bleibt, doch ob sich dies langfristig bestätigt, ist offen.
Q | Was ist die Hauptaussage des Textes? | Die Vier-Tage-Woche ist vielversprechend, aber nicht überall machbar. | Die Vier-Tage-Woche ist gescheitert. | Alle Branchen führen sie ein. | Die Produktivität sinkt stark. | Se equilibran ventajas y límites.
Q | Wo halten Kritiker die Verkürzung für schwierig? | im Einzelhandel und in der Pflege | in Büros | in der Schule | im Homeoffice | Branchen con horarios fijos.
Q | Was zeigen erste Pilotprojekte? | Die Produktivität bleibt stabil. | Die Kosten steigen. | Die Beschäftigten kündigen. | Es gibt keine Ergebnisse. | Productividad estable.
Q | Was bedeutet 'Befürworter'? | Menschen, die etwas unterstützen | Menschen, die etwas verbieten | Arbeitgeber | Kunden | Befürworter = partidarios.
Q | Die langfristige Wirkung ist | noch unklar | bewiesen | negativ | belanglos | El texto la deja abierta.
@@
@R Immer mehr Städte richten Fahrradstraßen ein, auf denen Radfahrer Vorrang haben. Anwohner sind gespalten: Während die einen die ruhigere Umgebung loben, klagen andere über fehlende Parkplätze. Verkehrsplaner betonen, dass die Maßnahme nur wirkt, wenn sie in ein Gesamtkonzept eingebettet ist, das auch den öffentlichen Nahverkehr stärkt.
Q | Wer hat auf Fahrradstraßen Vorrang? | Radfahrer | Autofahrer | Busse | Fußgänger allein | Radfahrer tienen prioridad.
Q | Was kritisieren manche Anwohner? | fehlende Parkplätze | Lärm | hohe Kosten | zu viele Radfahrer | Falta de aparcamientos.
Q | Wann wirkt die Maßnahme laut Planern? | wenn sie Teil eines Gesamtkonzepts ist | immer | nie | nur nachts | Debe integrarse en un concepto global.
Q | 'gespalten' bedeutet hier | uneinig | zerbrochen | glücklich | müde | Gespalten = divididos.
Q | Der Text ist im Ton | sachlich | empört | ironisch | begeistert | Tono objetivo.
@@
@R Die Autorin verzichtet in ihrem neuen Roman auf eine lineare Handlung. Stattdessen setzt sich die Geschichte aus Erinnerungsfragmenten zusammen, die der Leser selbst ordnen muss. Manche Kritiker bemängeln, das Buch verlange zu viel Geduld. Andere sehen gerade darin seinen Reiz: Es traue dem Leser etwas zu und belohne aufmerksames Lesen.
Q | Was ist an dem Roman besonders? | Er hat keine lineare Handlung. | Er ist sehr kurz. | Er ist ein Krimi. | Er hat viele Figuren. | Fragmentos de memoria.
Q | Was bemängeln manche Kritiker? | Das Buch verlange zu viel Geduld. | Das Buch sei zu einfach. | Das Buch sei zu teuer. | Das Buch sei zu lang. | Exige paciencia.
Q | Worin sehen andere den Reiz? | Das Buch traue dem Leser etwas zu. | Das Buch sei unterhaltsam. | Das Buch sei leicht. | Das Buch sei neu. | Confía en el lector.
Q | 'verzichtet auf' bedeutet | lässt weg | benutzt | kauft | liebt | Verzichten auf = renunciar a.
Q | Der Leser muss die Fragmente | selbst ordnen | vergessen | kaufen | übersetzen | Debe ordenarlos.
@@
@R Ein neues Gesetz soll den Datenschutz stärken. Unternehmen müssen künftig offenlegen, welche Daten sie sammeln und zu welchem Zweck. Verbraucherschützer begrüßen das, halten die Strafen aber für zu gering, um große Konzerne abzuschrecken. Die Wirtschaft warnt dagegen vor zusätzlicher Bürokratie, die vor allem kleine Firmen belaste.
Q | Was müssen Unternehmen künftig tun? | offenlegen, welche Daten sie sammeln | keine Daten sammeln | Daten verkaufen | Steuern zahlen | Transparenzpflicht.
Q | Was kritisieren Verbraucherschützer? | Die Strafen sind zu gering. | Das Gesetz ist zu streng. | Das Gesetz kommt zu früh. | Es gibt keine Regeln. | Sanciones insuficientes.
Q | Wovor warnt die Wirtschaft? | vor zusätzlicher Bürokratie | vor Steuern | vor Streiks | vor Konkurrenz | Burocracia.
Q | Wen belastet die Bürokratie besonders? | kleine Firmen | Konzerne | Verbraucher | Behörden | Sobre todo a pequeñas empresas.
Q | 'abschrecken' bedeutet | von etwas abhalten | anlocken | erklären | überraschen | Abschrecken = disuadir.
@@
@R Die Zahl der Menschen, die im Homeoffice arbeiten, hat sich seit der Pandemie dauerhaft erhöht. Studien zufolge schätzen Beschäftigte die Flexibilität, vermissen aber den spontanen Austausch mit Kollegen. Manche Unternehmen reagieren mit hybriden Modellen, bei denen feste Bürotage vorgeschrieben sind. Ob dieser Kompromiss beide Seiten zufriedenstellt, muss sich noch zeigen.
Q | Was schätzen Beschäftigte am Homeoffice? | die Flexibilität | den Austausch | die Bürotage | die Kosten | Flexibilidad.
Q | Was vermissen sie? | den spontanen Austausch | das Gehalt | den Chef | die Technik | Intercambio espontáneo.
Q | Was sind hybride Modelle? | Mischung aus Büro- und Heimarbeit | reine Heimarbeit | reine Büroarbeit | Schichtarbeit | Modelo mixto.
Q | Was ist noch offen? | ob der Kompromiss beide zufriedenstellt | ob Homeoffice existiert | ob es Studien gibt | ob Firmen reagieren | Queda por ver.
Q | 'dauerhaft' bedeutet | auf lange Zeit | kurz | selten | plötzlich | Dauerhaft = duradero.
@@
@R Das Dorf hatte seine letzte Bäckerei verloren, und mit ihr einen Treffpunkt. Die Bewohner gründeten eine Genossenschaft, kauften das Gebäude und betreiben es nun gemeinsam. Der Laden macht keinen großen Gewinn, doch der Vorsitzende meint, darum gehe es nicht: Wichtig sei, dass im Ort wieder Menschen zusammenkämen.
Q | Was ging im Dorf verloren? | die letzte Bäckerei | die Schule | die Kirche | der Bahnhof | Perdieron la última panadería.
Q | Wie wurde der Laden gerettet? | durch eine Genossenschaft der Bewohner | durch die Stadt | durch einen Konzern | durch eine Spende | Cooperativa vecinal.
Q | Was sagt der Vorsitzende über den Gewinn? | Er sei nicht das Wichtigste. | Er sei riesig. | Er sei das Ziel. | Er sei verboten. | Lo importante es reunir gente.
Q | 'Treffpunkt' bedeutet | Ort, an dem man sich trifft | Bäckerei | Verkehrsknoten | Fest | Punto de encuentro.
Q | Der Laden bringt | wenig Gewinn | großen Gewinn | Verlust | keinen Umsatz | Poco beneficio.
@@
@R Forscher haben herausgefunden, dass Bienen nicht nur durch Pestizide bedroht sind, sondern auch durch den Mangel an vielfältigen Blühpflanzen. Monokulturen liefern zwar zeitweise viel Nahrung, aber keine ausgewogene. Landwirte, die Blühstreifen anlegen, berichten von höheren Erträgen, weil mehr Insekten ihre Felder bestäuben.
Q | Was bedroht Bienen laut dem Text außerdem? | Mangel an vielfältigen Pflanzen | zu viele Blumen | Regen | Honigproduktion | Falta de diversidad.
Q | Was liefern Monokulturen? | zeitweise viel, aber keine ausgewogene Nahrung | dauerhaft ausgewogene Nahrung | keine Nahrung | Honig | Alimento desequilibrado.
Q | Was berichten Landwirte mit Blühstreifen? | höhere Erträge | niedrigere Erträge | mehr Arbeit | weniger Bienen | Mayores rendimientos.
Q | Warum steigen die Erträge? | Mehr Insekten bestäuben die Felder. | Es regnet mehr. | Es gibt mehr Dünger. | Die Felder sind größer. | Polinización.
Q | 'bestäuben' bedeutet | Pollen übertragen | Pflanzen kaufen | ernten | wässern | Bestäuben = polinizar.
@@
@R Die Kommission legte einen Bericht vor, der die Ursachen der Krise nüchtern analysiert. Fehler seien auf mehreren Ebenen gemacht worden: Frühwarnsignale wurden ignoriert, Zuständigkeiten waren unklar, und die Kommunikation mit der Öffentlichkeit kam zu spät. Auf Schuldzuweisungen verzichtet der Bericht bewusst; er wolle Lehren ziehen, nicht Sündenböcke suchen.
Q | Wie beschreibt der Text die Analyse? | nüchtern | emotional | polemisch | unvollständig | Nüchtern = sobrio.
Q | Was wurde laut Bericht ignoriert? | Frühwarnsignale | Gesetze | Presse | Kosten | Señales de alerta.
Q | Was fehlte bei den Zuständigkeiten? | Klarheit | Geld | Zeit | Personal allein | Falta de claridad.
Q | Wozu dient der Bericht laut Kommission? | Lehren zu ziehen | Schuldige zu finden | Kosten zu senken | Gesetze aufzuheben | Extraer lecciones.
