# gramatica
Q | 어제 늦게 자＿＿ 오늘 너무 피곤해요. | 서 | 려고 | 거든 | 도록 | 원인: -아/어서 (자서).
Q | 선생님이 학생에게 창문을 닫＿＿ . | 게 했어요 | 기 했어요 | 지 않아요 | 는 했어요 | 사동: -게 하다.
Q | 일이 잘 풀려서 한국에서 살게 ＿＿ . | 되었어요 | 하였어요 | 시켰어요 | 못했어요 | -게 되다 = llegar a.
Q | 다음 달에 이사하＿＿ 했어요. | 기로 | 도록 | 자마자 | 게 | -기로 하다 = decidir.
Q | 도둑이 경찰에게 잡＿＿ . | 혔어요 | 았어요 | 하였어요 | 시켰어요 | 피동: 잡히다.
Q | 문이 저절로 열＿＿ . | 렸어요 | 었어요 | 시켰어요 | 하였어요 | 피동: 열리다.
Q | 아이에게 우유를 먹＿＿ . | 였어요 | 혔어요 | 렸어요 | 었어요 | 사동: 먹이다.
Q | 엄마는 동생을 ＿＿ . | 재웠어요 | 잤어요 | 자졌어요 | 재었어요 | 사동: 재우다.
Q | 그 사람은 내일 온다고 ＿＿ . | 했어요 | 하였어요라고 | 한다고요 | 하다고 | 간접화법: 온다고 했어요.
Q | 선생님이 숙제를 내라고 ＿＿ . | 하셨어요 | 했어요님 | 하시다고 | 한다고 | 명령 간접화법: -(으)라고 하다.
Q | 친구가 같이 가자고 ＿＿ . | 했어요 | 하자고 | 한다고 | 가라고 | 청유 간접화법: -자고 하다.
Q | 그녀는 “피곤해요.”라고 ＿＿ . | 말했어요 | 말했다고 | 말한다고 | 말하라고 | 직접인용: 라고.
Q | 무슨 일이 있었는지 ＿＿ . | 모르겠어요 | 몰라겠어요 | 모릅니다까 | 모른다고 | -는지 모르겠다.
Q | 가：내일 뭐 해요? 나：친구를 만날 ＿＿ 해요. | 거라고 | 거는 | 걸 | 거야고 | 간접: 만날 거라고 해요.
Q | 열심히 공부했＿＿ 시험에 떨어졌어요. | 는데도 | 으니까 | 으려고 | 도록 | -는데도 = a pesar de.
Q | 한국어를 배운 지 3년＿＿ 됐어요. | 이 | 를 | 께서 | 도 | 지 + 기간 + 이/가 되다.
Q | 그는 얼굴＿＿ 잘생기고 성격도 좋아요. | 도 | 만 | 에 | 로 | 도 = también.
Q | 그 일은 너＿＿ 할 수 있어요. | 만 | 에서 | 마저 | 조차 | 만 = solo.
Q | 지금은 밥＿＿ 먹을 수 없어요. | 조차 | 만이 | 나 | 이라도 | 조차 = ni siquiera.
Q | 시간이 없으면 커피＿＿ 마셔요. | 라도 | 조차 | 마저 | 밖에 | -(이)라도 = al menos.
Q | 밥을 먹을 ＿＿ 텔레비전을 보지 마세요. | 때 | 동안 | 만큼 | 대로 | 때 = cuando.
Q | 방학 ＿＿ 여행을 갔다 왔어요. | 동안 | 때문 | 만큼 | 마다 | 기간: 동안.
Q | 내 생각＿＿ 그 방법이 좋아요. | 에는 | 로는 를 | 만에 | 께서 | 에는 = en mi opinión.
Q | 약속 시간에 늦＿＿ 안 돼요. | 으면 | 어도 | 게 | 고 | -(으)면 안 되다 = no se debe.
Q | 이곳에서 사진을 찍＿＿ 돼요. | 어도 | 으면 | 려고 | 도록 | -아/어도 되다 = se puede.
Q | 잠깐 앉＿＿ 될까요? | 아도 | 으면 | 으니까 | 도록 | 허락: -아/어도 되다.
Q | 그 일은 제가 ＿＿ , 걱정하지 마세요. | 할게요 | 할까요 | 하니 | 하는군요 | -(으)ㄹ게요 = promesa.
Q | 같이 ＿＿ ? | 갈까요 | 갈게요 | 간다 | 가서 | -(으)ㄹ까요? = proposición.
Q | 날씨가 정말 ＿＿ ! | 좋네요 | 좋아요네 | 좋는군 | 좋고요 | -네요 = sorpresa.
Q | 이 음식은 맛이 ＿＿ 맵지도 않아요. | 짜지도 | 짜고도 | 짜니도 | 짜아도 | -지도 않다 doble negación.
Q | 그 사람은 아직 학교에 안 왔＿＿ . | 어요 | 는다 | 다고요요 | 습니 | 과거.
Q | 이 문제는 어려워서 아무도 풀 수 ＿＿ . | 없었어요 | 없이었어요 | 않았어요 수 | 못했어요수 | -(으)ㄹ 수 없다.
Q | 나는 매운 음식을 ＿＿ 못 먹어요. | 잘 | 못 잘 | 안 잘 | 아주 | 잘 못 (= 잘 + 못 먹다).
Q | 이 가방은 ＿＿ 비싸서 살 수 없어요. | 너무 | 벌써 | 마치 | 아직 | 너무 = demasiado.
Q | 그 사람은 정직＿＿ 사람이에요. | 한 | 인 | 이 | 을 | 정직하다 → 정직한.
Q | 어제 본 영화는 정말 ＿＿ . | 재미있었어요 | 재미있는었어요 | 재미있은 | 재미있어요았 | 과거 서술.
Q | 지난주에 산 ＿＿ 옷이에요. | 예쁜 | 예쁘는 | 예뻤는 | 예쁠 | 형용사 관형사형: 예쁜.
Q | 내일 만날 ＿＿ 사람이에요. | 예정인 | 예정한 | 예정은 | 예정으로 | 예정이다 → 예정인.
Q | 어제 만난 ＿＿ 내 친구예요. | 사람은 | 사람이 를 | 사람을 이 | 사람도 를 | 주제: 은/는.
Q | 이 노래를 ＿＿ 눈물이 나요. | 들을 때마다 | 듣는 마다 | 들은 때마다 를 | 들을 마다 | -(으)ㄹ 때마다 = cada vez que.
Q | 그 소식을 들은 ＿＿ 기분이 좋아졌어요. | 후로 | 뒤에서 | 안에 | 전에 | -(으)ㄴ 후로 = desde que.
Q | 그는 부자다. ＿＿ 검소하게 산다. | 그런데도 | 그러므로 | 그래서 | 그리고 나서 | 양보 접속: 그런데도 = a pesar de ello.
Q | 그는 열심히 공부했다. ＿＿ 성적이 올랐다. | 그래서 | 그렇지만 | 그런데도 | 하지만 | 원인 접속: 그래서.
Q | 눈이 많이 왔다. ＿＿ 길이 막혔다. | 그래서 | 하지만 | 그러나 | 그럼에도 | 원인·결과.
Q | 값이 싸다. ＿＿ 품질도 좋다. | 게다가 | 그러나 | 그렇지만 | 그럼에도 | 첨가: 게다가.
Q | 일찍 일어나세요. ＿＿ 지각할 거예요. | 그렇지 않으면 | 그러므로 | 그리고 | 게다가 | 조건: 그렇지 않으면 = de lo contrario.
Q | 한국 음식 중에서 불고기를 좋아해요. ＿＿ 김치찌개도 좋아해요. | 그리고 | 그러나 | 그렇지 않으면 | 그런데도 | 첨가.
Q | 그는 의사이다. ＿＿ 작가이기도 하다. | 또한 | 그렇지만 | 그러나 | 그렇지 않으면 | 첨가: 또한.
Q | 전통 음식이 사라지고 있다. ＿＿ 보존 노력이 필요하다. | 따라서 | 그러나 | 그럼에도 | 한편 | 결론: 따라서.
Q | 도시는 발전했다. ＿＿ 농촌은 여전히 낙후되어 있다. | 반면 | 따라서 | 그러므로 | 결국 | 대조: 반면.
Q | 여러 번 실패했다. ＿＿ 포기하지 않았다. | 그럼에도 불구하고 | 그러므로 | 따라서 | 게다가 | 양보.
Q | ‘눈이 높다’의 뜻은? | 기준이 높다 | 키가 크다 | 시력이 좋다 | 눈이 많다 | 관용표현: 눈이 높다 = tener criterios altos.
Q | ‘발이 넓다’의 뜻은? | 아는 사람이 많다 | 발이 크다 | 잘 걷는다 | 바쁘다 | 발이 넓다 = tener muchos contactos.
Q | ‘손이 크다’의 뜻은? | 씀씀이가 후하다 | 손이 아프다 | 기술이 좋다 | 힘이 세다 | 손이 크다 = ser generoso.
Q | ‘귀가 얇다’의 뜻은? | 남의 말에 잘 속는다 | 귀가 작다 | 잘 듣는다 | 소리를 못 듣는다 | 귀가 얇다 = crédulo.
Q | ‘입이 무겁다’의 뜻은? | 비밀을 잘 지킨다 | 말이 많다 | 밥을 안 먹는다 | 화가 났다 | 입이 무겁다 = discreto.
Q | ‘간이 크다’의 뜻은? | 겁이 없다 | 간이 아프다 | 배가 부르다 | 힘이 세다 | 간이 크다 = audaz.
Q | ‘한숨을 돌리다’의 뜻은? | 잠시 쉬다 | 화를 내다 | 도망가다 | 숨이 차다 | 한숨을 돌리다 = tomar un respiro.
Q | ‘시치미를 떼다’의 뜻은? | 모르는 척하다 | 화를 내다 | 옷을 입다 | 시간을 보내다 | 시치미를 떼다 = hacerse el desentendido.
Q | ‘발등에 불이 떨어지다’의 뜻은? | 일이 급해지다 | 발을 다치다 | 불을 끄다 | 요리하다 | Estar en apuros/con prisa.
Q | ‘미역국을 먹다’의 뜻은? | 시험에 떨어지다 | 생일을 축하하다 | 국을 만들다 | 병이 낫다 | 미역국을 먹다 = suspender.
Q | ‘우물 안 개구리’의 뜻은? | 세상을 잘 모르는 사람 | 물속 동물 | 부지런한 사람 | 우물을 판 사람 | Rana de pozo.
Q | ‘꿩 먹고 알 먹기’의 뜻은? | 한 번에 두 가지 이득을 얻다 | 새를 잡다 | 알을 깨다 | 요리를 잘하다 | Matar dos pájaros de un tiro.
Q | ‘호랑이도 제 말 하면 온다’의 뜻은? | 말하던 사람이 마침 나타나다 | 호랑이가 무섭다 | 말을 조심하다 | 소문이 퍼지다 | Hablando del rey de Roma.
Q | ‘낮말은 새가 듣고 밤말은 쥐가 듣는다’의 뜻은? | 말조심해야 한다 | 새가 노래한다 | 쥐가 많다 | 밤이 길다 | Las paredes oyen.
Q | ‘가는 말이 고와야 오는 말이 곱다’의 뜻은? | 내가 잘해야 남도 잘한다 | 말을 아껴라 | 말이 빠르다 | 말을 타라 | Trata bien para ser tratado bien.
Q | ‘쇠뿔도 단김에 빼라’의 뜻은? | 하려는 일은 바로 해라 | 소를 키워라 | 뿔은 위험하다 | 조심해라 | Al hierro caliente.
Q | ‘원인’과 같은 뜻의 단어는? | 이유 | 결과 | 방법 | 목적 | 원인 ≈ 이유 (causa).
Q | ‘증가’의 반대말은? | 감소 | 상승 | 확대 | 성장 | 증가 ↔ 감소.
Q | ‘찬성’의 반대말은? | 반대 | 동의 | 승인 | 지지 | 찬성 ↔ 반대.
Q | ‘장점’의 반대말은? | 단점 | 특징 | 강점 | 이점 | 장점 ↔ 단점.
Q | ‘낙관적’의 반대말은? | 비관적 | 긍정적 | 적극적 | 소극적 | 낙관 ↔ 비관.
Q | ‘원활하다’와 비슷한 말은? | 순조롭다 | 어렵다 | 복잡하다 | 위험하다 | 원활하다 ≈ 순조롭다 (fluido).
Q | ‘신중하다’의 뜻은? | 조심스럽고 깊게 생각하다 | 급하게 행동하다 | 크게 웃다 | 쉽게 포기하다 | 신중하다 = prudente.
Q | ‘도입하다’의 뜻은? | 새로 들여오다 | 내보내다 | 없애다 | 나누다 | 도입 = introducir.
Q | ‘점차’의 뜻은? | 조금씩 | 갑자기 | 완전히 | 절대로 | 점차 = gradualmente.
Q | ‘결국’의 뜻은? | 마침내, 끝에 가서 | 처음에 | 우선 | 만약 | 결국 = al final.
Q | ‘적극적’의 뜻은? | 스스로 나서서 하는 | 소극적인 | 조용한 | 느린 | 적극적 = proactivo.
Q | ‘한자어’ ‘영향’의 뜻은? | 다른 것에 미치는 작용 | 향기 | 방향 | 영화 | 영향 = influencia.
Q | ‘한자어’ ‘협력’의 뜻은? | 힘을 합쳐 돕다 | 다투다 | 경쟁하다 | 반대하다 | 협력 = cooperación.
Q | ‘한자어’ ‘경험’의 뜻은? | 직접 겪어 본 일 | 시험 | 경치 | 경기 | 경험 = experiencia.
Q | ‘한자어’ ‘제안’의 뜻은? | 의견을 내놓음 | 제한 | 제거 | 제목 | 제안 = propuesta.
Q | ‘한자어’ ‘환경’의 뜻은? | 주위의 조건 | 환영 | 환전 | 환자 | 환경 = entorno.
Q | 맞춤법이 맞는 것은? | 며칠 | 몇일 | 몇칠 | 며츨 | 며칠이 맞는 표기.
Q | 맞춤법이 맞는 것은? | 어떡해 | 어떻해 | 어떻게해 | 어떡게 | 어떡해 = 어떻게 해.
Q | 맞춤법이 맞는 것은? | 안 되다 | 않 되다 | 안되다 못 | 않되다 | 부정 부사 ‘안’.
Q | 맞춤법이 맞는 것은? | 웬일 | 왠일 | 웬닐 | 왼일 | 웬일 = qué pasa.
Q | 맞춤법이 맞는 것은? | 금세 | 금새 | 금서 | 곰세 | 금세 (= 금시에).
Q | 띄어쓰기가 맞는 것은? | 할 수 있다 | 할수 있다 | 할 수있다 | 할수있다 | 의존명사 ‘수’는 띄어 씀.
Q | 띄어쓰기가 맞는 것은? | 먹을 만큼 | 먹을만 큼 | 먹을만큼 | 먹을 만 큼 | 의존명사 ‘만큼’은 띄어 씀(관형형 뒤).
Q | 띄어쓰기가 맞는 것은? | 공부한 지 | 공부한지 | 공부 한지 | 공 부한지 | 의존명사 ‘지’.
Q | 존댓말이 맞는 것은? | 선생님께서 말씀하셨다. | 선생님이 말하였다. | 선생님께서 말했다. | 선생님이 말씀했다. | 높임: 께서 + 말씀하시다.
Q | 반말이 맞는 것은? | 밥 먹었어? | 진지 드셨어? | 식사하셨습니까? | 잡수셨습니까? | 반말 의문형.
Q | 축구 경기에서 이겨서 기분이 ＿＿ . | 좋아졌어요 | 좋아하였어요 | 좋는군 | 좋으려고요 | 형용사 + -아/어지다 = volverse.
Q | 그 문제는 나 혼자 해결할 수 ＿＿ . | 없어요 | 안해요 | 못이에요 | 않아요이 | -(으)ㄹ 수 없다.
Q | 다음 주에 시험이 있으니까 미리 준비＿＿ . | 해 두세요 | 해 있으세요 | 하고 두세요 | 하려고 두세요 | -아/어 두다 = dejar hecho de antemano.
Q | 창문이 열려 ＿＿ . | 있어요 | 두어요 | 가요 | 보아요 | 피동 + -아/어 있다 (estado).
Q | 그 책을 다 읽어 ＿＿ . | 버렸어요 | 있었어요 | 두었어 | 가야 | -아/어 버리다 = terminar por completo.
Q | 이 옷을 한번 입어 ＿＿ . | 보세요 | 두세요 | 있으세요 | 오세요 | -아/어 보다 = probar.
Q | 그는 한국말을 모르는 ＿＿ 대답했다. | 척 | 채 | 줄 | 뿐 | -는 척하다 = fingir.
Q | 그가 그렇게 말할 ＿＿ 몰랐어요. | 줄 | 수 | 뻔 | 만 | -(으)ㄹ 줄 몰랐다 = no sabía que.
Q | 이 일은 아무나 할 ＿＿ 없어요. | 수 | 줄이 | 만을 | 채로 | 가능/불가능: -(으)ㄹ 수 없다.
Q | 그 가수는 노래를 부를 ＿＿ 감동을 줘요. | 때마다 | 대로 | 뿐 | 만 | 반복.
Q | 비가 오는 ＿＿ 축제는 계속되었다. | 데도 | 대로 | 채로 | 뿐 | -는데도 = a pesar de.
Q | 그녀는 웃＿＿ 말했다. | 으면서 | 자마자가 | 는 김에 | 도록 | -(으)면서 = mientras.
Q | 가：왜 안 왔어요? 나：길이 막혔＿＿ . | 거든요 | 겠다 | 는군 | 니까요 다 | -거든요 = razón explicativa.
Q | 그는 나이보다 젊어 ＿＿ . | 보여요 | 보이는데도 | 보이면서 | 보려고 | -아/어 보이다 = parecer.
Q | 오늘은 바빠서 점심을 ＿＿ 못 먹었어요. | 제대로 | 제대로는 | 제대로만 | 제대로가 | Adverbio: 제대로 못 먹다.
Q | 이번 일을 계기＿＿ 생각이 바뀌었어요. | 로 | 에서 | 께 | 라도 | -을/를 계기로 = a raíz de.
Q | 이 책은 어린이도 읽을 ＿＿ 쉬워요. | 수 있을 만큼 | 수 있을 대로 | 수 있는 채로 | 수 있는 뿐 | -(으)ㄹ 수 있을 만큼 = tan fácil como para.
# reading
@R 최근 주 4일 근무제를 도입하는 기업이 늘고 있다. 찬성하는 사람들은 직원들이 충분히 쉬면 업무에 더 집중할 수 있다고 말한다. 반면 매장이나 병원처럼 정해진 시간에 문을 열어야 하는 곳에서는 적용하기 어렵다는 의견도 있다. 일부 시범 운영에서는 생산성이 유지되었지만, 장기적인 효과는 아직 확실하지 않다.
Q | 이 글의 내용과 같은 것은? | 주 4일 근무제는 모든 곳에 적용하기 어렵다는 의견이 있다. | 주 4일 근무제는 실패했다. | 모든 기업이 이미 도입했다. | 생산성이 크게 떨어졌다. | 시간이 정해진 곳은 적용이 어렵다.
Q | 반대 의견을 가진 곳은 어떤 곳입니까? | 정해진 시간에 문을 열어야 하는 곳 | 사무실이 큰 곳 | 직원이 적은 곳 | 인터넷 회사 | 매장·병원.
Q | 시범 운영 결과는 어떠했습니까? | 생산성이 유지되었다. | 비용이 크게 늘었다. | 직원이 그만두었다. | 결과가 없었다. | 생산성 유지.
Q | ‘도입하다’와 바꿔 쓸 수 있는 것은? | 들여오다 | 없애다 | 미루다 | 나누다 | 도입하다 = 들여오다.
Q | 장기적인 효과는 어떻습니까? | 아직 확실하지 않다. | 이미 증명되었다. | 나쁘다고 밝혀졌다. | 중요하지 않다. | 장기 효과는 불확실.
@@
@R 박물관은 매달 첫째 일요일에 무료로 문을 열기로 했다. 그 결과 방문객이 두 배로 늘었지만 긴 줄과 전시실 훼손이라는 문제도 생겼다. 관장은 이 실험이 절반의 성공이라고 평가했다. 관람객의 폭은 넓어졌으나, 시간이 없거나 박물관이 낯설어서 발길을 끊었던 사람들까지 끌어오지는 못했기 때문이다.
Q | 무료 개방의 결과로 알맞은 것은? | 방문객이 두 배로 늘었다. | 박물관이 문을 닫았다. | 방문객이 줄었다. | 입장료가 올랐다. | 방문객 두 배.
Q | 언급된 문제점은 무엇입니까? | 긴 줄과 전시실 훼손 | 도난 사고 | 소음만 | 공사 | 줄 서기·훼손.
Q | 관장은 이 실험을 어떻게 평가했습니까? | 절반의 성공 | 완전한 실패 | 큰 성공 | 의미 없음 | 절반의 성공.
Q | 끌어오지 못한 사람들은 누구입니까? | 박물관이 낯설거나 시간이 없는 사람들 | 외국인 | 어린이 | 학생 | 낯선·바쁜 사람.
Q | ‘발길을 끊다’의 뜻은? | 가지 않게 되다 | 자주 가다 | 걸어가다 | 길을 잃다 | 발길을 끊다 = dejar de ir.
@@
@R 이 소설가는 올해 일기와 취재 기록의 중간쯤 되는 독특한 책을 냈다. 그는 가족의 기억을 되짚으면서도 결코 확정된 진실을 내세우지 않는다. 일부 평론가는 결말이 없다고 아쉬워하지만, 다른 평론가는 결론을 짓지 않는 태도에서 보기 드문 정직함을 발견한다.
Q | 이 책의 형식은 어떠합니까? | 일기와 취재 기록의 중간 | 추리 소설 | 시집 | 전통적인 전기 | 혼합 형식.
Q | 작가는 가족의 기억을 어떻게 다룹니까? | 되짚으면서도 결론을 내리지 않는다 | 비판한다 | 무시한다 | 찬양한다 | 확정된 진실을 내세우지 않음.
Q | 일부 평론가가 아쉬워하는 점은? | 결말이 없는 것 | 분량 | 가격 | 문체 | 결말 부재.
Q | 다른 평론가는 무엇을 발견합니까? | 보기 드문 정직함 | 게으름 | 결점 | 서툶 | 정직함.
Q | ‘결론을 짓다’의 뜻은? | 마무리 판단을 내리다 | 집을 짓다 | 글을 쓰다 | 잊다 | 결론을 짓다 = concluir.
@@
@R 무엇이든 수치로 측정하려다 보면 숫자로 셀 수 없는 것을 놓치기 쉽다. 성과 지표는 조직을 이끄는 데 유용하지만 때로는 행동을 좌우하기도 한다. 서비스의 질보다 숫자를 관리하게 되는 것이다. 이에 따라 일부 사회학자는 정성적 자료를 병행할 것을 권한다.
Q | 이 글이 지적하는 위험은? | 숫자로 셀 수 없는 것을 놓치기 쉽다 | 측정을 하지 않는다 | 비용이 많이 든다 | 사람을 잘못 뽑는다 | 수치의 한계.
Q | 성과 지표가 때로 하는 일은? | 행동을 좌우한다 | 사라진다 | 좋아진다 | 싸진다 | 행동을 좌우.
Q | 사회학자들이 권하는 것은? | 정성적 자료를 병행하는 것 | 숫자를 없애는 것 | 직원을 뽑는 것 | 해고하는 것 | 병행 권고.
Q | ‘병행하다’의 뜻은? | 함께 진행하다 | 따로 하다 | 그만두다 | 미루다 | 병행 = hacer en paralelo.
Q | 글쓴이의 태도는? | 비판적이지만 균형 잡혔다 | 열광적이다 | 무관심하다 | 유머러스하다 | 비판적·균형.
@@
@R 도시에서는 옥상 녹화를 장려하고 있다. 옥상 녹화는 여름철 더위를 줄이고 빗물을 머금으며 곤충의 서식지가 되어 준다. 그러나 비용과 오래된 건물에 주는 하중 부담이 확산을 막고 있다. 지원금을 주며 이를 뒷받침하는 지자체가 의무화만 하는 지자체보다 성과가 좋다.
Q | 옥상 녹화의 장점은? | 여름철 더위를 줄인다 | 소음을 키운다 | 공간을 줄인다 | 비용이 적다 | 더위 감소.
Q | 확산을 막는 것은? | 비용과 오래된 건물의 하중 부담 | 곤충 부족 | 비 | 법 | 비용·하중.
Q | 성과가 좋은 지자체는? | 지원금을 주는 곳 | 의무화만 하는 곳 | 금지하는 곳 | 무시하는 곳 | 지원금.
Q | ‘서식지’의 뜻은? | 동물이 사는 곳 | 시장 | 학교 | 식당 | 서식지 = hábitat.
Q | 이 글의 성격은? | 정보 전달 | 논쟁 | 유머 | 이야기 | Informativo.
@@
@R 20년 동안 외국 작가를 소개해 온 번역가는 번역이 단어를 다른 단어로 바꾸는 일이 아니라고 말한다. 글의 목소리와 리듬, 침묵까지 되살리는 일이라는 것이다. 그러려면 때로는 문자를 배반해서라도 정신을 지켜야 하는데, 이런 타협을 원칙주의자들은 쉽게 용서하지 않는다.
Q | 번역가에 따르면 번역이란? | 글의 목소리를 되살리는 일 | 단어 바꾸기 | 요약 | 교정 | 목소리 재현.
Q | 때로 필요한 것은? | 문자를 배반해서 정신을 지키는 것 | 직역 | 주석 달기 | 글 지우기 | 문자 배반.
Q | 이런 타협을 용서하지 않는 사람은? | 원칙주의자 | 작가 | 독자 | 편집자 | 원칙주의자.
Q | 번역가는 몇 년 동안 일했습니까? | 20년 | 2년 | 10년 | 5년 | 20년.
Q | ‘용서하지 않는다’는 여기서 무엇을 뜻합니까? | 계속 비판한다 | 기뻐한다 | 모른다 | 잊는다 | 지속적 비난.
@@
@R 이 농부는 10년 전에 유기농으로 전환했다. 처음에는 수확량이 줄고 비용이 늘어 힘들었다. 지금은 품질이 좋아 직거래로 더 비싸게 팔 수 있어서 도박이 성공했다고 말한다. 다만 협동조합의 도움이 없었다면 아마 포기했을 것이라고 인정한다.
Q | 농부는 언제 유기농으로 바꿨습니까? | 10년 전 | 작년 | 2년 전 | 20년 전 | 10년 전.
Q | 초기에는 어떠했습니까? | 힘들었다 | 쉬웠다 | 수익이 컸다 | 빨랐다 | 어려웠다.
Q | 왜 성공했다고 생각합니까? | 직거래로 더 비싸게 팔 수 있어서 | 땅이 늘어서 | 많이 생산해서 | 일이 줄어서 | 직거래.
Q | 협동조합이 없었다면? | 포기했을 것이다 | 혼자 성공했을 것이다 | 땅을 팔았을 것이다 | 이민 갔을 것이다 | 포기했을 것.
Q | ‘직거래’의 뜻은? | 중간 없이 직접 거래하는 것 | 큰 거래 | 나쁜 거래 | 해외 거래 | 직거래 = venta directa.
@@
