# gramatica
Q | Espero que você ＿＿ bem na prova. | vá | vai | irá | iria | Após esperar que: subjuntivo presente.
Q | Entre ＿＿ e ela, não há segredos. | mim | eu | me | comigo | Após entre: pronome oblíquo tônico.
Q | Para ＿＿ fazer isso, preciso de tempo. | eu | mim | me | comigo | Sujeito do infinitivo: eu.
Q | Vou ＿＿ à escola. | à | a | ha | as | Crase: a + a escola.
Q | Refiro-me ＿＿ situação anterior. | à | a | há | ha | Referir-se a + a situação: crase.
Q | Cheguei ＿＿ uma hora. | há | a | à | ah | Há + tempo passado.
Q | Daqui ＿＿ dois dias, viajo. | a | há | à | as | Daqui a + tempo futuro.
Q | Ele foi ＿＿ pé. | a | à | há | ah | Locução: a pé (sem crase).
Q | Ela comprou ＿＿ vista. | à | a | há | as | À vista: locução adverbial feminina com crase.
Q | Os documentos ＿＿ enviados ontem. | foram | fora | foi | são | Voz passiva: foram enviados.
Q | ＿＿ apartamentos. | Alugam-se | Aluga-se | Alugou-se | Alugaram | Passiva sintética: o verbo concorda com o sujeito plural.
Q | Vendem-se ＿＿ . | casas | casa | casas as | uma casas | Concordância na passiva sintética.
Q | Precisa-se ＿＿ funcionários. | de | dos | para | a | Verbo transitivo indireto: precisar de (sujeito indeterminado).
Q | Havia muitas pessoas na festa. Correto porque haver ＿＿ | é impessoal | concorda com o sujeito plural | é auxiliar apenas | exige crase | Haver com sentido de existir é impessoal.
Q | Faz dois anos que ele ＿＿ aqui. | mora | moram | moramos | morar | Fazer impessoal: faz dois anos.
Q | Fazia calor ＿＿ tempo. | há muito | a muito | à muito | ha muito | Há + tempo decorrido.
Q | Eles ＿＿ a casa ontem. | venderam | vendem | vendera | venderão | Pretérito perfeito.
Q | Quando eu era criança, ＿＿ ao sítio. | ia | fui | irei | iria | Imperfeito habitual.
Q | Enquanto ela ＿＿ , o telefone tocou. | dormia | dormiu | dormirá | dormiria | Imperfeito + perfeito.
Q | Se ela ＿＿ , ele saía. | chegasse | chegou | chega | chegara ela | Correlação temporal do subjuntivo imperfeito.
Q | Amanhã, a essa hora, eu ＿＿ no avião. | estarei | estava | estive | estaria | Futuro do presente.
Q | Quando eu ＿＿ terminado, te ligarei. | tiver | tinha | teria | tenho | Futuro composto do subjuntivo.
Q | Ele disse que ＿＿ no dia seguinte. | viria | virá | veio | vem | Concordância no discurso indireto.
Q | Ela perguntou se eu ＿＿ livre. | estava | estou | estarei | esteja | Discurso indireto no passado.
Q | Pediu-me que ＿＿ mais cedo. | chegasse | chego | chegarei | chegaria | Pedir que + imperfeito do subjuntivo.
Q | É melhor ＿＿ agora. | sairmos | sair nós | saírmos | sairem | Infinitivo pessoal: sairmos.
Q | Eles pediram para ＿＿ entrarmos. | nós | a nós | nos | nosso | Sujeito do infinitivo flexionado: nós.
Q | Foi preciso os alunos ＿＿ . | esperarem | esperar | esperam | esperaram | Infinitivo pessoal flexionado.
Q | Ao ＿＿ a porta, ouviu um barulho. | abrir | abrindo | abriu | aberto | Ao + infinitivo.
Q | ＿＿ o exame, saí. | Terminado | Terminar | Terminando o | Termina | Particípio absoluto.
Q | Estou ＿＿ um livro. | lendo | lido | ler | li | Estar + gerúndio.
Q | Ela ＿＿ trabalhando desde as sete. | está | esteve | estará | estava a | Presente contínuo.
Q | Vamos ＿＿ o problema. | resolver | resolvendo | resolvido | resolveu | Ir + infinitivo.
Q | Ele acabou ＿＿ a verdade. (concluiu falando) | dizendo | de dizer | disse | por dizer | Acabar + gerúndio = terminar fazendo.
Q | Ela começou ＿＿ chorar. | a | de | por | em | Começar a + infinitivo.
Q | Ele deixou ＿＿ fumar. | de | a | por | em | Deixar de + infinitivo.
Q | Ela insiste ＿＿ ficar. | em | a | de | por | Insistir em.
Q | Ele gosta ＿＿ música clássica. | de | em | a | por | Gostar de.
Q | Ela precisa ＿＿ ajuda. | de | em | a | por | Precisar de.
Q | Ele concorda ＿＿ você. | com | a | de | em | Concordar com.
Q | Eu confio ＿＿ ele. | nele | dele | a ele | com ele | Confiar em + ele.
Q | Ela sonha ＿＿ uma casa nova. | com | de | por | a | Sonhar com + substantivo.
Q | Ele se casou ＿＿ ela. | com | a | de | em | Casar-se com.
Q | Estou ansioso ＿＿ o resultado. | pelo | do | ao | no | Ansioso por/pelo.
Q | Ele é responsável ＿＿ segurança. | pela | à | na | a | Responsável por.
Q | Isto se refere ＿＿ contrato. | ao | do | no | pelo | Referir-se a.
Q | O medo ＿＿ falhar o paralisa. | de | a | em | por | Medo de.
Q | Ele se esqueceu ＿＿ chave. | da | a | na | pela | Esquecer-se de.
Q | Assisti ＿＿ filme ontem. | ao | o | no | do | Assistir a (ver).
Q | Prefiro café ＿＿ chá. | a | que | do | de | Preferir A.
Q | Ele visa ＿＿ cargo. | ao | o | no | do | Visar a (objetivo).
Q | Ele mora ＿＿ São Paulo. | em | a | de | por | Morar em.
Q | Ele vai ＿＿ São Paulo. | a | em | de | por | Ir a.
Q | Escolha o sentido: Ele deu com a língua nos dentes. | Revelou um segredo. | Machucou-se. | Foi ao dentista. | Falou pouco. | Idioma: falar demais.
Q | Escolha o sentido: Ela está com a corda no pescoço. | Está em grande dificuldade. | Está brincando. | Está viajando. | Está feliz. | Idioma.
Q | Escolha o sentido: Ele pagou o pato. | Sofreu as consequências por outro. | Comprou um animal. | Ganhou. | Cozinhou. | Idioma.
Q | Escolha o sentido: Estou de olho. | Estou vigiando. | Estou dormindo. | Estou triste. | Estou com raiva. | Idioma.
Q | Escolha o sentido: Isso custa os olhos da cara. | É muito caro. | É gratuito. | É perigoso. | É bonito. | Idioma.
Q | Escolha o sentido: Ele encheu a cara. | Bebeu demais. | Comeu muito. | Zangou-se. | Lavou o rosto. | Idioma.
Q | Escolha o sentido: Foi de graça. | Foi gratuito. | Foi engraçado. | Foi divino. | Foi triste. | De graça = sem pagar.
Q | Escolha o sentido: Vamos quebrar o gelo. | Tornar o ambiente mais descontraído. | Fazer gelo. | Ir embora. | Brigar. | Idioma.
Q | Escolha o sentido: Ela perdeu a paciência. | Irritou-se. | Ficou calma. | Foi embora. | Riu. | Idioma.
Q | Escolha o sentido: Ele ficou de queixo caído. | Ficou surpreso. | Ficou triste. | Ficou com sono. | Ficou zangado. | Idioma.
Q | O que significa « pressupor » ? | supor previamente | negar | esquecer | comprar | Pressupor.
Q | O que significa « ressalvar » ? | fazer uma ressalva | vender | esquecer | copiar | Ressalvar = matizar.
Q | O que significa « incumbir » ? | atribuir uma tarefa | cair | ganhar | beber | Incumbir.
Q | O que significa « vigente » ? | em vigor | antigo | proibido | barato | Vigente.
Q | O que significa « inerente » ? | próprio, intrínseco | externo | raro | lento | Inerente.
Q | O que significa « proeminente » ? | que se destaca | escondido | pequeno | barato | Proeminente.
Q | O que significa « contudo » ? | no entanto | portanto | porque | assim | Contudo = sin embargo.
Q | O que significa « outrossim » ? | além disso | portanto | mas | ou | Outrossim = además.
Q | O que significa « mormente » ? | principalmente | raramente | ontem | logo | Mormente = sobre todo.
Q | O que significa « conquanto » ? | embora | porque | se | quando | Conquanto = aunque.
Q | Forme o substantivo: A ＿＿ do projeto durou dois anos. (realizar) | realização | realizado | realizando | realizar | Substantivo em -ção.
Q | Forme o substantivo: A sua ＿＿ é notória. (honesto) | honestidade | honestamente | honrar | honesto | Substantivo em -dade.
Q | Forme o adjetivo: É uma tarefa ＿＿ . (fazer) | factível | feito | fazendo | fazível | Adjetivo em -vel.
Q | Forme o advérbio: Respondeu ＿＿ . (claro) | claramente | clareza | clarear | clareado | Advérbio em -mente.
Q | Forme o substantivo: O ＿＿ dos preços preocupa. (aumentar) | aumento | aumentado | aumentando | aumentável | Substantivo deverbal.
Q | Forme o adjetivo contrário: Uma pessoa ＿＿ . (confiável) | não confiável | desconfiável | inconfiável a | desconfiada de | Contrário: não confiável.
Q | Forme o substantivo: A ＿＿ da empresa é eficiente. (organizar) | organização | organizado | organizador | organizando | Substantivo em -ção.
Q | Forme o substantivo: Tem grande ＿＿ . (responsável) | responsabilidade | responsável | responsavelmente | responsabilizar | Substantivo em -dade.
Q | Escolha a forma correta: Não creio que ele ＿＿ vir. | possa | pode | poderá | podia | Não crer que + subjuntivo.
Q | Escolha a forma correta: Que ela ＿＿ feliz! | seja | é | será | seria | Optativo com subjuntivo.
Q | Escolha a forma correta: Quero que você ＿＿ a verdade. | diga | diz | dirá | diria | Querer que + subjuntivo.
Q | Escolha a forma correta: Basta que ＿＿ pontual. | você seja | você é | você será | você seria | Bastar que + subjuntivo.
Q | Escolha a forma correta: Caso ＿＿ problema, avise. | haja | há | haverá | haveria | Caso + subjuntivo.
Q | Escolha a forma correta: A não ser que ＿＿ , sairei. | chova | chove | choverá | choveria | A não ser que + subjuntivo.
Q | Escolha a forma correta: Ainda que ＿＿ cansado, continuou. | estivesse | estava | esteve | estará | Ainda que + subjuntivo.
Q | Escolha a forma correta: Embora ele ＿＿ rico, é simples. | seja | é | foi | será | Embora + subjuntivo.
Q | Escolha a forma correta: Por mais que ele ＿＿ , não consegue. | tente | tenta | tentará | tentava | Por mais que + subjuntivo.
Q | Escolha a forma correta: Ele fez ＿＿ ninguém percebesse. | sem que | para | a fim | em vez | Sem que + subjuntivo.
Q | Escolha a forma correta: Trabalha muito ＿＿ possa comprar uma casa. | para que | porque não | ainda que | apesar | Para que + subjuntivo.
Q | Escolha a forma correta: Ele parece ＿＿ cansado. | estar | está | estará | esteja | Parecer + infinitivo.
Q | Escolha a forma correta: Parece que ele ＿＿ cansado. | está | esteja | estar | estivesse | Parecer que + indicativo.
Q | Escolha a forma correta: Ele é ＿＿ mais alto da turma. | o | um | ao | do | Superlativo relativo.
Q | Escolha a forma correta: Este livro é ＿＿ do que aquele. | melhor | mais bom | mais melhor | ótimo | Comparativo irregular: melhor.
Q | Escolha a forma correta: Ele canta ＿＿ do que ela. | melhor | mais bem | mais bom | ótimo | Comparativo de advérbio: melhor.
Q | Escolha a forma correta: Nunca ＿＿ ninguém. | vi | vi a | eu vi ninguém | tinha ver | Dupla negação: nunca vi ninguém.
Q | Escolha a forma correta: Não ＿＿ nada. | disse | dizer | dito ele | dizia a | Não + verbo + nada.
Q | Escolha a forma correta: Ninguém ＿＿ à festa. | veio | vieram | vinham a | virá não | Ninguém + singular.
Q | Escolha a forma correta: Fui eu que ＿＿ isso. | fiz | fez | fizeram | faz | Concordância com o pronome eu.
Q | Escolha a forma correta: Mais de um aluno ＿＿ faltado. | tem | têm | tinham | teve | Mais de um + singular.
Q | Escolha a forma correta: Cada um dos alunos ＿＿ seu lugar. | tem | têm | tinham | teve | Cada um + singular.
Q | Escolha a forma correta: Ele ＿＿ fazer o trabalho ontem. | pôde | pode | poderá | podia ele | Pretérito perfeito de poder.
Q | Escolha a forma correta: Eles ＿＿ a mesa. | põem | poem | põe | pões | Pôr: eles põem.
Q | Escolha a forma correta: Eles ＿＿ tudo. | veem | vêem | vem | vêm | Ver: eles veem (sem acento após o acordo).
Q | Escolha a forma correta: Eles ＿＿ amanhã. | vêm | veem | vem | vêem | Vir: eles vêm.
Q | Escolha a forma correta: Ele ＿＿ aqui agora. | vem | vêm | veem | vê | Vir: ele vem.
Q | Escolha a forma correta: Ele disse que ＿＿ chegado cedo. | tinha | tem | teria de | tivera a | Mais-que-perfeito composto.
Q | Escolha a forma correta: Se eu tivesse sabido, ＿＿ ido. | teria | tinha | terei | tenho | Condicional composto.
Q | Escolha a forma correta: Ela é a mulher ＿＿ filho estuda aqui. | cujo | cuja | que o | onde | Cujo concorda com filho.
Q | Escolha a forma correta: Foi ali ＿＿ nos conhecemos. | que | cujo | quem | quanto | Locução de realce: foi ali que.
Q | Escolha a forma correta: É por isso ＿＿ ele saiu. | que | cujo | onde | quem | Realce com que.
Q | Escolha a forma correta: Quanto ＿＿ os livros? | custam | custa | custou a | custará a | Concordância com sujeito plural.
Q | Escolha a forma correta: ＿＿ dez anos que nos vimos. | Faz | Fazem | Fazia a | Fizeram | Fazer impessoal indicando tempo decorrido: faz.
Q | Escolha a forma correta: Ontem ＿＿ muitos problemas no trânsito. | houve | houveram | haviam | há | Haver impessoal: houve.
Q | O que significa « providenciar » ? | tomar as medidas necessárias | esquecer | comprar | vender | Providenciar = tomar medidas.
Q | Escolha a forma correta: Se você ＿＿ isso, ficarei feliz. | vir | ver | vier | visse | Futuro do subjuntivo de ver: vir.
Q | Escolha a forma correta: Quando ele ＿＿ , me chame. | vier | vir | viesse | virá | Futuro do subjuntivo de vir: vier.
Q | Escolha a forma correta: Se ele ＿＿ dinheiro, compraria. | tivesse | tem | terá | tiver de | Imperfeito do subjuntivo.
Q | Escolha a forma correta: Se você ＿＿ , telefono. | puder | pode | poderia | podia | Futuro do subjuntivo de poder.
Q | Escolha a forma correta: Se eles ＿＿ , faremos festa. | quiserem | querem | queriam | queram | Futuro do subjuntivo de querer.
Q | Escolha a forma correta: Quando nós ＿＿ , iremos. | pudermos | podemos | pudéssemos | poderemos | Futuro do subjuntivo.
Q | Escolha a forma correta: Quem ＿＿ primeiro ganha. | chegar | chega a | chegou de | chegaria | Futuro do subjuntivo genérico.
Q | Escolha a forma correta: Eu ＿＿ ontem. (vir) | vim | vem | vinha | venho | Pretérito perfeito de vir.
Q | Escolha a forma correta: Ontem ela ＿＿ tudo. (dizer) | disse | dizia a | dito | dizeu | Pretérito perfeito de dizer.
Q | Escolha a forma correta: Ele ＿＿ o projeto amanhã. (fazer, futuro) | fará | fazerá | faz a | fez a | Futuro de fazer.
Q | Escolha a forma correta: Nós ＿＿ o trabalho ontem. (pôr) | pusemos | pomos | puzemos | pôsemos | Pretérito perfeito de pôr.
Q | Escolha a forma correta: Ele quer que eu ＿＿ . (trazer) | traga | trago | trazer | trouxe | Subjuntivo de trazer.
Q | Escolha a forma correta: Antes que ele ＿＿ , diga a verdade. | saia | sai | sairá | sairia | Antes que + subjuntivo.
Q | Escolha a forma correta: Depois que ele ＿＿ , conversamos. | saiu | saia | saísse | sairia | Depois que + indicativo (fato).
# reading
@R A semana de quatro dias conquista cada vez mais empresas. Os defensores afirmam que os funcionários, mais descansados, trabalham com maior concentração. Os céticos objetam que, em setores com horários fixos, como o comércio ou a saúde, a redução é difícil de aplicar. As primeiras experiências indicam que a produtividade se mantém, mas resta saber se o resultado será duradouro.
Q | Qual é a ideia principal do texto? | A semana de quatro dias é promissora, mas nem sempre aplicável. | Ela fracassou. | Todos a adotaram. | A produtividade despencou. | Matiza vantagens e limites.
Q | Onde a redução é considerada difícil? | em setores com horários fixos | em escritórios | na escola | em casa | Comércio e saúde.
Q | O que sugerem as primeiras experiências? | A produtividade se mantém. | Os custos disparam. | Os funcionários pedem demissão. | Nada se sabe. | Produtividade estável.
Q | « Defensores » significa | quem apoia | opositores | patrões | clientes | Defensores = partidarios.
Q | Os efeitos a longo prazo são | ainda incertos | comprovados | negativos | irrelevantes | Aún incierto.
@@
@R O museu decidiu abrir gratuitamente no primeiro domingo de cada mês. A medida dobrou o número de visitantes, mas causou filas intermináveis e maior desgaste das salas. O diretor admite que o balanço é ambíguo: o público se ampliou, mas não chegou a quem, por falta de tempo ou de hábito, não ousava entrar.
Q | O que a gratuidade provocou? | o dobro de visitantes | o fechamento do museu | queda de público | aumento de preços | Se duplicó el público.
Q | Que inconvenientes são citados? | filas e maior desgaste | roubos | só barulho | obras | Colas y desgaste.
Q | Como o diretor avalia a experiência? | de forma ambígua | como fracasso total | como triunfo | como irrelevante | Balanço ambíguo.
Q | Que público não foi alcançado? | quem não ousava entrar | os turistas | as crianças | as escolas | No llegó a los que no se atrevían.
Q | « Ousar » significa | ter coragem de | evitar | perder | comprar | Ousar = atreverse.
@@
@R O romancista publicou este ano um livro peculiar, a meio caminho entre diário e reportagem. O autor interroga a memória da família sem jamais pretender oferecer uma verdade definitiva. Alguns críticos lamentam a ausência de conclusão; outros veem nessa recusa de encerrar a questão um sinal de rara honestidade.
Q | Qual é a forma do livro? | meio diário, meio reportagem | um policial | um livro de poemas | uma biografia clássica | Género mixto.
Q | O que o autor faz com a memória familiar? | Interroga sem concluir | Denuncia | Ignora | Celebra | Interroga sin cerrar.
Q | O que lamentam alguns críticos? | a ausência de conclusão | a extensão | o preço | o estilo | Falta de conclusión.
Q | O que outros veem nessa recusa? | uma rara honestidade | preguiça | um defeito | falta de jeito | Honestidad.
Q | « Encerrar a questão » significa | concluir o assunto | abrir um debate | esquecer | copiar | Cerrar el asunto.
@@
@R De tanto querer medir tudo, as empresas correm o risco de esquecer o que não se conta. Os indicadores de desempenho, úteis para orientar, acabam às vezes por ditar comportamentos: cuida-se do número mais que do serviço prestado. Vários sociólogos sugerem, por isso, complementar os painéis com dados qualitativos, menos cômodos, mas frequentemente mais esclarecedores.
Q | Que risco o texto aponta? | esquecer o que não se conta | não medir nada | gastar demais | contratar mal | Riesgo de medirlo todo.
Q | O que os indicadores acabam por fazer? | ditar comportamentos | desaparecer | melhorar | custar menos | Condicionan conductas.
Q | O que propõem os sociólogos? | complementar com dados qualitativos | eliminar números | contratar | demitir | Complementar con cualitativo.
Q | « Esclarecedores » significa | que trazem clareza | luminosos | caros | rápidos | Aclaradores.
Q | O tom do autor é | crítico e matizado | entusiasmado | indiferente | cômico | Crítico matizado.
@@
@R Nas cidades, incentiva-se o telhado verde. Ele reduz o calor do verão, retém a água da chuva e abriga insetos. Contudo, o custo e a carga adicional sobre prédios antigos freiam sua expansão. Os municípios que o apoiam com incentivos obtêm resultados melhores que os que se limitam a impô-lo.
Q | Que vantagem é citada? | Reduz o calor do verão. | Aumenta o barulho. | Reduz o espaço. | Custa pouco. | Reduce el calor.
Q | O que freia sua expansão? | o custo e a carga sobre prédios antigos | a falta de insetos | a chuva | as leis | Coste y peso.
Q | Que municípios obtêm melhores resultados? | os que dão incentivos | os que o impõem | os que o proíbem | os que o ignoram | Incentivos.
Q | « Frear » significa | desacelerar | acelerar | proibir | criar | Frenar.
Q | O texto é | informativo | polêmico | humorístico | narrativo | Informativo.
@@
@R A tradutora, que há vinte anos divulga autores estrangeiros, afirma que traduzir não é trocar palavras por outras. É reencontrar a voz de um texto, seu ritmo, seus silêncios. Admite que essa fidelidade exige às vezes trair a letra para salvar o espírito, um compromisso que os puristas nem sempre lhe perdoam.
Q | Segundo ela, traduzir consiste em | reencontrar a voz do texto | trocar palavras | resumir | corrigir | Recuperar la voz.
Q | O que essa fidelidade exige às vezes? | trair a letra para salvar o espírito | seguir palavra por palavra | acrescentar notas | apagar o texto | Traicionar la letra.
Q | Quem lhe cobra esse compromisso? | os puristas | os autores | os leitores | os editores | Los puristas.
Q | Há quanto tempo ela traduz? | há vinte anos | há dois anos | há dez anos | há cinco anos | Veinte años.
Q | « Não perdoar » implica aqui | uma crítica persistente | alegria | ignorância | esquecimento | Reproche.
@@
@R O agricultor converteu sua propriedade para o orgânico há dez anos. O começo foi difícil: produtividade em queda, custos em alta. Hoje ele acha que ganhou a aposta, pois a qualidade dos produtos permite vendê-los mais caro em circuitos curtos. Reconhece, porém, que sem o apoio de uma cooperativa provavelmente teria desistido.
Q | Quando converteu a propriedade? | há dez anos | no ano passado | há dois anos | há vinte anos | Diez años.
Q | Como foi o começo? | difícil | fácil | lucrativo | rápido | Difícil.
Q | Por que acha que ganhou a aposta? | vende mais caro em circuito curto | tem mais terra | produz mais | trabalha menos | Venta directa.
Q | O que teria feito sem a cooperativa? | teria desistido | teria conseguido sozinho | teria vendido a terra | teria emigrado | Habría abandonado.
Q | « Aposta » significa aqui | risco assumido | jogo de azar apenas | prêmio | dívida | Apuesta.
@@
@R O projeto de lei visa proteger melhor quem denuncia irregularidades. Garante o anonimato e proíbe qualquer retaliação. As associações saúdam o avanço, mas lamentam que o procedimento exija passar primeiro pela chefia, o que pode desencorajar quem teme justamente ser identificado.
Q | O que pretende o projeto de lei? | proteger quem denuncia | puni-los | pagá-los | treiná-los | Proteger denunciantes.
Q | O que ele garante? | o anonimato | um salário | emprego vitalício | um prêmio | Anonimato.
Q | O que lamentam as associações? | a obrigação de passar pela chefia | a ausência de lei | a duração | o custo | Jerarquía.
Q | Por que o procedimento pode desencorajar? | O denunciante pode ser identificado. | É caro. | É longo. | É secreto. | Riesgo de ser identificado.
Q | « Retaliação » significa | ato de vingança | recompensa | conselho | relatório | Represalia.
@@
@R O sono dos adolescentes é cronicamente insuficiente. Adiar em uma hora o início das aulas, como fizeram algumas escolas, melhora a frequência e reduz acidentes de trânsito. Os opositores temem o desarranjo dos horários, inconveniente que os pesquisadores consideram modesto diante dos benefícios observados.
Q | O que o adiamento das aulas melhora? | a frequência e a segurança no trânsito | só as notas | os salários | as férias | Asistencia y accidentes.
Q | O que temem os opositores? | o desarranjo dos horários | o cansaço | o custo | o barulho | Horarios.
Q | Como os pesquisadores avaliam esse inconveniente? | como modesto | como enorme | como inaceitável | como inexistente | Modesto.
Q | « Adiar » significa | deixar para mais tarde | eliminar | adiantar sempre | copiar | Aplazar.
Q | Qual é a provável conclusão? | Os benefícios superam os custos. | Deve-se abandonar. | Nada muda. | O sono é inútil. | Beneficios mayores.
@@
@R O povoado perdera seu último bar e, com ele, um ponto de encontro. Os moradores criaram uma associação, compraram o imóvel e o administram juntos. O bar dá um lucro modesto, mas a presidente insiste: o essencial não é financeiro, é preservar um lugar onde as pessoas ainda se cruzam.
Q | O que o povoado perdera? | seu último bar | a escola | a prefeitura | a estação | Último bar.
Q | Como foi salvo? | por uma associação de moradores | pela prefeitura | por uma empresa | por uma doação | Asociación vecinal.
Q | O que diz a presidente? | O essencial não é financeiro. | O lucro é o objetivo. | O bar vai fechar. | É preciso vender. | Lo importante no es económico.
Q | « Se cruzar » significa aqui | se encontrar | brigar | se perder | partir | Cruzarse.
Q | O bar gera | um lucro modesto | grandes prejuízos | grandes lucros | nada | Modesto beneficio.
@@
@R A pesquisadora explica que o desaparecimento das abelhas não se deve apenas aos agrotóxicos. A falta de flores variadas, causada pelas monoculturas, priva-as de uma alimentação equilibrada. Os agricultores que criam faixas floridas registram produtividade maior, pois a polinização é feita por mais insetos.
Q | Que outra ameaça atinge as abelhas? | a falta de flores variadas | excesso de flores | a chuva | o mel | Falta de diversidad.
Q | O que produzem as monoculturas? | uma alimentação desequilibrada | uma alimentação variada | mel | flores | Dieta pobre.
Q | O que registram os agricultores? | produtividade maior | produtividade menor | mais trabalho | menos abelhas | Mayor rendimiento.
Q | Por que a produtividade aumenta? | Mais insetos polinizam. | Chove mais. | Há mais adubo. | Os campos são maiores. | Polinización.
Q | « Priva » significa | tira algo de alguém | dá | vende | mede | Privar.
@@
@R O julgamento terminou sem grandes surpresas. Na audiência, cada testemunha atenuou seu depoimento, até que a acusação lembrasse um edifício sem pilares. A sentença não surpreendeu ninguém, nem mesmo o réu, que passara a última sessão fitando o teto.
Q | Como terminou o julgamento? | sem grandes surpresas | de forma espetacular | com uma confissão | com um tumulto | Sin sobresaltos.
Q | O que fazia cada testemunha? | atenuava o depoimento | o agravava | fugia | gritava | Matizaba.
Q | A imagem do edifício sugere que a acusação | perdia seus alicerces | era sólida | custava caro | era nova | Perdía apoyo.
Q | O comportamento do réu sugere que ele | esperava a sentença | estava furioso | estava surpreso | era inocente | Esperaba el resultado.
Q | « Sentença » indica | a decisão do tribunal | um discurso | uma lei | uma defesa | Sentencia.
@@
@R O urbanista entende que a cidade se parece menos com uma máquina do que com um ecossistema: suas partes se adaptam, competem e cooperam sem que nenhum plano o tenha previsto. Os bairros mais bem-sucedidos seriam os pouco planejados, que deixam aos moradores espaço para improvisar.
Q | Com o que ele compara a cidade? | com um ecossistema | com uma máquina | com um livro | com um museu | Ecosistema.
Q | Que bairros dão mais certo? | os pouco planejados | os muito planejados | os mais antigos | os mais novos | Poco planificados.
Q | O que se deixa aos moradores? | espaço para improvisar | nada | ordens | planos | Improvisar.
Q | « Adaptar-se » significa | ajustar-se a uma situação | partir | desaparecer | mandar | Adaptarse.
Q | A tese principal é que a cidade | não se reduz a um plano | é uma máquina | é previsível | é inútil | Más ecosistema.
@@
@R Com o streaming, a descoberta musical passa hoje por algoritmos. Os defensores veem nisso uma democratização; os críticos, um confinamento nos próprios gostos. Um estudo recente mostra que quem segue listas personalizadas explora bem menos gêneros do que quem pesquisa livremente.
Q | Como se dá a descoberta musical? | por algoritmos | pelo rádio | por críticos | por shows | Algoritmos.
Q | O que criticam os detratores? | um confinamento nos próprios gostos | o custo | a falta de acesso | a qualidade | Encierro en gustos.
Q | O que mostra o estudo? | Quem segue listas explora menos gêneros. | Todos exploram mais. | O streaming é grátis. | O rádio cresce. | Menos géneros.
Q | « Detratores » significa | opositores | fãs | músicos | patrões | Detractores.
Q | O texto apresenta | os dois pontos de vista | um só ponto de vista | uma propaganda | um poema | Equilibrado.
@@
@R O diretor do jornal defende o jornalismo de formato longo. Contra a urgência permanente, quer oferecer reportagens aprofundadas, mesmo que publique com menos frequência. Os anunciantes, diz ele, são sensíveis a isso: leitor atento é leitor fiel. Os críticos rebatem que a aposta só se sustenta para poucos títulos amparados por mecenas.
Q | O que defende o diretor? | o jornalismo de formato longo | a informação instantânea | a publicidade | a gratuidade | Formato largo.
Q | O que quer evitar? | a urgência permanente | os anunciantes | as reportagens | os leitores | Urgencia.
Q | Que argumento apresentam os críticos? | A aposta só se sustenta para poucos títulos. | Custa pouco. | Agrada a todos. | É ilegal. | Pocos títulos.
Q | « Rebater » significa | responder contestando | ignorar | bater de novo | escrever | Replicar.
Q | Quem aprecia esse formato, segundo ele? | os anunciantes | os jovens | os concorrentes | os ministros | Anunciantes.
@@
@R A exposição dedicada aos pequenos objetos do cotidiano convida o visitante a olhar de outro modo o que já não vê. Uma colher, um botão, uma chave: cada um conta uma época, um ofício, um modo de viver. O curador esclarece que não quis nem nostalgia nem erudição, mas atenção.
