# gramatica
Q | 彼は周囲の反対を＿＿、会社を辞めて独立した。 | よそに | ものの | かたわら | ならではの | 〜をよそに = sin hacer caso de (反対をよそに).
Q | この仕事は経験＿＿できない。 | なしには | ずして | ながらも | ならでは | 〜なしには〜ない = sin.
Q | 彼女の助けなくして、成功は＿＿。 | ありえなかった | あるにすぎなかった | あったのみだ | あるまい限り | 〜なくして = sin.
Q | 子供＿＿、そんな失礼なことをしてはいけない。 | といえども | ながらも | にひきかえ | ずくめ | 〜といえども = incluso siendo.
Q | この問題は、専門家＿＿解決できないだろう。 | をもってしても | をよそに | にひきかえ | ながら | 〜をもってしても = ni con.
Q | 実情＿＿、対策を考える必要がある。 | に即して | にひきかえ | をよそに | かたわら | 〜に即して = de acuerdo con la realidad.
Q | 彼の言い訳は聞くに＿＿ほどひどかった。 | たえない | たえる | たらない | あたる | 聞くにたえない = insoportable de oír.
Q | 教師＿＿行為だ。 | にあるまじき | にひとしい | かたわら | ならではの | 〜にあるまじき = impropio de.
Q | 試合に負けて悔しくて＿＿。 | ならない | かねない | かねる | 兼ねる | 〜てならない = no poder evitar.
Q | 彼は約束を破り＿＿。 | かねない | かねる | ようがない | にたえない | 〜かねない = podría muy bien (masu-stem).
Q | その要求には応じ＿＿。 | かねます | かねるです | ようです | にたえます | 〜かねる = no poder (cortés: かねます).
Q | 彼の気持ちは理解＿＿。 | しがたい | しつつある | しながら | しかけない | 〜がたい = difícil de.
Q | 責任者として、この問題を放置する＿＿にはいかない。 | わけ | もの | こと | ほど | 〜わけにはいかない = no puedo.
Q | ここまで来た＿＿、あとには引けない。 | からには | ものの | ながら | わりに | 〜からには = ya que.
Q | 試験に合格するため、彼は寝る間も＿＿勉強した。 | 惜しんで | 惜しませ | 惜しくて | 惜しく | 寝る間も惜しんで = sin escatimar el sueño.
Q | あまりの忙しさに、休む＿＿もなかった。 | 暇 | 場 | 時間の | 余地の | 休む暇もない = no hay tiempo ni de descansar.
Q | 彼は勝つためには手段を＿＿人だ。 | 選ばない | 選べない | 選ぶべき | 選ばれる | 手段を選ばない = sin escrúpulos.
Q | 彼女は彼の言葉に耳を＿＿。 | 貸さなかった | かたなかった | 疑わなかった | 立てなかった | 耳を貸さない = no hacer caso.
Q | 息子の将来を＿＿、彼は毎日心配している。 | 案じて | 慕って | 頼って | 疑って | 案じる = preocuparse por.
Q | 二人は長年の＿＿を乗り越えて結婚した。 | 確執 | 確認 | 確保 | 確立 | 確執 = enfrentamiento/rencor.
Q | 彼は事故で＿＿な怪我を負った。 | 深刻 | 深遠 | 深夜 | 深呼吸 | 深刻な怪我 = grave.
Q | その計画は実現の＿＿が立たない。 | 目途 | 目安 | 目印 | 目標 | 目途が立つ = tener perspectivas.
Q | 彼は新しい環境に＿＿順応した。 | 速やかに | 著しく | 甚だしく | 厳しく | 速やかに = con rapidez.
Q | 大臣の発言が＿＿を醸した。 | 物議 | 物価 | 物理 | 物騒 | 物議を醸す = causar polémica.
Q | 両国の関係は＿＿している。 | 悪化 | 悪用 | 悪徳 | 悪循環 | 関係が悪化する = empeorar.
Q | 彼はその場の空気を＿＿ようなことを言った。 | 凍りつかせる | 燃やす | 開ける | 溶かす | 空気を凍りつかせる.
Q | 景気の＿＿が見えてきた。 | 兆し | 印 | 跡 | 型 | 兆しが見える = señales.
Q | 彼女の主張は＿＿を得ている。 | 要領 | 要因 | 要素 | 要求 | 要領を得る = ser claro y preciso.
Q | 事態は＿＿を極めている。 | 混乱 | 混合 | 混雑 | 混入 | 混乱を極める = extremadamente caótico.
Q | 彼の話はどうも＿＿臭い。 | 胡散 | 疑問 | 秘密 | 事実 | 胡散臭い = sospechoso.
Q | 二人の意見は＿＿食い違っている。 | 真っ向から | 一向に | 何とも | 頻りに | 真っ向から = frontalmente.
Q | 彼女は＿＿笑顔で応対した。 | 屈託のない | 抜け目のない | 気の置けない | 間の悪い | 屈託のない = sin preocupaciones.
Q | 彼は＿＿計画を立てた。 | 綿密な | 粗末な | 曖昧な | 中途半端な | 綿密な = minucioso.
Q | 彼の意見に＿＿する人は少なくない。 | 同調 | 同居 | 同時 | 同封 | 同調する = alinearse con.
Q | 環境問題への意識が＿＿高まっている。 | 徐々に | 直ちに | 咄嗟に | 突如 | 徐々に = poco a poco.
Q | 彼はその仕事を＿＿引き受けた。 | 快く | 厚く | 賢く | 甘く | 快く引き受ける = aceptar de buen grado.
Q | 大会に向けて選手たちは＿＿練習している。 | ひたむきに | 何気なく | 曖昧に | 呑気に | ひたむきに = con dedicación.
Q | 彼女の親切に＿＿感動した。 | いたく | ざっと | ふらふら | ぼんやり | いたく = profundamente.
Q | 彼女は上司の顔色を＿＿。 | うかがう | ひそめる | もてなす | あらためる | 顔色をうかがう = observar el humor.
Q | 彼はその噂を＿＿にした。 | 耳 | 目 | 口 | 鼻 | 耳にする = oír.
Q | 実力の差は＿＿だった。 | 歴然 | 突然 | 全然 | 依然 | 歴然 = evidente.
Q | 彼女は＿＿しい服装で会場に現れた。 | 華々 | 麗々 | 悠々 | 淡々 | 華々しい = brillante.
Q | 彼は一日中＿＿と過ごした。 | ごろごろ | ぴかぴか | ばたばた | ぎらぎら | ごろごろ = holgazanear.
Q | 彼女の話は＿＿しく聞こえた。 | 白々 | 生き生き | いそいそ | のろのろ | 白々しい = descarado/fingido.
Q | 台風で電車が＿＿止まった。 | 全面的に | 大々的に | 何気なく | 一概に | 全面的に = por completo.
Q | 彼の提案は＿＿却下された。 | あっさり | すっきり | こっそり | ぽっかり | あっさり = fácilmente.
Q | 一年の＿＿を祈る。 | 無事 | 無理 | 無駄 | 無数 | 無事を祈る.
Q | ｢＿＿｣の意味に最も近いのは？　彼は寛大だ。 | 心が広い | 気が短い | 気が重い | 口が堅い | 寛大 ≈ 心が広い.
Q | ｢＿＿｣の意味に最も近いのは？　その説明は曖昧だ。 | はっきりしない | 詳しい | 丁寧だ | 短い | 曖昧 = impreciso.
Q | ｢＿＿｣の意味に最も近いのは？　彼は頑固だ。 | 意見を変えない | 親切だ | 忙しい | 弱い | 頑固 = terco.
Q | ｢＿＿｣の意味に最も近いのは？　その発言は軽率だ。 | よく考えていない | 立派だ | 丁寧だ | 大胆だ | 軽率 = imprudente.
Q | ｢＿＿｣の意味に最も近いのは？　彼女は聡明だ。 | 頭がいい | 元気だ | 親切だ | 美しい | 聡明 = inteligente.
Q | ｢＿＿｣の意味に最も近いのは？　彼は勤勉だ。 | よく働く | よく休む | よく食べる | よく話す | 勤勉 = diligente.
Q | ｢＿＿｣の意味に最も近いのは？　結果は歴然としている。 | はっきりしている | 変わりやすい | 不明だ | 小さい | 歴然 = claro.
Q | ｢＿＿｣の意味に最も近いのは？　その計画は無謀だ。 | 考えが足りず危険だ | 慎重だ | 簡単だ | 安全だ | 無謀 = temerario.
Q | ｢＿＿｣の意味に最も近いのは？　彼は寡黙だ。 | 口数が少ない | 口が悪い | 話が長い | 声が大きい | 寡黙 = callado.
Q | ｢＿＿｣の意味に最も近いのは？　その意見には賛同しかねる。 | 賛成できない | 反対する | 賛成する | 無視する | 賛同しかねる = no poder estar de acuerdo.
Q | 四字熟語: 彼は＿＿の人物だ。 (誰にでも愛想よくする) | 八方美人 | 十人十色 | 一石二鳥 | 七転八倒 | 八方美人 = complaciente con todos.
Q | 四字熟語: 二つの利益が同時に得られること。 | 一石二鳥 | 一朝一夕 | 一進一退 | 一期一会 | 一石二鳥 = matar dos pájaros.
Q | 四字熟語: 少しずつ良くなったり悪くなったりすること。 | 一進一退 | 一心不乱 | 一部始終 | 一目瞭然 | 一進一退 = altibajos.
Q | 四字熟語: 一目見てすぐ分かること。 | 一目瞭然 | 一朝一夕 | 一挙両得 | 一喜一憂 | 一目瞭然 = evidente a primera vista.
Q | 四字熟語: 状況によって喜んだり心配したりすること。 | 一喜一憂 | 一日千秋 | 一石二鳥 | 一部始終 | 一喜一憂 = alternar alegría y preocupación.
Q | 四字熟語: 人によって考え方や好みが違うこと。 | 十人十色 | 二束三文 | 三日坊主 | 四苦八苦 | 十人十色 = cada persona es distinta.
Q | 四字熟語: 非常に苦労すること。 | 四苦八苦 | 十人十色 | 二束三文 | 三寒四温 | 四苦八苦 = pasar apuros.
Q | 四字熟語: 何事も長続きしないこと。 | 三日坊主 | 千差万別 | 千載一遇 | 大同小異 | 三日坊主 = falta de constancia.
Q | 四字熟語: めったにない絶好の機会。 | 千載一遇 | 千差万別 | 大同小異 | 五里霧中 | 千載一遇 = oportunidad única.
Q | 四字熟語: 先が全く見通せないこと。 | 五里霧中 | 千載一遇 | 大同小異 | 電光石火 | 五里霧中 = a ciegas.
Q | 慣用句: 彼は＿＿が広い。 (知り合いが多い) | 顔 | 手 | 足 | 腹 | 顔が広い = conocer a mucha gente.
Q | 慣用句: 彼は＿＿が堅い。 (秘密を守る) | 口 | 手 | 足 | 頭 | 口が堅い = discreto.
Q | 慣用句: 彼は＿＿が軽い。 (すぐ話してしまう) | 口 | 頭 | 足 | 腰 | 口が軽い = indiscreto.
Q | 慣用句: 忙しくて＿＿も借りたいほどだ。 | 猫の手 | 犬の足 | 鳥の羽 | 馬の耳 | 猫の手も借りたい = necesitar ayuda de cualquiera.
Q | 慣用句: 彼女は＿＿が高い。 (誇りが高い) | 鼻 | 目 | 耳 | 手 | 鼻が高い = estar orgulloso.
Q | 慣用句: あの人とは＿＿が合わない。 | 反り | 首 | 腕 | 肩 | 反りが合わない = no congeniar.
Q | 慣用句: 彼の話は＿＿に落ちない。 | 腑 | 手 | 足 | 背 | 腑に落ちない = no convencer.
Q | 慣用句: 大切なことを＿＿に銘じる。 | 肝 | 胸 | 鼻 | 首 | 肝に銘じる = grabarse en la mente.
Q | 慣用句: 彼は彼女に＿＿が上がらない。 | 頭 | 手 | 足 | 腰 | 頭が上がらない = no poder oponerse.
Q | 慣用句: 彼の努力が＿＿を結んだ。 | 実 | 花 | 葉 | 根 | 実を結ぶ = dar frutos.
Q | 慣用句: 試験まであと少しで＿＿がない。 | 余裕 | 用事 | 手間 | 対策 | 余裕がない = no tener margen.
Q | 慣用句: 彼女は＿＿を巻くほど驚いた。 | 舌 | 頭 | 手 | 鼻 | 舌を巻く = quedarse asombrado.
Q | 慣用句: 我慢の＿＿が切れた。 | 緒 | 糸 | 縄 | 綱 | 堪忍袋の緒が切れる.
Q | 慣用句: 事態は＿＿を得ない状況だ。 | やむ | 仕方 | 余儀 | 仕様 | やむを得ない = inevitable.
Q | 読み方: ｢概念｣ | がいねん | かいねん | きがい | がいわく | 概念 = がいねん.
Q | 読み方: ｢遂行｣ | すいこう | つうこう | すいこ | ついこう | 遂行 = すいこう.
Q | 読み方: ｢斡旋｣ | あっせん | かんせん | あくせん | かんぜん | 斡旋 = あっせん.
Q | 読み方: ｢脆弱｣ | ぜいじゃく | きじゃく | せいじゃく | ぜいけい | 脆弱 = ぜいじゃく.
Q | 読み方: ｢顕著｣ | けんちょ | げんちょ | けんしょ | けんちゃく | 顕著 = けんちょ.
Q | 読み方: ｢凡庸｣ | ぼんよう | はんよう | ぼんゆう | ばんよう | 凡庸 = ぼんよう.
Q | 読み方: ｢懸念｣ | けねん | けんねん | かんねん | けんぜん | 懸念 = けねん.
Q | 読み方: ｢貢献｣ | こうけん | こうげん | くけん | こうかん | 貢献 = こうけん.
Q | 読み方: ｢紛争｣ | ふんそう | ぶんそう | ふんじょう | ぶんじょう | 紛争 = ふんそう.
Q | 読み方: ｢曖昧｣ | あいまい | あいみ | おいまい | あいめ | 曖昧 = あいまい.
Q | 読み方: ｢躊躇｣ | ちゅうちょ | しゅうしゅ | ちゅうしゅ | ちゅうじょ | 躊躇 = ちゅうちょ.
Q | 読み方: ｢概要｣ | がいよう | かいよう | がいゆう | きよう | 概要 = がいよう.
Q | 読み方: ｢頻繁｣ | ひんぱん | ひんばん | ひんはん | びんぱん | 頻繁 = ひんぱん.
Q | 読み方: ｢傾向｣ | けいこう | けいごう | きょうこう | けいく | 傾向 = けいこう.
Q | 読み方: ｢趣旨｣ | しゅし | しゅうし | しゅち | じゅし | 趣旨 = しゅし.
Q | 読み方: ｢施設｣ | しせつ | せせつ | しせち | しさつ | 施設 = しせつ.
Q | 読み方: ｢慎重｣ | しんちょう | じんちょう | しんじゅう | しんちゅう | 慎重 = しんちょう.
Q | 読み方: ｢把握｣ | はあく | ひあく | はわく | はにぎ | 把握 = はあく.
Q | 読み方: ｢概ね｣ | おおむね | おおね | がいね | おおよね | 概ね = おおむね.
Q | 読み方: ｢著しい｣ | いちじるしい | いちしるしい | いちじろしい | あらわしい | 著しい = いちじるしい.
Q | 最近は環境問題への関心が高まり＿＿。 | つつある | かねない | ずにいる | ざるを得ない | 〜つつある = estar en proceso de.
Q | 上司の命令とあれば、従わ＿＿。 | ざるを得ない | かねない | ずにはすまない | ならない | 〜ざるを得ない = no tener más remedio que.
Q | 彼はその話を聞いて、驚か＿＿。 | ずにはいられなかった | ざるを得なかった | かねなかった | にたえなかった | 〜ずにはいられない = no poder evitar.
Q | 日本＿＿、世界中でこの問題は深刻だ。 | に限らず | ならではの | をよそに | といえども | 〜に限らず = no solo en.
Q | 会長＿＿、役員全員が出席した。 | をはじめ | をよそに | に先立ち | にひきかえ | 〜をはじめ = comenzando por.
Q | 式典の開始＿＿、国歌が演奏された。 | に先立ち | に伴い | にかけて | をめぐり | 〜に先立ち = antes de.
Q | この地域は三日＿＿雨が降り続いた。 | にわたって | にかけて | をめぐって | にとって | 〜にわたって = a lo largo de.
Q | 留学をきっかけ＿＿、彼は英語に興味を持った。 | に | で | を | と | 〜をきっかけに/〜がきっかけで.
Q | 失敗して＿＿、彼のありがたみが分かった。 | はじめて | ばかり | だけ | ながら | 〜てはじめて = solo después de.
Q | 帰ったか＿＿、また出かけてしまった。 | と思うと | ものの | ばかりに | ながら | 〜かと思うと = apenas... cuando.
Q | 結局、彼には会え＿＿、帰国してしまった。 | ずじまいで | ずにはおかず | ないうちに | ざるを得ず | 〜ずじまい = sin llegar a.
Q | 十年＿＿に故郷に帰った。 | ぶり | ずくめ | だらけ | まみれ | 十年ぶり = tras diez años.
Q | 彼の部屋はほこり＿＿だ。 | だらけ | ずくめ | ぶり | ばかり | 〜だらけ = lleno de (algo negativo).
Q | 彼は約束＿＿、事故で来られなかった。 | していたものの | したことから | しているように | しがたく | 〜ものの = aunque.
Q | この薬は飲みやすい＿＿、効果もある。 | し | が | ので | のに | 列挙: 〜し、〜.
Q | 彼女は人＿＿ずに、自分の意見を言う。 | の目を気にせ | の目を気にして | の目を気にする | の目を気にした | 〜ずに: 気にせずに.
Q | そんな条件では誰も引き受け＿＿。 | ないだろう | かねろう | ざるを得ない | かねない | 引き受けないだろう.
Q | 彼はその場を＿＿ように立ち去った。 | 逃げるかの | 逃げるだけの | 逃げるばかりの | 逃げるつもりの | 〜かのように = como si.
Q | 彼は何も知らない＿＿に振る舞った。 | かのよう | まいが | わけが | ものを | 〜かのように.
Q | 雨が降ろう＿＿、試合は行われる。 | が | ば | と | しか | 〜が〜まいが = llueva o no.
Q | 成功しよう＿＿失敗しよう＿＿、挑戦することが大切だ。 | が/が | ば/ば | に/に | を/を | 〜(よ)うが〜(よ)うが = ya sea que.
Q | 彼の作品は、日本＿＿、海外でも高く評価されている。 | のみならず | ならではの | ばかりに | にひきかえ | 〜のみならず = no solo.
Q | 天気予報＿＿、明日は雨だそうだ。 | によると | にとって | に対して | について | 〜によると = según.
Q | この問題＿＿、皆さんはどう思いますか。 | をめぐって | にひきかえ | をよそに | ながらも | 〜をめぐって = en torno a.
Q | 彼は勉強＿＿、スポーツも得意だ。 | ばかりでなく | というより | ならでは | どころか | 〜ばかりでなく = no solo... sino también.
Q | 努力した＿＿、結果は出なかった。 | にもかかわらず | からこそ | あまり | とおり | 〜にもかかわらず = a pesar de.
Q | 弁護士＿＿、法律の知識は必須だ。 | たるもの | ならでは | にひきかえ | をよそに | 〜たるもの = quien es (profesión) debe.
Q | 彼女の実力は、プロ＿＿の腕前だ。 | 顔負け | 抜き | 込み | 並み | プロ顔負け = supera a un profesional.
Q | 彼は疲れ果て＿＿、その場に座り込んだ。 | て | た | ず | ぬ | 疲れ果てて = agotado y...
# reading
@R 週四日勤務を導入する企業が増えている。賛成派は、十分に休息を取った従業員は仕事に集中できると主張する。一方、店舗や病院のように決まった時間に営業しなければならない職場では、実施が難しいという声もある。試験的な導入では生産性が維持されたが、長期的な効果はまだはっきりしない。
Q | この文章の内容と合っているのはどれか。 | 週四日勤務はどの職場にも簡単に導入できるわけではない。 | 週四日勤務は失敗に終わった。 | すべての企業が導入している。 | 生産性が大きく下がった。 | 決まった時間に営業する職場では難しい。
Q | 実施が難しいとされる職場はどこか。 | 店舗や病院など決まった時間に営業する職場 | 事務所 | 学校 | インターネット企業 | 店舗・病院。
Q | 試験的な導入の結果はどうだったか。 | 生産性が維持された。 | 費用が大幅に増えた。 | 従業員が辞めた。 | 結果は出なかった。 | 生産性維持。
Q | 「導入する」に最も近い意味は。 | 取り入れる | 取り除く | 先送りする | 分ける | 導入 = 取り入れる.
Q | 長期的な効果について、筆者はどう述べているか。 | まだはっきりしない | すでに証明された | 悪いと分かった | 重要ではない | 長期効果は不明.
@@
@R 美術館は毎月第一日曜日を無料開放することにした。その結果、来館者は二倍に増えたが、長い行列や展示室の傷みといった問題も生じた。館長はこの試みを「半分の成功」と評価する。客層は広がったものの、時間がない人や美術館に馴染みのない人までは呼び込めなかったからだ。
Q | 無料開放の結果として正しいものは。 | 来館者が二倍に増えた。 | 美術館が閉館した。 | 来館者が減った。 | 入館料が上がった。 | 来館者倍増.
Q | 生じた問題は何か。 | 長い行列と展示室の傷み | 盗難 | 騒音のみ | 工事 | 行列・傷み.
Q | 館長はこの試みをどう評価しているか。 | 半分の成功 | 完全な失敗 | 大成功 | 無意味 | 半分の成功.
Q | 呼び込めなかったのはどんな人か。 | 時間がない人や馴染みのない人 | 外国人 | 子ども | 学生 | 無縁の人.
Q | 「馴染みのない」の意味は。 | 親しんでいない | 好きな | 詳しい | 忙しい | 馴染み = familiaridad.
@@
@R その作家は今年、日記と取材記録の中間のような独特な本を出した。家族の記憶をたどりながらも、決して確定した真実を押しつけない。結末がないことを惜しむ批評家もいれば、結論を出さない姿勢にまれに見る誠実さを見出す批評家もいる。
Q | この本の形式はどのようなものか。 | 日記と取材記録の中間 | 推理小説 | 詩集 | 伝記 | 混合形式.
Q | 作家は家族の記憶をどう扱っているか。 | たどりつつ結論を押しつけない | 批判する | 無視する | 賛美する | 押しつけない.
Q | 一部の批評家が惜しむのは何か。 | 結末がないこと | 長さ | 値段 | 文体 | 結末なし.
Q | 別の批評家が見出すものは何か。 | まれに見る誠実さ | 怠慢 | 欠点 | 不器用さ | 誠実さ.
Q | 「結論を出す」の意味は。 | 判断をまとめて示す | 家を建てる | 手紙を書く | 忘れる | 結論を出す.
@@
@R 何でも数値で測ろうとすると、数えられないものを見落としがちだ。業績指標は組織を導くのに有用だが、時に行動そのものを左右する。サービスの質より数字を管理するようになるのだ。そこで一部の社会学者は、定性的な情報を併用することを勧めている。
Q | この文章が指摘する危険は何か。 | 数えられないものを見落とすこと | 何も測らないこと | 費用がかかること | 採用を誤ること | 数値の限界.
Q | 業績指標が時に及ぼす影響は。 | 行動を左右する | 消える | 良くなる | 安くなる | 行動を左右.
Q | 社会学者が勧めるのは何か。 | 定性的な情報を併用すること | 数字をなくすこと | 採用すること | 解雇すること | 併用.
Q | 「併用する」の意味は。 | 一緒に用いる | 別々に用いる | やめる | 先送りする | 併用 = usar juntos.
Q | 筆者の態度は。 | 批判的だが均衡が取れている | 熱狂的 | 無関心 | ユーモラス | 批判的・均衡.
@@
@R 都市では屋上緑化が奨励されている。夏の暑さを和らげ、雨水をため、虫のすみかにもなる。しかし、費用と古い建物にかかる負担が普及を妨げている。補助金で後押しする自治体は、義務づけるだけの自治体より成果が上がっている。
Q | 屋上緑化の利点は何か。 | 夏の暑さを和らげる | 騒音が増える | 空間が減る | 費用が少ない | 暑さ緩和.
Q | 普及を妨げているのは何か。 | 費用と古い建物への負担 | 虫の不足 | 雨 | 法律 | 費用・負担.
Q | 成果が上がっているのはどんな自治体か。 | 補助金で後押しする自治体 | 義務づけるだけの自治体 | 禁止する自治体 | 無視する自治体 | 補助金.
Q | 「すみか」の意味は。 | 住む場所 | 市場 | 学校 | 食堂 | すみか = hábitat.
Q | この文章の性格は。 | 情報を伝える | 議論する | 笑わせる | 物語る | 説明文.
@@
@R 二十年にわたり外国の作家を紹介してきた翻訳家は、翻訳とは単語を別の単語に置き換えることではないと言う。作品の声やリズム、沈黙までをよみがえらせる仕事だというのだ。そのためには時に文字を裏切ってでも精神を守らねばならず、この妥協を原理主義者はなかなか許さない。
Q | 翻訳家によれば、翻訳とは何か。 | 作品の声をよみがえらせること | 単語の置き換え | 要約 | 校正 | 声の再現.
Q | 時に必要なことは何か。 | 文字を裏切って精神を守ること | 直訳 | 注釈をつけること | 文章を消すこと | 文字を裏切る.
Q | この妥協を許さないのは誰か。 | 原理主義者 | 作家 | 読者 | 編集者 | 原理主義者.
Q | 翻訳家は何年この仕事を続けているか。 | 二十年 | 二年 | 十年 | 五年 | 二十年.
Q | 「許さない」はここでどんな意味か。 | 批判し続ける | 喜ぶ | 知らない | 忘れる | 批判が続く.
@@
@R この農家は十年前に有機栽培へ転換した。当初は収穫量が減り、費用が増えて苦しかった。今は品質の良さから、直売でより高く売れるため、賭けに勝ったと言う。ただ、協同組合の支えがなかったら、おそらく諦めていたと認める。
Q | いつ有機栽培に転換したか。 | 十年前 | 昨年 | 二年前 | 二十年前 | 十年前.
Q | 当初の状況はどうだったか。 | 苦しかった | 楽だった | 儲かった | 早かった | 苦しい.
Q | なぜ賭けに勝ったと言うのか。 | 直売で高く売れるから | 土地が増えたから | たくさん作れるから | 仕事が減ったから | 直売.
Q | 協同組合がなかったらどうなっていたか。 | 諦めていた | 一人で成功した | 土地を売った | 移住した | 諦めた.
Q | 「直売」の意味は。 | 仲介なしで直接売ること | 大量に売ること | 安く売ること | 海外に売ること | 直売 = venta directa.
@@
@R 内部告発者をよりよく保護する法案がまとまった。匿名性を保証し、あらゆる報復措置を禁じる。市民団体は前進と歓迎する一方、まず上司を通す手続きには不満を示す。身元が明らかになるのを恐れる人を、かえってためらわせかねないからだ。
Q | この法案の目的は何か。 | 内部告発者を保護する | 処罰する | 給料を払う | 教育する | 保護.
Q | 法案が保証するものは何か。 | 匿名性 | 給料 | 終身雇用 | 賞金 | 匿名.
Q | 市民団体が不満に思うのは何か。 | まず上司を通す手続き | 法がないこと | 期間 | 費用 | 上司経由.
Q | なぜその手続きが問題なのか。 | 身元が明らかになるおそれがある。 | 高い。 | 長い。 | 秘密だ。 | 身元露見.
Q | 「報復」の意味は。 | 仕返し | 報酬 | 助言 | 報告 | 報復 = represalia.
@@
@R 十代の睡眠不足は慢性的だ。一部の高校のように授業開始を一時間遅らせると、出席率が上がり、交通事故が減る。反対派は時間割の混乱を心配するが、研究者はその不便さは得られる利益に比べれば小さいとみている。
Q | 授業開始を遅らせると良くなるのは何か。 | 出席率と交通安全 | 成績のみ | 給料 | 休み | 出席・安全.
Q | 反対派が心配するのは何か。 | 時間割の混乱 | 疲れ | 費用 | 騒音 | 時間割.
Q | 研究者はその不便さをどうみているか。 | 小さい | 非常に大きい | 受け入れられない | ない | 小さい.
Q | 「慢性的」の意味は。 | 長く続いている | 突然の | まれな | 新しい | 慢性 = crónico.
Q | この文章の結論に近いのは。 | 利益のほうが大きい | やめるべきだ | 変化はない | 睡眠は不要だ | 利益>不便.
@@
@R その町は最後の喫茶店を失い、人々が集まる場所も失った。住民は組合を作り、建物を買い取って共同で運営している。店の利益は小さいが、会長は大事なのは金ではなく、人と顔を合わせられる場を守ることだと強調する。
Q | 町が失ったのは何か。 | 最後の喫茶店 | 学校 | 役所 | 駅 | 喫茶店.
Q | どのようにして店を守ったか。 | 住民組合が買い取って | 町が買って | 企業が買って | 寄付で | 住民組合.
Q | 会長が強調したことは何か。 | 金より人が集まる場 | 利益 | 閉店 | 売却 | 場の保存.
Q | 「顔を合わせる」の意味は。 | 会う | 喧嘩する | 失う | 去る | 顔を合わせる = encontrarse.
Q | 店の利益はどうか。 | 小さい | 大赤字 | 大黒字 | ない | 小さな利益.
@@
@R ある研究者は、ミツバチの減少は農薬だけが原因ではないと説明する。単一作物の栽培で多様な花が減り、バランスのよい餌が得にくくなったというのだ。花畑を設けた農家は、より多くの虫が受粉してくれるため収穫が増えたと報告している。
Q | ミツバチを脅かす別の要因は何か。 | 多様な花の不足 | 花の多すぎ | 雨 | 蜂蜜 | 花の不足.
Q | 単一作物の栽培がもたらすものは。 | 偏った餌 | 多様な餌 | 蜂蜜の増加 | 花の増加 | 偏り.
Q | 花畑を設けた農家はどうなったか。 | 収穫が増えた | 収穫が減った | 仕事が増えた | 蜂が減った | 収穫増.
Q | 収穫が増えた理由は。 | 虫が受粉するから | 雨が降ったから | 肥料が多いから | 畑が広がったから | 受粉.
Q | 「受粉」の意味は。 | 花粉が付いて実を結ぶこと | 水分 | 販売 | 測定 | 受粉 = polinización.
@@
