# gramatica
Q | Mi vidis lin ＿＿ la stratangulo. | ĉe | al | per | pro | Loko sen movo: ĉe (ĉe la stratangulo).
Q | ＿＿ vi ploras? | Kial | Kiel | Kiam | Kie | Kaŭzo: kial.
Q | ＿＿ vi naskiĝis? | Kiam | Kie | Kiel | Kiu | Temp: kiam.
Q | ＿＿ estas via nomo? | Kio | Kiu | Kia | Kiom | Demando pri identeco: kio.
Q | Mi havas ＿＿ libron. | ian | kian | kiam | kiun | Nedefinita: ian libron.
Q | ＿＿ ajn venos, li estos bonvena. | Kiu | Kiun | Kio | Kiom | Kiu ajn = iu ajn.
Q | Li ne ＿＿ trinki vinon. | volas | volo | volu | volus | Volas + infinitivo.
Q | Mi ne ＿＿ ke li estas malsana. | sciis | scias ke | scio | scii | Preterito.
Q | Se vi ＿＿ ĉiam, vi ne malsaniĝus. | dormus | dormas | dormos | dormis | Se + -us.
Q | Estas la lasta fojo ＿＿ mi helpas vin. | kiam | kie | kiu | kiel | Rilata adverbo: kiam.
Q | Mi ne scias, ＿＿ li loĝas. | kie | kien | kiel | kiam | Loko sen movo: kie.
Q | Mi ne scias, ＿＿ li iras. | kien | kie | kiu | kiam | Direkto: kien.
Q | Kiun ＿＿ vi vidis? | homon | homo | homoj | hom | Objekto.
Q | Post la lernejo ni iris ＿＿ . | hejmen | hejme | hejmo | hejmis | Direkto: hejmen.
Q | La infanoj ludas ＿＿ . | ekstere | eksteren | ekstera | ekstero | Loko: ekstere.
Q | La infanoj kuris ＿＿ . | eksteren | ekstere | ekstera | ekstero | Direkto: eksteren.
Q | Mi ne ＿＿ ion pri tio. | scias | scii | sciu | scio | Konjugacio.
Q | Nenio estas pli ＿＿ ol la libereco. | valora | valoro | valore | valori | Adjektivo post estas.
Q | Li ne estas alta, sed ankoraŭ ＿＿ pli alta ol mi. | multe | multaj | multe da | tre multe | Multe pli alta.
Q | Mi havas ＿＿ da tempo. | multe | multa | multaj | multan | Multe da + substantivo.
Q | Ĉu vi havas ＿＿ da mono? | iom | iomaj | iomo | iome de | Iom da mono.
Q | Mi ne havas ＿＿ da mono. | multe | multaj | multa | multo | Multe da.
Q | Li tre ＿＿ la lingvon Esperanto. | ŝatas | ŝato | ŝati | ŝatu | Ŝati + objekto.
Q | La domo estas ne granda, sed ＿＿ . | komforta | komforte | komforto | komforti | Adjektivo post estas.
Q | Li parolas ＿＿ . | rapide | rapida | rapido | rapidan | Adverbo: rapide.
Q | Mi ne vidis lin ＿＿ la lastaj tri tagoj. | dum | de | ĉe | por | Dum + daŭro.
Q | Li ne venis ＿＿ mi atendis lin horon. | kvankam | ĉar | tial | kvazaŭ | Koncesio.
Q | Por ke vi ＿＿ , mi parolos malrapide. | komprenu | komprenas | komprenus | komprenos | Por ke + volitivo.
Q | Li laboras por ＿＿ pli da mono. | gajni | gajno | gajna | gajnu | Por + infinitivo.
Q | Li ne povis ＿＿ sen mi. | fari ĝin | faris | faras | faru | Povi + infinitivo.
Q | Mi ĵus ＿＿ mian laboron. | finis | finas | finos | finus | Ĵus + preterito.
Q | Li ĉiam ＿＿ tro malfrue. | alvenas | alveno | alvenu | alvenus | Ĉiam + prezenco.
Q | ＿＿ frato loĝas en Parizo. | Mia | Mi | Min | Mian de | Posedaj vortoj: mia.
Q | Li diris al mi ke ＿＿ hejmo estas granda. | lia | sia | ĝia | ties | Lia = de li (ne estas la subjekto de "diris").
Q | Ili ĉiuj ＿＿ manĝis. | jam | ankoraŭ ne | neniam | ĉiam | Jam = ne plu atendante.
Q | ＿＿ ne estas facile. | Tio | Ĝi | Ĉi | Ties | Tio = ĉi tiu afero.
Q | Mi volas fari ĝin ＿＿ . | mem | sin | li | ĝi | Mem = persone.
Q | Ĉu vi jam ＿＿ tion? | vidis | vidos | vidu | vidus | Jam + preterito.
Q | Li jam ne ＿＿ pli. | povas | povu | povis | povus | Jam ne + prezenco.
Q | Li ne estas ＿＿ . | ĉi tie | ĉi ties | ĉi kie | ĉi tion | Loko: ĉi tie.
Q | Ĝi estas ＿＿ . | tie | tien | tiel | tiam | Loko: tie.
Q | Bonvolu iri ＿＿ . | tien | tie | tia | tio | Direkto.
Q | Li havas ＿＿ multe da amikoj. | tro | tre | tre da | troa | Tro multe da.
Q | Mi ne volas ĝin ＿＿ . | vidi | vido | vidu | vidus | Volas + infinitivo.
Q | Li estas ＿＿ ol mi. | pli aĝa | pli aĝe | pli aĝo | plej aĝa | Komparo.
Q | Ili estas la ＿＿ knaboj. | plej bonaj | plej bona | plej bone | pli bonaj | Superlativo.
Q | Ĉu vi konas ilin? ＿＿ , mi konas ilin. | Jes | Ne | Tiel | Tio | Jes/ne.
Q | Kion signifas la vorto "malgaja"? | ne gaja | tre gaja | gaja | ne vera | Mal- = malo.
Q | Kion signifas "malamiko"? | persono kiu ne amas | amiko | kunulo | ĉefo | Mal- + amiko.
Q | Kion signifas "edzino"? | ina edzo | infano | patrino | fratino | -in-.
Q | Kion signifas "lernejo"? | loko kie oni lernas | persono kiu lernas | ilo por lerni | la ago lerni | -ej- = loko.
Q | Kion signifas "instruisto"? | persono kiu instruas | loko | ilo | agado | -ist- = profesio.
Q | Kion signifas "libraro"? | kolekto de libroj | libro | librujo | librejo | -ar- = kolekto.
Q | Kion signifas "ŝlosilo"? | ilo por ŝlosi | loko | persono | ago | -il- = ilo.
Q | Kion signifas "legebla"? | kio povas esti legata | kio ne povas | kiu legas | kiu legis | -ebl- = eblo.
Q | Kion signifas "manĝinda"? | inda esti manĝata | ne manĝebla | manĝanta | manĝata | -ind- = inda.
Q | Kion signifas "bonulo"? | bona persono | bona loko | bona ilo | bona ago | -ul- = persono.
Q | Kion signifas "grandeco"? | la stato de esti granda | granda loko | granda persono | granda ago | -ec- = eco.
Q | Kion signifas "domego"? | tre granda domo | malgranda domo | domo de lignoj | domo sen tegmento | -eg- = grandeco.
Q | Kion signifas "dometo"? | malgranda domo | granda domo | ĉambro | fenestro | -et- = malgrandeco.
Q | Kion signifas "rekonstrui"? | konstrui denove | ne konstrui | konstrui malbone | detrui | re- = denove.
Q | Kion signifas "disĵeti"? | ĵeti en ĉiuj direktoj | ĵeti unu | reĵeti | kunĵeti | dis- = disiĝo.
Q | Kion signifas "foriri"? | iri for | reiri | veni | resti | for- = for.
Q | Kion signifas "eklabori"? | komenci labori | fini labori | ĉesi | pli labori | ek- = komenco.
Q | Kion signifas "misuzi"? | uzi malĝuste | uzi bone | ne uzi | reuzi | mis- = malĝuste.
Q | Kion signifas "gepatroj"? | patro kaj patrino | nur patro | nur patrino | gefratoj | ge- = ambaŭ seksoj.
Q | Kion signifas "boparenco"? | parenco per edziĝo | patrino | filo | avo | bo- = parenco per edziĝo.
Q | Kion signifas "fifamo"? | malbona fama | bona fama | granda fama | eta fama | fi- = malaprobo.
Q | La ＿＿ letero estis sendita hieraŭ. (skribi) | skribita | skribanta | skribonta | skribata | -it- = pasiva participo, pasinta.
Q | Li estis ＿＿ leteron, kiam mi envenis. (skribi) | skribanta | skribinta | skribonta | skribita | Estis + -anta = daŭra ago.
Q | Kiam mi alvenis, li jam ＿＿ dormanta. | estis | estas | estos | estus | Estis + -anta.
Q | La libro ＿＿ legata de multaj homoj nun. | estas | estis | estos | estus | Estas + -ata = nun okazanta ago.
Q | La ＿＿ ĉeesto de la prezidanto estos grava. (esti) | estonta | estanta | estinta | estata | -ont- = estonta.
Q | Li faris tion ＿＿ mia scio. | sen | sub | trans | dum | Sen mia scio = sen scii.
Q | ＿＿ kio vi parolas? | Pri | Al | Sen | Ĝis | Pri kio = pri kiu temo.
Q | ＿＿ kies ordono vi agis? | Laŭ | Ĝis | Pri | Dum | Laŭ ordono = konforme.
Q | Li konsideras sin ＿＿ heroo. | heroo | hero | herae | heroa | Predikativo post konsideri: heroo (sen prepozicio).
Q | Mi ne povas ne ＿＿ . | rideti | ridis | ridu | ridas | Ne povi ne + infinitivo.
Q | Ĉu vi scias, ＿＿ li venos morgaŭ? | ĉu | ke | kiel | kial | Ĉu = ĉu-jes/ne subfrazo.
Q | Li diris, ke li ＿＿ venos. | ne | ĉu | ĉio | eĉ | Ne = negacio.
Q | Mi ne volas ĝeni vin; ＿＿ , mi bezonas helpon. | tamen | tial | ĉar | kvazaŭ | Tamen = malgraŭ tio.
Q | La homo, ＿＿ mi parolis, estis lerta. | kun kiu | kiun | kies | kia | Prepozicio + kiu: kun kiu.
Q | La domo, ＿＿ mi loĝas, estas malnova. | en kiu | kiun | kies | kia | Loko: en kiu.
Q | La knabino, pri ＿＿ mi parolis, estas mia filino. | kiu | kiun | kies | kia | Prepozicio + kiu: pri kiu.
Q | Estas malfacile ＿＿ tiun problemon. | solvi | solvo | solvu | solvita | Adjektivo + infinitivo.
Q | Ĝi estas facila ＿＿ fari. | por | pro | per | pri | Adjektivo + por + infinitivo.
Q | Ĉu vi havas ion ＿＿ manĝi? | por | pro | pri | per | Por + infinitivo = celo.
Q | Ni povas ne nur legi, ＿＿ ankaŭ skribi. | sed | ĉar | tial | ke | Ne nur…sed ankaŭ.
Q | Ili estas ne tiel malbonaj ＿＿ mi pensis. | kiel | ol | ke | kvankam | Tiel…kiel.
Q | Ĉu ŝi estas pli maljuna ＿＿ li? | ol | kiel | ke | kvankam | Pli…ol.
Q | La ＿＿ de la libro estas interesa. (enhavi) | enhavo | enhavas | enhavis | enhavu | Substantivo: enhavo = kio estas en.
Q | Li estas la homo, ＿＿ havas la ŝlosilon. | kiu | kiun | kies | kiel | Rilata pronomo sujeta: kiu.
Q | Mi ne komprenas la vorton ＿＿ vi uzis. | kiun | kiu | kies | kiel | Objekto de uzis: kiun.
Q | Ŝi dormas, ＿＿ ni parolu mallaŭte. | tial | ĉar | kvankam | kvazaŭ | Konsekvenco: tial.
Q | Ju pli li lernas, ＿＿ pli li scias. | des | tiel | ĉi | nu | Ju…des…
Q | Ju pli frue, ＿＿ pli bone. | des | jen | ol | ke | Ju…des…
Q | Li ne nur bone parolas, sed ＿＿ bone skribas. | ankaŭ | ankoraŭ | almenaŭ | jam | Ne nur…sed ankaŭ.
# reading
@R Pli kaj pli da kompanioj enkondukas kvartagan laborsemajnon. Subtenantoj diras, ke la dungitoj laboras pli koncentrite, se ili sufiĉe ripozas. Kritikantoj kontraŭdiras, ke en lokoj kun fiksaj malfermaj horoj, kiel butikoj aŭ malsanulejoj, tia redukto malfacile realiĝas. Unuaj provoj montras, ke la produktiveco restas stabila, sed ĉu la efiko daŭros longtempe, ankoraŭ ne certas.
Q | Kio estas la ĉefa ideo de la teksto? | La kvartaga semajno estas promesplena, sed ne uzebla ĉie. | Ĝi fiaskis. | Ĉiuj kompanioj jam uzas ĝin. | La produktiveco falis forte. | Nuancita takso.
Q | Kie la redukto malfacile realiĝas? | en lokoj kun fiksaj malfermaj horoj | en oficejoj | en lernejoj | hejme | Butikoj kaj malsanulejoj.
Q | Kion montras la unuaj provoj? | La produktiveco restas stabila. | La kostoj eksplodas. | Dungitoj eksiĝas. | Nenio. | Produktiveco stabila.
Q | Kion signifas "subtenanto"? | homo kiu apogas | kontraŭulo | estro | kliento | Subtenanto = partiano.
Q | Pri la longtempa efiko la teksto diras, ke ĝi estas | ankoraŭ nekerta | pruvita | negativa | sen graveco | Nekerta.
@@
@R La muzeo decidis malfermi senpage la unuan dimanĉon de ĉiu monato. La rezulto estis duobliĝo de la vizitantoj, sed ankaŭ longaj vicoj kaj pli granda eluziĝo de la salonoj. La direktoro taksas la eksperimenton duonsukceso: la publiko pligrandiĝis, tamen ne venis tiuj, kiuj pro manko de tempo aŭ nekutimo ne kuraĝis eniri.
Q | Kio okazis pro la senpaga malfermo? | La vizitantoj duobliĝis. | La muzeo fermiĝis. | La vizitantoj malpliiĝis. | La biletoj plikariĝis. | Duobliĝo.
Q | Kiuj problemoj aperis? | longaj vicoj kaj eluziĝo | ŝtelo | nur bruo | konstrulaboro | Vicoj kaj eluziĝo.
Q | Kiel la direktoro taksas la eksperimenton? | kiel duonsukceson | kiel plenan fiaskon | kiel grandan sukceson | kiel senvaloran | Duonsukceso.
Q | Kiun publikon oni ne atingis? | homojn kiuj ne kuraĝis eniri | eksterlandanojn | infanojn | studentojn | Nekutimaj/okupataj.
Q | "Nekutimo" signifas | manko de kutimo | granda kutimo | ĝojo | nekonata | Ne-kutimo.
@@
@R La verkisto eldonis ĉijare strangan libron, duone taglibron, duone enketon. Li pripensas la memoron de sia familio, sed neniam pretendas prezenti definitivan veron. Kelkaj kritikistoj bedaŭras la mankon de konkludo; aliaj vidas en tiu rifuzo decidi maloftan honestecon.
Q | Kia estas la formo de la libro? | duone taglibro, duone enketo | krimromano | poemaro | klasika biografio | Miksa formo.
Q | Kion faras la verkisto pri la familia memoro? | Li pripensas ĝin sen konkludi. | Li kondamnas ĝin. | Li ignoras ĝin. | Li glorigas ĝin. | Pripensado.
Q | Kion bedaŭras kelkaj kritikistoj? | la mankon de konkludo | la longecon | la prezon | la stilon | Manko de fino.
Q | Kion vidas aliaj en la rifuzo decidi? | maloftan honestecon | maldiligenton | difekton | mallertecon | Honesteco.
Q | "Bedaŭri" signifas | senti bedaŭron | ĝoji | kontraŭdiri | forgesi | Bedaŭri = lamenti.
@@
@R Kiam oni volas ĉion mezuri per ciferoj, oni facile forgesas tion, kio ne kalkuleblas. Indikiloj de rendimento utilas por direkti organizaĵon, sed foje ili mem diktas la kondutojn: oni zorgas pri la cifero pli ol pri la servo. Pro tio kelkaj sociologoj konsilas kompletigi la tabulojn per kvalitaj informoj.
Q | Kian riskon la teksto montras? | forgesi tion, kio ne kalkuleblas | nenion mezuri | elspezi tro | dungi malbone | Ciferoj.
Q | Kion foje faras la indikiloj? | Ili diktas la kondutojn. | Ili malaperas. | Ili plibonigas. | Ili maloftiĝas. | Dikti = decidi.
Q | Kion sociologoj konsilas? | kompletigi per kvalitaj informoj | forigi ciferojn | dungi | maldungi | Kompletigi.
Q | "Kompletigi" signifas | fari plena | forigi | rapidigi | kopii | Kompletigi = plenigi.
Q | La tono de la aŭtoro estas | kritika sed ekvilibra | fervora | indiferenta | humura | Ekvilibra.
@@
@R En urboj oni instigas al tegmentaj ĝardenoj. Ili malvarmigas la someron, retenas pluvakvon kaj gastigas insektojn. Tamen la kosto kaj la ŝarĝo por malnovaj konstruaĵoj malhelpas ilian disvastiĝon. Komunumoj, kiuj subtenas ilin per subvencioj, atingas pli bonajn rezultojn ol tiuj, kiuj nur devigas.
Q | Kiu avantaĝo estas menciita? | Ili malvarmigas la someron. | Ili pliigas la bruon. | Ili malpliigas spacon. | Ili estas malmultekostaj. | Malvarmigo.
Q | Kio malhelpas la disvastiĝon? | kosto kaj ŝarĝo por malnovaj domoj | manko de insektoj | pluvo | leĝoj | Kosto/ŝarĝo.
Q | Kiuj komunumoj plej sukcesas? | tiuj, kiuj donas subvenciojn | tiuj, kiuj nur devigas | tiuj, kiuj malpermesas | tiuj, kiuj ignoras | Subvencioj.
Q | "Gastigi" signifas | doni loĝejon | vendi | mezuri | kolekti | Gastigi = akcepti.
Q | La teksto estas | informa | polemika | humura | rakonta | Informa.
@@
@R La tradukistino, kiu dum dudek jaroj konigas eksterlandajn aŭtorojn, diras ke traduki ne signifas anstataŭi vortojn per aliaj vortoj. Temas pri retrovi la voĉon de la teksto, ĝian ritmon, ĝiajn silentojn. Ŝi konfesas, ke tia fideleco foje postulas perfidi la literon por savi la spiriton, kompromiso, kiun puristoj ne ĉiam pardonas.
Q | Laŭ ŝi, traduki signifas | retrovi la voĉon de la teksto | anstataŭi vortojn | resumi | korekti | Voĉo.
Q | Kion tia fideleco foje postulas? | perfidi la literon por savi la spiriton | sekvi vorton post vorto | aldoni notojn | forigi tekston | Perfidi la literon.
Q | Kiuj ne ĉiam pardonas ĉi kompromison? | puristoj | aŭtoroj | legantoj | eldonistoj | Puristoj.
Q | Dum kiom da jaroj ŝi tradukas? | dudek | du | dek | kvin | Dudek.
Q | "Pardoni" ĉi tie implicas | ne plu riproĉi | ĝoji | ne scii | forgesi | Ne-pardoni = daŭra riproĉo.
@@
@R La agrikulturisto transiris al organika kultivado antaŭ dek jaroj. Komence estis malfacile: la rikolto malpliiĝis, la kostoj kreskis. Nun li opinias, ke li gajnis la vetadon, ĉar la bona kvalito ebligas vendi pli multekoste rekte al la aĉetantoj. Li tamen konfesas, ke sen la subteno de kooperativo li verŝajne rezignus.
Q | Kiam li transiris al organika kultivado? | antaŭ dek jaroj | pasintjare | antaŭ du jaroj | antaŭ dudek jaroj | Dek jaroj.
Q | Kiel estis la komenco? | malfacila | facila | profita | rapida | Malfacila.
Q | Kial li opinias, ke li gajnis? | Li vendas pli multekoste rekte. | Li havas pli da tero. | Li produktas pli. | Li laboras malpli. | Rekta vendo.
Q | Kio okazus sen la kooperativo? | Li verŝajne rezignus. | Li sukcesus sole. | Li vendus la teron. | Li elmigrus. | Rezigni.
Q | "Rezigni" signifas | ĉesi klopodi | komenci | elekti | peti | Rezigni.
@@
@R Leĝprojekto celas pli bone protekti tiujn, kiuj denuncas misagojn en sia laborloko. Ĝi garantias anonimecon kaj malpermesas ĉian venĝan agon. Civitanaj asocioj salutas progreson, sed bedaŭras, ke la procedo postulas unue turni sin al la hierarkio, kio povas senkuraĝigi tiujn, kiuj timas esti identigitaj.
Q | Kion celas la leĝprojekto? | protekti denuncantojn | puni ilin | pagi ilin | eduki ilin | Protekti.
Q | Kion ĝi garantias? | anonimecon | salajron | dumvivan laboron | premion | Anonimeco.
Q | Kion bedaŭras la asocioj? | la devon turni sin unue al la hierarkio | la mankon de leĝo | la daŭron | la koston | Hierarkio.
Q | Kial la procedo povas senkuraĝigi? | Oni povas esti identigita. | Ĝi estas multekosta. | Ĝi estas longa. | Ĝi estas sekreta. | Identigo.
Q | "Venĝa" rilatas al | venĝo | rekompenco | konsilo | raporto | Venĝo = reprezalio.
@@
@R La dormo de gejunuloj estas kronike nesufiĉa. Se oni prokrastas la komencon de la lecionoj je unu horo, kiel faris kelkaj gimnazioj, pliiĝas la ĉeesto kaj malpliiĝas la trafikaj akcidentoj. Kontraŭuloj timas ĥaoson en la horaroj, sed esploristoj taksas la ĝenon malgranda kompare kun la observataj avantaĝoj.
Q | Kio pliboniĝas pro la prokrasto? | la ĉeesto kaj la trafika sekureco | nur la notoj | la salajroj | la ferioj | Ĉeesto/sekureco.
Q | Kion timas la kontraŭuloj? | ĥaoson en la horaroj | lacecon | koston | bruon | Horaroj.
Q | Kiel esploristoj taksas la ĝenon? | kiel malgrandan | kiel grandegan | kiel neakcepteblan | kiel neekzistantan | Malgranda.
Q | "Kronike" signifas | long daŭre | subite | malofte | nove | Kronika = daŭra.
Q | Kia estas la verŝajna konkludo? | La avantaĝoj superas la ĝenon. | Oni devas rezigni. | Nenio ŝanĝiĝas. | Dormo ne necesas. | Avantaĝoj.
@@
@R La vilaĝo perdis sian lastan kafejon kaj kun ĝi lokon de renkontiĝoj. La loĝantoj fondis asocion, aĉetis la konstruaĵon kaj nun kune funkciigas ĝin. La kafejo donas modestan profiton, sed la prezidanto insistas: esenca ne estas mono, sed konservi lokon, kie oni ankoraŭ kunvenas.
Q | Kion perdis la vilaĝo? | sian lastan kafejon | la lernejon | la urbodomon | la staciidomon | Kafejo.
Q | Kiel la kafejo estis savita? | per asocio de loĝantoj | per la komunumo | per firmao | per donaco | Asocio.
Q | Kion emfazas la prezidanto? | ke esenca ne estas mono | profiton | fermon | vendon | Kunvenejo.
Q | "Kunveni" signifas | veni kune | disiĝi | kvereli | forlasi | Kunveni = renkontiĝi.
Q | Kia estas la profito de la kafejo? | modesta | granda perdo | granda gajno | neniu | Modesta.
@@
@R Esploristino klarigas, ke la malapero de abeloj ne estas nur kaŭzita de insekticidoj. La manko de diversaj floroj, pro unukulturoj, senigas ilin je ekvilibra nutraĵo. Kamparanoj, kiuj kreas florajn striojn, raportas pli grandajn rikoltojn, ĉar pli da insektoj polenas la kampojn.
Q | Kio ankoraŭ minacas abelojn? | manko de diversaj floroj | tro da floroj | pluvo | mielo | Manko de floroj.
Q | Kion produktas unukulturoj? | malekvilibran nutraĵon | ekvilibran nutraĵon | mielon | florojn | Malekvilibro.
Q | Kion raportas la kamparanoj? | pli grandajn rikoltojn | pli malgrandajn rikoltojn | pli da laboro | pli malmultajn abelojn | Pli granda rikolto.
Q | Kial la rikolto kreskas? | Pli da insektoj polenas. | Pli pluvas. | Estas pli da sterko. | La kampoj pligrandiĝis. | Polenado.
Q | "Polenado" rilatas al | disportado de polen | akvumado | vendado | mezurado | Polenado.
@@
@R La proceso finiĝis sen dramaj turniĝoj. En la tribunalo ĉiu atestanto mildigis sian deklaron, ĝis kiam la akuzo similis konstruaĵon sen kolonoj. La verdikto surprizis neniun, eĉ ne la akuzaton, kiu dum la lasta aŭdienco rigardis la plafonon.
Q | Kiel finiĝis la proceso? | sen dramaj turniĝoj | tre drame | per konfeso | per tumulto | Senturniĝe.
Q | Kion faris ĉiu atestanto? | Ĝi mildigis la deklaron. | Ĝi plifortigis la deklaron. | Ĝi forkuris. | Ĝi kriis. | Mildigo.
Q | La bildo de la konstruaĵo sugestas, ke la akuzo | perdis sian bazon | estis solida | kostis multe | estis nova | Perdo de bazo.
Q | La konduto de la akuzito sugestas, ke li | atendis la verdikton | furiozis | surpriziĝis | estis senkulpa | Atendis.
Q | "Verdikto" signifas | decido de la juĝistoj | parolado | leĝo | defendo | Verdikto.
@@
@R Urbisto opinias, ke urbo similas malpli maŝinon ol ekosistemon: ĝiaj partoj adaptiĝas, konkurencas kaj kunlaboras sen ke iu plano tion antaŭvidis. La plej sukcesaj kvartaloj estus tiuj malmulte planitaj, kiuj lasas al la loĝantoj spacon por improvizi.
Q | Al kio li komparas la urbon? | al ekosistemo | al maŝino | al libro | al muzeo | Ekosistemo.
Q | Kiuj kvartaloj plej sukcesas? | malmulte planitaj | detale planitaj | plej malnovaj | plej novaj | Malmulte planitaj.
Q | Kion oni lasas al la loĝantoj? | spacon por improvizi | nenion | ordonojn | planojn | Improvizo.
Q | "Adaptiĝi" signifas | agordiĝi al situacio | foriri | malaperi | ordoni | Adaptiĝi.
Q | La ĉefa tezo estas ke la urbo | ne reduktiĝas al plano | estas maŝino | estas antaŭvidebla | estas senutila | Ekosistemo.
@@
