# gramatica
Q | ＿＿他很努力，成绩还是不理想。 | 尽管 | 何况 | 不如 | 因此 | 尽管…还是: 让步.
Q | 两个人的性格＿＿，却成了好朋友。 | 截然不同 | 大同小异 | 不相上下 | 如出一辙 | 截然不同 = totalmente distinto.
Q | 这两个方案＿＿，选哪个都可以。 | 大同小异 | 截然不同 | 天壤之别 | 泾渭分明 | 大同小异 = casi iguales.
Q | 他们俩的水平＿＿，很难分出胜负。 | 不相上下 | 相差悬殊 | 天壤之别 | 截然不同 | 不相上下 = parejo.
Q | 这个问题很复杂，一时＿＿。 | 难以说清 | 不必说清 | 一说就清 | 无须说清 | 难以说清 = difícil de explicar.
Q | 他＿＿地说：“这件事交给我吧。” | 信心十足 | 提心吊胆 | 忐忑不安 | 惊慌失措 | 信心十足 = lleno de confianza.
Q | 听到这个消息，她＿＿，半天说不出话。 | 目瞪口呆 | 满不在乎 | 无动于衷 | 若无其事 | 目瞪口呆 = atónito.
Q | 对于别人的批评，他总是＿＿。 | 无动于衷 | 目瞪口呆 | 手足无措 | 迫不及待 | 无动于衷 = indiferente.
Q | 孩子们＿＿地打开了礼物。 | 迫不及待 | 无动于衷 | 心不在焉 | 漫不经心 | 迫不及待 = impacientes.
Q | 他上课总是＿＿，老师很不满意。 | 心不在焉 | 全神贯注 | 聚精会神 | 专心致志 | 心不在焉 = distraído.
Q | 他＿＿地听着老师讲课。 | 聚精会神 | 心不在焉 | 漫不经心 | 敷衍了事 | 聚精会神 = concentrado.
Q | 他对工作＿＿，经常出错。 | 马马虎虎 | 兢兢业业 | 一丝不苟 | 精益求精 | 马马虎虎 = descuidado.
Q | 他工作＿＿，从不出错。 | 一丝不苟 | 马马虎虎 | 敷衍了事 | 漫不经心 | 一丝不苟 = meticuloso.
Q | 这位老教授＿＿地工作了一辈子。 | 兢兢业业 | 敷衍了事 | 得过且过 | 游手好闲 | 兢兢业业 = diligente.
Q | 请你用词语的近义词替换：他的态度很坚决。 | 坚定 | 坚硬 | 坚强 | 坚固 | 坚决 ≈ 坚定 (actitud).
Q | 词语搭配：＿＿风险 | 承担 | 承认 | 承包 | 承办 | 承担风险 = asumir el riesgo.
Q | 词语搭配：＿＿责任 | 承担 | 担心 | 担任 | 担保 | 承担责任.
Q | 词语搭配：＿＿意见 | 提出 | 提高 | 提前 | 提醒 | 提出意见.
Q | 词语搭配：＿＿成绩 | 取得 | 获得奖 | 得意 | 取消 | 取得成绩.
Q | 词语搭配：＿＿计划 | 制定 | 制造 | 制作 | 制约 | 制定计划.
Q | 词语搭配：＿＿矛盾 | 化解 | 消化 | 分化 | 融化 | 化解矛盾.
Q | 词语搭配：＿＿影响 | 产生 | 生产 | 出生 | 生长 | 产生影响.
Q | 词语搭配：＿＿困难 | 克服 | 克制 | 战场 | 战斗 | 克服困难.
Q | 词语搭配：＿＿机会 | 抓住 | 抓紧 | 握住 | 拿住 | 抓住机会.
Q | 词语搭配：＿＿传统 | 继承 | 继续 | 连续 | 陆续 | 继承传统.
Q | 词语搭配：＿＿危机 | 度过 | 通过 | 经过 | 超过 | 度过危机.
Q | 词语搭配：＿＿信心 | 增强 | 增产 | 增设 | 增值 | 增强信心.
Q | 词语搭配：＿＿印象 | 留下 | 停留 | 保留 | 逗留 | 留下印象.
Q | 词语搭配：＿＿目标 | 实现 | 实行 | 实施 | 实习 | 实现目标.
Q | 词语搭配：＿＿贡献 | 作出 | 作用 | 作品 | 作弊 | 作出贡献.
Q | 词语搭配：＿＿基础 | 打下 | 打扰 | 打听 | 打赌 | 打下基础.
Q | 词语搭配：＿＿谎言 | 揭穿 | 掀起 | 展开 | 打开 | 揭穿谎言.
Q | 词语搭配：＿＿证据 | 提供 | 提升 | 提炼 | 提拔 | 提供证据.
Q | 下面哪个词的意思与“节约”最接近？ | 节省 | 节日 | 节奏 | 节制 | 节约 ≈ 节省.
Q | 下面哪个词的意思与“优秀”最接近？ | 出色 | 出发 | 出版 | 出差 | 优秀 ≈ 出色.
Q | 下面哪个词的意思与“突然”最接近？ | 忽然 | 当然 | 仍然 | 果然 | 突然 ≈ 忽然.
Q | 下面哪个词的意思与“阻止”最接近？ | 制止 | 制造 | 制度 | 制服 | 阻止 ≈ 制止.
Q | 下面哪个词的意思与“详细”最接近？ | 具体 | 具备 | 具有 | 工具 | 详细 ≈ 具体.
Q | 下面哪个词的意思与“调查”最接近？ | 考察 | 观察者 | 察觉 | 警察 | 调查 ≈ 考察.
Q | 下面哪个词的反义词是“增加”？ | 减少 | 增强 | 增长 | 增设 | 增加 ↔ 减少.
Q | 下面哪个词的反义词是“积极”？ | 消极 | 主动 | 热情 | 勤奋 | 积极 ↔ 消极.
Q | 下面哪个词的反义词是“复杂”？ | 简单 | 麻烦 | 繁琐 | 深奥 | 复杂 ↔ 简单.
Q | 下面哪个词的反义词是“乐观”？ | 悲观 | 开朗 | 自信 | 主观 | 乐观 ↔ 悲观.
Q | 下面哪个词的反义词是“合作”？ | 竞争 | 协作 | 配合 | 团结 | 合作 ↔ 竞争(对立).
Q | 下面哪个词的反义词是“繁荣”？ | 衰落 | 兴旺 | 发达 | 昌盛 | 繁荣 ↔ 衰落.
Q | 下面哪个词的反义词是“谨慎”？ | 鲁莽 | 小心 | 稳重 | 周到 | 谨慎 ↔ 鲁莽.
Q | 下面哪个词的反义词是“具体”？ | 抽象 | 详细 | 明确 | 实际 | 具体 ↔ 抽象.
Q | 下面哪个词的反义词是“主动”？ | 被动 | 自动 | 活动 | 行动 | 主动 ↔ 被动.
Q | “一石二鸟”最接近的成语是？ | 一举两得 | 事倍功半 | 徒劳无功 | 画蛇添足 | 一举两得 = matar dos pájaros.
Q | “事倍功半”的意思是？ | 花费很多力气，成效却很小 | 效率很高 | 事情顺利 | 半途而废 | 事倍功半 = mucho esfuerzo, poco resultado.
Q | “画蛇添足”的意思是？ | 做多余的事，反而不好 | 画得很好 | 添加内容 | 学习绘画 | 画蛇添足 = añadir lo superfluo.
Q | “亡羊补牢”的意思是？ | 出了问题后设法补救 | 丢了羊 | 建造牢房 | 放羊 | 亡羊补牢 = remediar tarde.
Q | “守株待兔”比喻？ | 不主动努力，只想碰运气 | 打猎技术好 | 勤劳 | 爱护动物 | 守株待兔 = esperar la suerte.
Q | “杯弓蛇影”比喻？ | 疑神疑鬼，自己吓自己 | 喝酒 | 射箭 | 养蛇 | 杯弓蛇影 = alarma infundada.
Q | “对牛弹琴”比喻？ | 对不懂的人讲道理或说话，白费力气 | 喜欢音乐 | 爱护牛 | 弹琴技巧高 | 对牛弹琴 = predicar en el desierto.
Q | “掩耳盗铃”比喻？ | 自己欺骗自己 | 偷东西 | 捂耳朵 | 卖铃铛 | 掩耳盗铃 = engañarse a sí mismo.
Q | “刻舟求剑”比喻？ | 死守成规，不知变通 | 寻找宝剑 | 制造小船 | 学习刻字 | 刻舟求剑 = rigidez.
Q | “塞翁失马”的含义是？ | 坏事在一定条件下会变成好事 | 老人丢了马 | 买马 | 卖马 | 塞翁失马 = a veces lo malo resulta bien.
Q | “入乡随俗”的意思是？ | 到一个地方就遵从当地的习惯 | 回到家乡 | 学习方言 | 喜欢旅行 | 入乡随俗 = donde fueres haz lo que vieres.
Q | “雪中送炭”比喻？ | 在别人急需时给予帮助 | 冬天取暖 | 卖煤炭 | 下雪 | 雪中送炭 = ayuda oportuna.
Q | “锦上添花”比喻？ | 好上加好 | 缝衣服 | 种花 | 卖布 | 锦上添花 = mejorar lo ya bueno.
Q | “半途而废”的意思是？ | 做事情中途停止 | 走到一半 | 废品回收 | 顺利完成 | 半途而废 = abandonar a medias.
Q | “不耻下问”的意思是？ | 不以向地位比自己低的人请教为耻 | 不问别人 | 耻辱 | 不爱学习 | 不耻下问 = no avergonzarse de preguntar.
Q | “井底之蛙”比喻？ | 见识狭窄的人 | 青蛙 | 井水 | 勇敢 | 井底之蛙 = mente estrecha.
Q | “叶公好龙”比喻？ | 表面爱好，实际并不真爱 | 喜欢龙 | 爱护动物 | 学习画画 | 叶公好龙 = afición fingida.
Q | “纸上谈兵”比喻？ | 只会空谈理论，不能解决实际问题 | 打仗 | 写文章 | 用纸做兵器 | 纸上谈兵 = teoría sin práctica.
Q | “按部就班”的意思是？ | 按照一定的步骤和顺序做事 | 坐在班里 | 打乱顺序 | 快速完成 | 按部就班 = paso a paso.
Q | “循序渐进”的意思是？ | 按照一定次序逐步深入 | 突然改变 | 立刻完成 | 停止不前 | 循序渐进 = gradualmente.
Q | 下列词语读音正确的是：“拥挤” | yōng jǐ | yōng jī | yǒng jǐ | yōng jì | 拥挤 yōng jǐ.
Q | 下列词语读音正确的是：“逮捕” | dài bǔ | dǎi bǔ | dài bù | dèi bǔ | 逮捕 dài bǔ.
Q | 下列词语读音正确的是：“比较” | bǐ jiào | bǐ jiǎo | bì jiào | bí jiào | 比较 bǐ jiào.
Q | 下列词语读音正确的是：“曲折” | qū zhé | qǔ zhé | qū shé | qū zhè | 曲折 qū zhé.
Q | 下列词语读音正确的是：“处理” | chǔ lǐ | chù lǐ | chǔ lí | chù lì | 处理 chǔ lǐ.
Q | 下列词语读音正确的是：“血液” | xuè yè | xiě yè | xuè yì | xuě yè | 血液 xuè yè.
Q | 下列词语读音正确的是：“歼灭” | jiān miè | qiān miè | jiān mì | xiān miè | 歼灭 jiān miè.
Q | 下列词语读音正确的是：“不屑” | bù xiè | bù xiāo | bú shuā | bù xuè | 不屑 bù xiè.
Q | 下列词语读音正确的是：“汗颜” | hàn yán | gān yán | hán yán | hàn yàn | 汗颜 hàn yán.
Q | 下列词语读音正确的是：“憧憬” | chōng jǐng | tóng jǐng | chōng jìng | dōng jǐng | 憧憬 chōng jǐng.
Q | 下列词语读音正确的是：“蜷缩” | quán suō | juàn suō | quàn suō | cān suō | 蜷缩 quán suō.
Q | 下列词语读音正确的是：“慰藉” | wèi jiè | wèi jí | wěi jiè | wèi jiě | 慰藉 wèi jiè.
Q | 下列词语读音正确的是：“告诫” | gào jiè | gào jiě | gào jí | gòu jiè | 告诫 gào jiè.
Q | 下列词语读音正确的是：“成绩” | chéng jì | chéng jī | chēng jì | chéng zhì | 成绩 chéng jì.
Q | 下列词语读音正确的是：“着急” | zháo jí | zhuó jí | zhāo jí | zhe jí | 着急 zháo jí.
Q | 下列词语读音正确的是：“倔强” | juè jiàng | jué qiáng | juè qiáng | jué jiàng | 倔强 juè jiàng.
Q | 下列词语读音正确的是：“说服” | shuō fú | shuì fú | shuō fù | shuò fú | 说服 shuō fú.
Q | 下列词语读音正确的是：“强迫” | qiǎng pò | qiáng pò | qiǎng bī | qiáng pǎi | 强迫 qiǎng pò.
Q | 下列词语读音正确的是：“提防” | dī fáng | tí fáng | dī fāng | tí fāng | 提防 dī fáng.
Q | 下列词语读音正确的是：“发酵” | fā jiào | fā xiào | fá jiào | fā jiāo | 发酵 fā jiào.
Q | 他跑得＿＿，一会儿就不见了。 | 飞快 | 快得飞 | 快飞 | 飞快地 | 得后接补语: 跑得飞快.
Q | 我＿＿了他半天，他也没听见。 | 喊 | 喊着 | 喊过 | 被喊 | 动词 + 了 + 时量.
Q | 这本书我看了三＿＿。 | 遍 | 次数 | 回去 | 趟 | 动量词: 遍 = veces completas de lectura.
Q | 他去北京出了两＿＿差。 | 趟 | 遍 | 场 | 阵 | 趟 = viaje de ida y vuelta.
Q | 昨天下了一＿＿大雨。 | 场 | 阵 | 遍 | 趟 | 场 = evento meteorológico (una lluvia).
Q | 他从桌子上拿＿＿一本书。 | 起 | 下去 | 回去 | 进 | 拿起 = tomar (levantar).
Q | 这件事他＿＿完成了。 | 顺利地 | 顺利的 | 顺利得 | 顺利着 | 状语 + 地.
Q | 是他先动手的，＿＿我。 | 不是 | 没有是 | 不 | 别是 | 是…不是: 强调.
Q | 这个杯子是我昨天在商店＿＿的。 | 买 | 买着 | 买了 | 买过 | 是…的 结构.
Q | 他比我大＿＿两岁。 | 整整 | 常常 | 往往 | 偶尔 | 比…大 + 数量.
Q | 今年的收入比去年＿＿增加了百分之十。 | 大约 | 大概地 | 大略地 | 大致地 | 大约 = aproximadamente.
Q | 我们不是不想帮忙，＿＿实在没有办法。 | 而是 | 但是 | 因此 | 何况 | 不是…而是…
Q | 他不只会说英语，＿＿会说法语。 | 还 | 才 | 却 | 就 | 不只…还…
Q | 只要努力，＿＿一定会有收获。 | 就 | 才 | 却 | 还 | 只要…就…
Q | 只有坚持到底，＿＿能成功。 | 才 | 就 | 也 | 却 | 只有…才…
# reading
@R 越来越多的公司开始实行每周四天工作制。支持者认为，休息充分的员工工作时更专注。反对者则指出，商店、医院等必须在固定时间营业的地方很难实行。一些试点结果显示，生产率并没有下降，但长期效果如何，目前还不能确定。
Q | 下列哪项与文章内容一致？ | 四天工作制并不适合所有行业 | 四天工作制已经失败 | 所有公司都已实行 | 生产率大幅下降 | 固定营业时间的行业难实行.
Q | 哪些地方很难实行四天工作制？ | 必须固定时间营业的地方 | 办公室 | 学校 | 互联网公司 | 商店、医院.
Q | 试点的结果是什么？ | 生产率没有下降 | 成本大增 | 员工离职 | 没有结果 | 生产率稳定.
Q | “试点”的意思最接近？ | 小范围试行 | 全面推广 | 取消 | 延期 | 试点 = proyecto piloto.
Q | 关于长期效果，文章的看法是？ | 目前还不能确定 | 已经证明 | 很糟糕 | 不重要 | 尚不确定.
@@
@R 博物馆决定每月第一个星期日免费开放。结果参观人数增加了一倍，但也带来了排长队和展厅受损的问题。馆长认为这次尝试只算“成功了一半”：观众范围扩大了，却没能吸引那些没时间或对博物馆感到陌生而不敢进门的人。
Q | 免费开放带来了什么结果？ | 参观人数翻了一番 | 博物馆关闭 | 人数减少 | 门票涨价 | 人数增加一倍.
Q | 文中提到了哪些问题？ | 排长队和展厅受损 | 失窃 | 只有噪音 | 施工 | 排队、受损.
Q | 馆长如何评价这次尝试？ | 成功了一半 | 彻底失败 | 大获成功 | 毫无意义 | 一半成功.
Q | 没能吸引到的是哪些人？ | 没时间或觉得陌生的人 | 外国人 | 儿童 | 学生 | 陌生、没时间.
Q | “陌生”的意思是？ | 不熟悉 | 熟悉 | 喜欢 | 忙碌 | 陌生 = desconocido.
@@
@R 这位小说家今年出版了一本独特的书，介于日记与采访记录之间。他一边回顾家人的记忆，一边绝不把结论强加给读者。有的评论家惋惜书中没有结局，另一些评论家则从这种不下定论的态度中看到了难得的诚实。
Q | 这本书的形式是什么？ | 介于日记和采访记录之间 | 推理小说 | 诗集 | 传统传记 | 混合形式.
Q | 作者如何对待家人的记忆？ | 回顾但不强加结论 | 批判 | 无视 | 赞美 | 不强加.
Q | 有些评论家惋惜什么？ | 没有结局 | 篇幅 | 价格 | 文风 | 缺结局.
Q | 另一些评论家看到了什么？ | 难得的诚实 | 懒惰 | 缺点 | 笨拙 | 诚实.
Q | “下定论”的意思是？ | 作出最后的判断 | 写定论文 | 忘记 | 发表 | 下定论 = sentenciar.
@@
@R 什么都想用数字衡量，就容易忽视那些无法计数的东西。绩效指标对管理组织很有用，但有时会反过来支配人的行为：人们开始关注数字，而不是服务的质量。因此，一些社会学家建议同时采用定性的资料。
Q | 文章指出的风险是什么？ | 忽视无法计数的东西 | 什么都不衡量 | 花费太高 | 用人不当 | 数字局限.
Q | 绩效指标有时会怎样？ | 支配人的行为 | 消失 | 变好 | 变便宜 | 支配行为.
Q | 社会学家建议什么？ | 同时采用定性资料 | 取消数字 | 招聘 | 解雇 | 并用定性资料.
Q | “支配”的意思是？ | 控制、左右 | 分配 | 支付 | 配合 | 支配 = dominar.
Q | 作者的态度是？ | 批评但比较平衡 | 狂热 | 冷漠 | 幽默 | 批评但平衡.
@@
@R 许多城市鼓励发展屋顶绿化。它可以降低夏季的温度，储存雨水，还能成为昆虫的栖息地。但是，成本以及给老旧建筑带来的负担限制了它的推广。用补贴来支持的城市，比只做强制规定的城市效果更好。
Q | 屋顶绿化有什么好处？ | 降低夏季温度 | 增加噪音 | 减少空间 | 成本低 | 降温.
Q | 什么限制了它的推广？ | 成本和对老建筑的负担 | 昆虫太少 | 雨水 | 法律 | 成本、负担.
Q | 哪些城市效果更好？ | 用补贴支持的城市 | 只强制规定的城市 | 禁止的城市 | 忽视的城市 | 补贴.
Q | “栖息地”的意思是？ | 动物生活的地方 | 市场 | 学校 | 饭店 | 栖息地 = hábitat.
Q | 这篇文章的性质是？ | 介绍性说明 | 争论 | 幽默 | 故事 | 说明文.
@@
@R 这位翻译家二十年来一直向读者介绍外国作家。她说，翻译不是把一个词换成另一个词，而是重现作品的声音、节奏，乃至沉默。为此，有时不得不背叛字面来保住精神，这种折中，原则主义者往往不能原谅。
Q | 在她看来，翻译是什么？ | 重现作品的声音 | 换词 | 缩写 | 校对 | 重现声音.
Q | 有时需要做什么？ | 背叛字面以保住精神 | 逐字直译 | 加注释 | 删除文字 | 背叛字面.
Q | 谁不容易原谅这种折中？ | 原则主义者 | 作家 | 读者 | 编辑 | 原则主义者.
Q | 她做翻译多少年了？ | 二十年 | 两年 | 十年 | 五年 | 二十年.
Q | “原谅”在这里暗示？ | 会持续批评 | 高兴 | 不知道 | 忘记 | 不原谅.
@@
@R 这位农民十年前把农场改成了有机种植。起初产量下降、成本上升，很艰难。现在因为品质好，可以直接销售并卖出更高的价格，他觉得这次赌赢了。不过他承认，要是没有合作社的支持，自己大概早就放弃了。
Q | 他什么时候改成有机种植的？ | 十年前 | 去年 | 两年前 | 二十年前 | 十年前.
Q | 起初的情况如何？ | 很艰难 | 很轻松 | 赚了很多 | 很快 | 艰难.
Q | 他为什么觉得赌赢了？ | 直销价格更高 | 土地增加 | 产量增加 | 工作减少 | 直销.
Q | 没有合作社他会怎样？ | 大概早就放弃了 | 自己也成功 | 卖掉土地 | 移民 | 放弃.
Q | “直销”的意思是？ | 不经过中间环节直接销售 | 大量销售 | 低价销售 | 出口 | 直销.
@@
@R 一项保护内部举报人的法案已经拟定。法案保证举报人匿名，并禁止任何报复行为。公民团体欢迎这一进步，但对必须先经过上级的程序表示不满，因为这样可能反而让担心暴露身份的人犹豫不决。
Q | 这项法案的目的是什么？ | 保护内部举报人 | 惩罚他们 | 给他们发工资 | 培训他们 | 保护.
Q | 法案保证了什么？ | 匿名 | 薪水 | 终身雇佣 | 奖金 | 匿名.
Q | 公民团体不满什么？ | 必须先经过上级 | 没有法律 | 期限 | 费用 | 上级程序.
Q | 为什么这个程序有问题？ | 可能暴露身份 | 很贵 | 很长 | 秘密 | 暴露身份.
Q | “报复”的意思是？ | 对伤害自己的人进行反击 | 报酬 | 建议 | 汇报 | 报复.
@@
@R 青少年长期睡眠不足。像一些高中那样把上课时间推迟一小时，出勤率上升，交通事故减少。反对的人担心课程表被打乱，而研究者认为这点不便与所得的好处相比并不大。
Q | 推迟上课时间会带来什么好处？ | 出勤率上升、事故减少 | 只提高成绩 | 加薪 | 放假 | 出勤、安全.
Q | 反对者担心什么？ | 课程表被打乱 | 疲劳 | 费用 | 噪音 | 课程表.
Q | 研究者如何看待这种不便？ | 不算大 | 非常大 | 不可接受 | 没有 | 不大.
Q | “长期”的意思是？ | 很长时间 | 突然 | 偶尔 | 新 | 长期 = largo plazo.
Q | 文章的结论是？ | 好处大于不便 | 应该放弃 | 没有变化 | 不需要睡眠 | 利>弊.
@@
@R 那个村子失去了最后一家咖啡馆，也失去了人们聚会的地方。村民们成立协会，买下这栋房子，共同经营。咖啡馆的利润不多，但会长强调，重要的不是钱，而是保住一个大家仍能碰面的地方。
Q | 村子失去了什么？ | 最后一家咖啡馆 | 学校 | 政府 | 车站 | 咖啡馆.
Q | 咖啡馆是怎么保住的？ | 村民协会买下 | 政府买下 | 公司买下 | 靠捐款 | 村民协会.
Q | 会长强调什么？ | 比起钱，更重要的是聚会的地方 | 利润 | 关门 | 出售 | 保住场所.
Q | “碰面”的意思是？ | 见面 | 吵架 | 迷路 | 离开 | 碰面 = verse.
Q | 咖啡馆的利润怎样？ | 不多 | 大亏 | 大赚 | 没有 | 少量利润.
@@
@R 一位研究人员解释说，蜜蜂减少不只是农药造成的。单一作物种植使花的种类减少，蜜蜂难以获得均衡的食物。设置花带的农民报告说，由于更多昆虫来授粉，产量提高了。
Q | 还有什么威胁蜜蜂？ | 花的种类不足 | 花太多 | 雨 | 蜂蜜 | 花种少.
Q | 单一作物种植造成什么？ | 食物不均衡 | 食物多样 | 蜂蜜增加 | 花增加 | 不均衡.
Q | 设置花带的农民怎么样？ | 产量提高 | 产量下降 | 工作增加 | 蜜蜂减少 | 产量增.
Q | 产量提高的原因是？ | 更多昆虫授粉 | 下雨 | 肥料多 | 田变大 | 授粉.
Q | “授粉”的意思是？ | 把花粉传到雌蕊上 | 水分 | 销售 | 测量 | 授粉 = polinización.
@@
@R 审判没有戏剧性的转折就结束了。在法庭上，证人一个接一个地缓和了证词，检方的指控就像被抽掉柱子的房子渐渐倒塌。判决没让任何人感到意外，连被告也在最后一次开庭时一直盯着天花板。
Q | 审判是怎么结束的？ | 没有戏剧性转折 | 很有戏剧性 | 被告认罪 | 出现骚乱 | 平淡.
Q | 证人做了什么？ | 缓和了证词 | 强化证词 | 逃跑 | 大喊 | 缓和.
Q | “被抽掉柱子的房子”比喻？ | 检方的指控失去了依据 | 房子很结实 | 费用高 | 新房子 | 失去依据.
Q | 被告的表现说明什么？ | 他预料到了判决 | 他很愤怒 | 他很吃惊 | 他是无辜的 | 预料到.
Q | “判决”的意思是？ | 法院的决定 | 演讲 | 法律 | 辩护 | 判决.
@@
@R 一位城市规划师认为，城市更像生态系统而不像机器：各个部分以没人设计过的方式适应、竞争、合作。最成功的街区，往往是规划得较少、给居民留出即兴发挥空间的街区。
Q | 他把城市比作什么？ | 生态系统 | 机器 | 书 | 博物馆 | 生态系统.
Q | 最成功的街区是怎样的？ | 规划较少的街区 | 规划详细的街区 | 老街区 | 新街区 | 少规划.
Q | 留给居民的是什么？ | 即兴发挥的空间 | 没有 | 命令 | 规划书 | 空间.
Q | “适应”的意思是？ | 使自己符合环境 | 离开 | 消失 | 指挥 | 适应.
Q | 作者的主张是？ | 城市不能只靠规划来说明 | 城市是机器 | 城市可预测 | 城市没用 | 生态观.
@@
